noh_crop,i_crop_a,un_crop_a,tca,state_code,district_code,district,social_group_code,class_category_code,size_class_code,crop_code
61,0,75,75,28,539,NALGONDA,3,4,43,103
0,0,0,0,28,539,NALGONDA,1,5,52,103
0,0,0,0,28,539,NALGONDA,3,5,52,103
527,5,374,379,28,539,NALGONDA,3,2,21,103
1,0,1,1,28,539,NALGONDA,2,4,43,103
10,0,7,7,28,539,NALGONDA,1,3,32,103
0,0,0,0,28,539,NALGONDA,1,5,51,103
147,0,62,62,28,539,NALGONDA,2,1,12,103
0,0,0,0,28,540,WARANGAL,1,5,52,103
0,0,0,0,28,540,WARANGAL,1,5,51,103
0,0,0,0,28,540,WARANGAL,1,2,21,103
0,0,0,0,28,540,WARANGAL,1,4,42,103
18,12,0,12,28,540,WARANGAL,3,2,21,103
0,0,0,0,28,540,WARANGAL,1,4,41,103
14,2,0,2,28,540,WARANGAL,3,1,12,103
27,2,3,5,28,540,WARANGAL,3,1,11,103
0,0,0,0,28,540,WARANGAL,3,5,52,103
13,26,0,26,28,540,WARANGAL,3,5,51,103
9,6,0,6,28,540,WARANGAL,3,4,41,103
0,0,0,0,28,540,WARANGAL,1,3,32,103
26,6,2,8,28,540,WARANGAL,3,3,31,103
7,8,0,8,28,540,WARANGAL,3,4,43,103
11,13,0,13,28,540,WARANGAL,3,4,42,103
0,0,0,0,28,540,WARANGAL,1,1,12,103
3,0,0,0,28,540,WARANGAL,1,1,11,103
27,9,1,10,28,540,WARANGAL,3,3,32,103
0,0,0,0,28,540,WARANGAL,1,4,43,103
0,0,0,0,28,540,WARANGAL,1,3,31,103
164,0,42,42,28,537,RANGAREDDY,3,1,12,103
41,0,12,12,28,537,RANGAREDDY,2,3,32,103
224,0,35,35,28,537,RANGAREDDY,2,1,12,103
28,0,6,6,28,537,RANGAREDDY,3,3,32,103
0,0,0,0,28,537,RANGAREDDY,2,4,42,103
17,0,4,4,28,537,RANGAREDDY,3,4,43,103
253,0,58,58,28,537,RANGAREDDY,3,2,21,103
16,0,6,6,28,537,RANGAREDDY,3,4,41,103
0,0,0,0,28,537,RANGAREDDY,2,4,43,103
0,0,0,0,28,537,RANGAREDDY,1,4,42,103
0,0,0,0,28,537,RANGAREDDY,2,5,52,103
0,0,0,0,28,537,RANGAREDDY,1,5,51,103
32,0,5,5,28,537,RANGAREDDY,1,3,31,103
210,0,37,37,28,537,RANGAREDDY,3,1,11,103
20,0,8,8,28,537,RANGAREDDY,3,5,51,103
24,0,8,8,28,537,RANGAREDDY,1,2,21,103
0,0,0,0,28,537,RANGAREDDY,1,3,32,103
0,0,0,0,28,537,RANGAREDDY,1,4,41,103
0,0,0,0,28,537,RANGAREDDY,1,5,52,103
0,0,0,0,28,537,RANGAREDDY,3,5,52,103
30,0,9,9,28,537,RANGAREDDY,1,1,12,103
0,0,0,0,28,537,RANGAREDDY,1,4,43,103
2,0,0,0,28,537,RANGAREDDY,1,1,11,103
189,0,37,37,28,537,RANGAREDDY,3,3,31,103
18,0,6,6,28,537,RANGAREDDY,3,4,42,103
