state_code,district_code,year,work_code,labor_exp_disb,material_exp_disb,labor_exp_pend,material_exp_pend,amt_sanc,total_works,no_blocks,no_blocks_summmarized
28,541,2011,4,48.96,3.1,48.96,3.1,395411154.4,2763,46,45
28,541,2012,2,0,0,0,0,9103035,34,46,14
28,541,2011,1,471.9,513.96,471.9,513.96,687935142.1,14705,46,46
28,538,2013,9,3822.68,221.61,3881.75,221.64,6359943847,222055,64,64
28,538,2013,8,0,0,0,0,0,0,64,0
28,538,2012,9,14946,1367.07,14946,1367.07,12332208888,225107,64,64
28,538,2013,7,74.06,4.22,74.23,4.22,78410070,437,64,53
28,538,2013,5,529.32,1.37,533.44,1.37,369715781,7217,64,61
28,538,2013,2,15.03,0,15.03,0,4594074,108,64,15
28,538,2013,1,518.13,394.53,535.02,394.53,1576217688,54388,64,64
28,538,2012,3,14.41,4.63,14.41,4.63,41937858,532,64,33
28,538,2012,1,1090.83,532.56,1090.83,532.56,2169620851,49454,64,64
28,538,2012,5,962.7,10.24,962.7,10.24,387361544,4861,64,60
28,538,2012,8,0,0,0,0,0,0,64,0
28,538,2012,4,390.22,3.57,390.22,3.57,1100892348,6704,64,64
28,538,2012,2,0.97,0,0.97,0,14619861,99,64,13
28,538,2013,4,3358.46,6.44,3388.04,6.44,1570586867,11893,64,64
28,538,2012,6,1933.39,1167.94,1933.39,1167.94,5804745951,234742,64,63
28,538,2011,9,13260.65,226.51,13260.65,226.51,10822936438,162689,64,64
28,538,2012,7,7.83,9.58,7.83,9.58,43301289,188,64,35
28,538,2011,8,0,0,0,0,0,0,64,0
28,538,2013,6,5206.49,1674.23,5290.54,1675.37,6000920515,253913,64,63
28,538,2011,7,22.6,1.45,22.6,1.45,17684266,66,64,22
28,538,2011,5,706.15,32.06,706.15,32.06,274487545.7,2653,64,41
28,538,2011,6,209.35,183.13,209.35,183.13,1659660570,25867,64,63
28,538,2011,3,39.75,8.84,39.75,8.84,46080325.22,280,64,38
28,538,2011,2,0,0,0,0,0,0,64,0
28,538,2011,4,1116.35,2.95,1116.35,2.95,435774490.5,1975,64,64
28,538,2011,1,631.11,613.25,631.11,613.25,1109661547,28572,64,64
28,538,2013,3,1.3,0.02,1.3,0.02,11460688,537,64,35
28,535,2013,1,1231.2,512.2,1246.7,512.32,2488932697,101835,46,45
28,535,2013,5,1188.48,48.29,1192.82,48.29,656629168,8542,46,45
28,535,2013,3,638.75,3.64,638.77,3.64,307969897,1537,46,42
28,535,2013,6,499.42,818.8,501.76,818.8,926852267,93279,46,45
28,535,2013,2,0,0,0,0,0,6,46,2
28,535,2012,9,3301.88,428.4,3301.88,428.4,4916344736,179490,46,45
28,535,2012,8,0,0,0,0,0,0,46,0
28,535,2013,9,1902.63,50.99,1905.97,50.99,2125735858,179993,46,45
28,535,2011,9,4428.01,351.56,4428.01,351.56,4235532405,135998,46,45
28,535,2012,6,268.34,439.74,268.34,439.74,2120416845,85121,46,45
28,535,2013,8,0,0,0,0,0,0,46,0
28,535,2012,5,1966.62,67.47,1966.65,67.47,1001969686,6810,46,45
28,535,2012,7,790.85,36.69,790.85,36.69,415724289,1620,46,43
28,535,2012,4,34.03,4.31,34.03,4.31,233330194,2816,46,43
28,535,2013,4,986.39,11.97,996.52,11.97,381164667,3655,46,43
28,535,2013,7,591.72,7.77,592.52,7.77,352528302,1279,46,42
28,535,2012,1,1507.4,402.02,1507.41,402.02,2863120686,91819,46,45
28,535,2011,8,0,0,0,0,0,0,46,0
28,535,2011,1,923.97,668.8,923.97,668.8,1175912991,37149,46,45
28,535,2011,7,229.78,74.15,229.78,74.15,125390345.4,394,46,31
28,535,2011,3,681.75,32.03,681.75,32.03,269999575.6,814,46,36
28,535,2011,2,0,0,0,0,0,0,46,0
28,535,2011,5,1565.47,3.81,1565.47,3.81,700737448.9,5370,46,42
28,535,2012,2,0,0,0,0,0,0,46,0
28,535,2011,4,254.48,14.78,254.48,14.78,126831958.2,700,46,42
28,535,2012,3,1111.73,4.46,1111.73,4.46,397292568,1279,46,39
28,535,2011,6,205.94,231.95,205.94,231.95,1180798145,16239,46,40
28,539,2012,4,312.65,9.95,312.65,9.95,553268011,3791,59,59
28,539,2012,7,476.6,230.79,476.6,230.79,230949982,1109,59,54
28,539,2012,1,1746.84,313.62,1746.84,313.62,2958610217,94471,59,59
28,539,2012,3,52.36,3.1,52.36,3.1,202581205,1778,59,56
28,539,2012,2,0,0,0,0,0,0,59,0
28,539,2011,9,10950.32,124.34,10950.32,124.34,11787153750,155246,59,59
28,539,2011,8,0,0,0,0,0,0,59,0
28,539,2011,7,5.41,44.28,5.41,44.28,35377560.02,123,59,26
28,539,2012,6,701.67,499.84,701.67,499.84,2573492571,255714,59,59
28,539,2011,6,81.91,14.65,81.91,14.65,1127406532,20536,59,59
28,539,2011,2,0,0,0,0,0,0,59,0
28,539,2011,4,464.16,22.73,464.16,22.73,652039815.1,2286,59,58
28,539,2011,1,899.53,512.86,899.53,512.86,1386327842,45983,59,59
28,539,2012,5,1799.31,3.65,1799.31,3.65,588985970,10727,59,58
28,539,2011,3,73.83,23.96,73.83,23.96,180053450.4,885,59,56
28,539,2011,5,1257.23,0,1257.23,0,575476519,8854,59,55
28,539,2013,8,0,0,0,0,0,12,59,2
28,539,2013,9,3994.28,81.25,3998.84,81.25,4592679443,212642,59,59
28,539,2013,7,236.9,52.18,236.9,52.18,257776714,928,59,53
28,539,2013,6,4722.62,1284.07,4724.04,1284.59,3325923127,266836,59,59
28,539,2013,2,0,0,0,0,0,2,59,2
28,539,2013,5,1348.29,2.59,1348.43,2.59,448182177,13963,59,59
28,539,2013,3,34.47,10.73,34.47,10.73,48884018,1766,59,56
28,539,2013,1,2459.01,826.19,2459.46,826.19,3533624583,99549,59,59
28,539,2013,4,984.17,122.24,984.37,122.24,474224953,6359,59,59
28,539,2012,9,16121.62,757.14,16121.62,757.14,11750777307,219504,59,59
28,539,2012,8,0,0,0,0,0,0,59,0
28,533,2011,9,3887.08,99.28,3887.08,99.28,1746745714,62008,36,36
28,533,2012,8,0,0,0,0,0,0,36,0
28,533,2013,7,4145.76,32.65,4145.76,32.65,1647090828,3027,36,36
28,533,2013,8,0,0,0,0,0,0,36,0
28,533,2013,4,813.43,19.69,813.43,19.69,279637817,4780,36,36
28,533,2013,2,24.16,0,24.16,0,5167434,16,36,5
28,533,2013,3,48.74,0.54,48.74,0.54,35795756,3587,36,35
28,533,2013,1,651.25,191.1,651.25,191.1,1110629044,60666,36,36
28,533,2012,9,2162.51,134.83,2162.51,134.83,1680184756,105231,36,36
28,533,2012,7,5873.47,97.9,5873.47,97.9,1497292966,2632,36,36
28,533,2013,5,969.51,0,969.51,0,366363014,16496,36,36
28,533,2012,6,81.37,37.75,81.37,37.75,759048990,9137,36,36
28,533,2012,4,50.08,1.76,50.08,1.76,245588226,2943,36,34
28,533,2012,3,119.08,0.14,119.08,0.14,151999288,2673,36,35
28,533,2012,1,1583.35,138.35,1583.35,138.35,1430451032,57872,36,36
28,533,2011,7,1079.87,0,1079.87,0,56021766,256,36,36
28,533,2011,6,53.37,28.13,53.37,28.13,242013108.3,3824,36,31
28,533,2011,1,528.17,339.44,528.17,339.44,440542484.4,19547,36,36
28,533,2013,9,1395.84,2.06,1395.84,2.06,581745954,104863,36,36
28,533,2011,3,117.69,24.44,117.69,24.44,105311853.9,680,36,33
28,533,2011,5,2082.09,0,2082.09,0,710389064.5,8428,36,36
28,533,2012,5,1559.77,0.35,1559.77,0.35,471668784,11593,36,36
28,533,2011,2,0,0,0,0,0,0,36,0
28,533,2013,6,498.84,354.33,498.84,354.48,442653185,14487,36,36
28,533,2011,4,160.37,7.8,160.37,7.8,49689867.51,1131,36,36
28,533,2012,2,0,0,0,0,831764,2,36,1
28,533,2011,8,0,0,0,0,0,0,36,0
28,537,2013,9,1398.39,34.42,1402.8,34.42,1727484386,94385,33,32
28,537,2013,8,16.41,2.96,16.43,2.96,5211859,1165,33,24
28,537,2013,7,208.03,5.28,208.2,5.28,114865779,465,33,24
28,537,2013,6,3311.12,249.35,3332.22,249.35,2333313925,103165,33,25
28,537,2013,2,0,0,0,0,0,0,33,0
28,537,2013,1,325.04,148.39,336.45,148.39,934904827,34985,33,33
28,537,2012,5,303.28,23.09,303.28,23.09,158309377,2878,33,25
28,537,2012,7,102.56,1.66,102.56,1.66,146885259,957,33,31
28,537,2012,4,298.65,0,298.65,0,599719427,3305,33,27
28,537,2012,1,901.04,127.01,901.04,127.01,1316164901,36869,33,33
28,537,2012,6,481.62,142.52,481.62,142.52,2197289871,97323,33,25
28,537,2013,5,500.63,5.78,502.27,5.78,165610414,2119,33,25
28,537,2012,8,0,0,0,0,0,0,33,0
28,537,2012,3,88.73,3.76,88.73,3.76,79585865,982,33,16
28,537,2012,2,0,0,0,0,0,0,33,0
28,537,2013,3,1104.45,0,1111.96,0,284235168,5355,33,20
28,537,2011,9,8199.26,3.18,8199.26,3.18,6191308840,83694,33,30
28,537,2012,9,6660.82,47.45,6660.82,47.45,4556779340,95717,33,32
28,537,2011,7,1.56,4.75,1.56,4.75,14785062,58,33,11
28,537,2011,6,225.19,136.04,225.19,136.04,837317550.6,13817,33,25
28,537,2011,8,0,0,0,0,0,0,33,0
28,537,2011,2,0,0,0,0,0,0,33,0
28,537,2013,4,3307.88,2.69,3340.03,2.69,986303232,6003,33,27
28,537,2011,3,5.27,0,5.27,0,4609622.55,22,33,5
28,537,2011,1,343.28,262.23,343.28,262.23,494671622.9,11976,33,28
28,537,2011,4,151.27,0.82,151.27,0.82,268982495.1,708,33,24
28,537,2011,5,59.62,1.05,59.62,1.05,51403621.92,372,33,14
28,540,2013,5,1502.29,0,1506.67,0,727178923,22120,50,48
28,540,2013,4,222.62,5.62,223.82,5.62,112196376,3910,50,50
28,540,2013,2,0,0,0,0,0,3,50,1
28,540,2013,3,12.21,1.77,12.28,1.77,17682098,2054,50,42
28,540,2013,6,2854.74,850.01,2869.12,851.42,2184035363,199062,50,50
28,540,2013,8,0,0,0,0,0,0,50,0
28,540,2012,9,6670.71,1495.68,6670.71,1495.68,4789521439,174193,50,50
28,540,2012,8,0,0,0,0,0,0,50,0
28,540,2013,9,1778.33,74.46,1787.11,74.46,1348298899,173430,50,50
28,540,2012,7,202.32,10.88,202.32,10.88,95199938,516,50,29
28,540,2011,9,6072.1,570.64,6072.1,570.64,5107475889,115345,50,50
28,540,2012,6,719.41,390.65,719.41,390.65,2849698572,190677,50,50
28,540,2012,4,65.37,0.63,65.37,0.63,219069254,2452,50,48
28,540,2012,3,42.74,0.98,42.74,0.98,132311694,1997,50,40
28,540,2013,7,0,0.01,0,0.01,25736149,668,50,35
28,540,2013,1,2749.22,1280.23,2789.98,1280.25,4082150280,104553,50,50
28,540,2011,3,60.35,30.7,60.35,30.7,125171197.7,889,50,37
28,540,2011,8,0,0,0,0,0,0,50,0
28,540,2011,1,724.23,824.05,724.23,824.05,881815312.3,27567,50,50
28,540,2011,5,4459.92,16.64,4459.92,16.64,1448897396,15357,50,45
28,540,2011,4,325.69,40.38,325.69,40.38,101389497.3,480,50,43
28,540,2012,1,2764.41,265.96,2764.41,265.96,2916673504,91720,50,50
28,540,2011,2,0,0,0,0,0,0,50,0
28,540,2012,2,0,0,0,0,0,0,50,0
28,540,2011,7,187.79,26.86,187.79,26.86,33503279.4,102,50,26
28,540,2012,5,2621.88,0.38,2621.88,0.38,1230205162,16648,50,48
28,540,2011,6,167.73,150.22,167.73,150.22,1250142240,14947,50,50
