district_code,state_code,year,rainfall,rainfall_anom
21,1,2003,1571.432852,16.5196214
21,1,2004,1267.133337,-6.04377622
21,1,2005,768.1036711,-43.04615128
21,1,2006,1704.394955,26.37858153
21,1,2007,1237.253038,-8.259360002
21,1,2008,1680.214999,24.58567047
21,1,2009,913.9300074,-32.2333256
21,1,2010,1252.518003,-7.12748353
4,1,1981,777.0518161,-26.27081123
4,1,1982,873.7522649,-17.09555999
4,1,1983,1119.325375,6.20521072
4,1,1984,908.8094293,-13.76922288
4,1,1985,1071.969634,1.71194487
4,1,1986,1242.930031,17.93322011
4,1,1987,1118.004097,6.079843544
4,1,1988,1422.538,34.97500498
4,1,1989,1101.482231,4.512195493
4,1,1990,1172.767862,11.27600664
4,1,1991,933.4757577,-11.42880189
4,1,1992,1131.935574,7.401707141
4,1,1993,1036.066164,-1.694692443
4,1,1994,1382.729903,31.19788397
4,1,1995,1452.131983,37.78297776
4,1,1996,1571.287145,49.0888048
4,1,1997,1508.239723,43.10666157
4,1,1998,786.189058,-25.40384018
4,1,1999,612.3256382,-41.90056361
4,1,2000,647.1310644,-38.59811223
4,1,2001,644.8253361,-38.81688719
4,1,2002,669.9638193,-36.43166662
4,1,2003,888.5331955,-15.6930975
4,1,2004,609.4316392,-42.17515559
4,1,2005,1882.337653,78.6022827
4,1,2006,1423.414455,35.05816581
4,1,2007,840.4308886,-20.25719992
4,1,2008,702.9281295,-33.30390629
4,1,2009,754.2285428,-28.4363572
4,1,2010,1331.573137,26.34396466
7,1,1981,1188.332438,0.257824291
7,1,1982,1434.991567,21.06808474
7,1,1983,1131.326237,-4.551703351
7,1,1984,1121.0567,-5.418128803
7,1,1985,1028.950043,-13.18902919
7,1,1986,1116.607616,-5.793491298
7,1,1987,965.0725388,-18.57827835
7,1,1988,2054.886432,73.36768417
7,1,1989,976.9253773,-17.57827215
7,1,1990,1342.434228,13.259161
7,1,1991,1078.8232,-8.981305799
7,1,1992,1071.404965,-9.607171164
7,1,1993,1106.076167,-6.68201383
7,1,1994,1354.810756,14.3033501
7,1,1995,1878.585952,58.49347726
7,1,1996,1098.01655,-7.36199162
7,1,1997,1410.443444,18.99699649
7,1,1998,1153.01413,-2.721928375
7,1,1999,973.5234514,-17.86528754
7,1,2000,822.0488667,-30.64497091
7,1,2001,837.7302454,-29.32195652
7,1,2002,552.303939,-53.40294561
7,1,2003,740.2929413,-37.54259563
7,1,2004,739.3504322,-37.6221137
7,1,2005,1764.122267,48.83634795
7,1,2006,1376.872294,16.16464892
7,1,2007,1312.767163,10.75619522
7,1,2008,1558.767987,31.51091555
7,1,2009,1348.49661,13.7706351
7,1,2010,1020.260689,-13.92213695
1,1,1981,972.3961714,-6.551479035
1,1,1982,1055.979911,1.481025735
1,1,1983,1114.390825,7.094389511
1,1,1984,963.9119368,-7.366824871
1,1,1985,925.2424731,-11.08301
1,1,1986,1273.686545,22.40291285
1,1,1987,1162.741884,11.74098842
1,1,1988,1172.929209,12.72000346
1,1,1989,1374.683067,32.10880833
1,1,1990,1440.361025,38.42054443
1,1,1991,1477.835804,42.02191884
1,1,1992,1358.716575,30.57440792
1,1,1993,1131.124273,8.70249537
1,1,1994,1347.379037,29.48485595
1,1,1995,1237.465139,18.92198919
1,1,1996,1494.029671,43.5781702
1,1,1997,946.2671091,-9.062515478
1,1,1998,995.5491514,-4.326447918
1,1,1999,752.2134521,-27.71132115
1,1,2000,697.6480047,-32.95513072
1,1,2001,823.2239035,-20.88712557
1,1,2002,932.3570888,-10.39928629
1,1,2003,1129.487366,8.54518651
1,1,2004,831.1828249,-20.122263
1,1,2005,219.5273907,-78.9031358
1,1,2006,1246.966192,19.83505255
1,1,2007,695.707816,-33.14158535
1,1,2008,1059.83751,1.851745898
1,1,2009,616.4886985,-40.75464429
1,1,2010,767.7345296,-26.21972567
3,1,1981,225.0784123,-72.55121742
3,1,1982,1161.331987,41.62686191
3,1,1983,975.7821045,18.99866607
3,1,1984,776.4919936,-5.305179272
3,1,1985,967.0247904,17.93069332
3,1,1986,1228.516945,49.82020789
3,1,1987,887.6885949,8.255478549
3,1,1988,1501.194779,83.07383931
3,1,1989,1047.491809,27.74381438
3,1,1990,1057.77893,28.9983502
3,1,1991,838.1257778,2.211189469
3,1,1992,881.7883434,7.535930545
3,1,1993,1073.73228,30.9438946
3,1,1994,1068.30847,30.28244964
3,1,1995,1386.883734,69.13336864
3,1,1996,1666.953389,103.2884481
3,1,1997,1327.151411,61.84888699
3,1,1998,220.4127358,-73.12020642
3,1,1999,124.1230153,-84.86293899
3,1,2000,248.2893893,-69.72059029
3,1,2001,145.5925576,-82.24468345
3,1,2002,302.9264834,-63.05748252
3,1,2003,168.0850291,-79.50167957
3,1,2004,270.9207623,-66.96064708
3,1,2005,1442.838472,75.95716582
3,1,2006,1517.836793,85.10336764
3,1,2007,673.6457008,-17.84749952
3,1,2008,245.8622634,-70.01658337
3,1,2009,638.7005696,-22.10913128
3,1,2010,529.2670804,-35.4547739
5,1,1981,790.9745858,-33.24300732
5,1,1982,1008.656509,-14.87100044
5,1,1983,1444.121556,21.88155455
5,1,1984,892.6322744,-24.66326064
5,1,1985,1126.90725,-4.890826588
5,1,1986,1694.797569,43.03821001
5,1,1987,1085.311243,-8.401463157
5,1,1988,1271.556682,7.317354588
5,1,1989,1399.157282,18.08664161
5,1,1990,1514.131844,27.79031113
5,1,1991,1441.258568,21.63992293
5,1,1992,1378.723969,16.36210263
5,1,1993,1293.793354,9.194094258
5,1,1994,1692.092232,42.80988392
5,1,1995,1557.738146,31.47061344
5,1,1996,1648.379254,39.12057828
5,1,1997,1249.424973,5.449473671
5,1,1998,1299.084479,9.640656729
5,1,1999,1054.649602,-10.98925679
5,1,2000,1135.972621,-4.125723701
5,1,2001,864.979389,-26.99712003
5,1,2002,710.9350307,-39.99821803
5,1,2003,1082.500007,-8.638727026
5,1,2004,1146.009047,-3.278665438
5,1,2005,373.7343915,-68.45741382
5,1,2006,1529.941393,29.12461189
5,1,2007,819.3186702,-30.85081183
5,1,2008,1099.962749,-7.164899427
5,1,2009,1012.462242,-14.54980259
5,1,2010,926.4889313,-21.80581283
12,1,1981,565.246331,-43.11040358
12,1,1982,618.5268094,-37.74795407
12,1,1983,1321.677851,33.02115455
12,1,1984,973.4408648,-2.027390725
12,1,1985,841.2279764,-15.33404562
12,1,1986,1344.995179,35.36794262
12,1,1987,1222.657719,23.05520683
12,1,1988,1334.291622,34.29067599
12,1,1989,1135.861788,14.31957211
12,1,1990,1158.205438,16.56836374
12,1,1991,1162.156734,16.96604459
12,1,1992,1242.972104,25.09976178
12,1,1993,909.551834,-8.457545108
12,1,1994,1249.201145,25.72668783
12,1,1995,1213.339935,22.11741226
12,1,1996,1568.671906,57.88003696
12,1,1997,1111.053284,11.82270354
12,1,1998,973.0762327,-2.06408936
12,1,1999,722.2584,-27.3078185
12,1,2000,644.4264483,-35.14126752
12,1,2001,613.0401905,-38.30015851
12,1,2002,756.7617408,-23.8352066
12,1,2003,1169.338073,17.6888153
12,1,2004,749.9366532,-24.52212213
12,1,2005,708.764886,-28.66588228
12,1,2006,1298.152906,30.65347065
12,1,2007,712.7149454,-28.2683259
12,1,2008,713.7074164,-28.16843798
12,1,2009,891.6604593,-10.25823453
12,1,2010,880.6243981,-11.36896631
6,1,1981,825.4912446,-34.29362383
6,1,1982,1297.562661,3.281701451
6,1,1983,1431.713909,13.95969765
6,1,1984,873.2266957,-30.49403962
6,1,1985,1410.022186,12.23310816
6,1,1986,1795.614805,42.92500686
6,1,1987,1095.441875,-12.80644544
6,1,1988,1486.828246,18.34661682
6,1,1989,1130.144467,-10.04423369
6,1,1990,1485.160449,18.21386569
6,1,1991,1162.09942,-7.500725002
6,1,1992,1278.960601,1.80103897
6,1,1993,1149.888952,-8.472637918
6,1,1994,1665.300585,32.55242549
6,1,1995,1423.755575,13.32624057
6,1,1996,1787.719976,42.29660461
6,1,1997,1466.940123,16.7635879
6,1,1998,1239.122373,-1.369952398
6,1,1999,1006.384716,-19.89510107
6,1,2000,1056.669985,-15.89255977
6,1,2001,918.4208585,-26.89673355
6,1,2002,822.8888687,-34.50076436
6,1,2003,1358.340494,8.119416191
6,1,2004,1271.044712,1.170960329
