"state_code","district_code","social_group","size_class","holding_no","holding_ar","holding_whly.owned_self.operatd_no","holding_whly.owned_self.operatd_ar","holding_whly_leased.in_no","holding_whly_leased.in_ar","holding_whly.operatd_no","holding_whly.operatd_ar","holding_partly.ownd_leased.in_operatd_no","holding_partly.ownd_leased.in_operatd_ownd.ar","holding_partly.ownd_leased.in_operatd_leasdin.ar","holding_partly.ownd_leased.in_operatd_operatd.ar","holding_partly.ownd_leased.in_operatd_tot.ar"
36,549,99,99,670553,847508,670544,847498,0,0,9,9,0,0,0,0,0
36,550,99,99,457015,478919,455684,476431,682,999,216,213,433,624,595,57,1276
36,551,99,99,441306,542399,441192,542265,13,17,101,118,0,0,0,0,0
36,552,99,99,632902,1050086,631471,1046625,1130,1853,0,0,301,750,838,20,1608
36,553,99,99,727951,1278010,727313,1277231,0,0,638,779,0,0,0,0,0
36,554,99,99,667182,626306,665943,624586,916,1094,111,153,212,253,216,3,472
37,532,4,52,6,392,6,392,0,0,0,0,0,0,0,0,0
37,533,4,52,10,526,10,526,0,0,0,0,0,0,0,0,0
37,534,4,52,4,268,4,268,0,0,0,0,0,0,0,0,0
37,535,4,52,16,2011,16,2011,0,0,0,0,0,0,0,0,0
36,537,4,52,10,318,10,318,0,0,0,0,0,0,0,0,0
37,538,4,52,4,377,4,377,0,0,0,0,0,0,0,0,0
37,539,4,52,30,1778,30,1778,0,0,0,0,0,0,0,0,0
37,540,4,52,1,65,1,65,0,0,0,0,0,0,0,0,0
37,541,4,52,12,1510,12,1510,0,0,0,0,0,0,0,0,0
36,542,4,52,41,2149,41,2149,0,0,0,0,0,0,0,0,0
36,543,4,52,17,757,17,757,0,0,0,0,0,0,0,0,0
36,544,4,52,10,867,10,867,0,0,0,0,0,0,0,0,0
36,545,4,52,43,1973,43,1973,0,0,0,0,0,0,0,0,0
36,546,4,52,26,911,26,911,0,0,0,0,0,0,0,0,0
36,547,4,52,3,92,3,92,0,0,0,0,0,0,0,0,0
36,548,4,52,72,4341,72,4341,0,0,0,0,0,0,0,0,0
36,549,4,52,31,1347,31,1347,0,0,0,0,0,0,0,0,0
36,550,4,52,78,4446,78,4446,0,0,0,0,0,0,0,0,0
36,551,4,52,5,581,5,581,0,0,0,0,0,0,0,0,0
36,552,4,52,15,1354,15,1354,0,0,0,0,0,0,0,0,0
36,553,4,52,42,2714,42,2714,0,0,0,0,0,0,0,0,0
36,554,4,52,16,1953,16,1953,0,0,0,0,0,0,0,0,0
37,532,1,52,17,599,17,599,0,0,0,0,0,0,0,0,0
37,533,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0
37,534,1,52,8,200,8,200,0,0,0,0,0,0,0,0,0
37,535,1,52,6,221,6,221,0,0,0,0,0,0,0,0,0
36,537,1,52,8,242,8,242,0,0,0,0,0,0,0,0,0
37,538,1,52,18,660,18,660,0,0,0,0,0,0,0,0,0
37,539,1,52,3,89,3,89,0,0,0,0,0,0,0,0,0
37,540,1,52,36,1502,36,1502,0,0,0,0,0,0,0,0,0
37,541,1,52,4,173,4,173,0,0,0,0,0,0,0,0,0
36,542,1,52,1,43,1,43,0,0,0,0,0,0,0,0,0
36,543,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0
36,544,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0
36,545,1,52,2,41,2,41,0,0,0,0,0,0,0,0,0
36,546,1,52,2,62,2,62,0,0,0,0,0,0,0,0,0
36,547,1,52,10,298,10,298,0,0,0,0,0,0,0,0,0
36,548,1,52,7,147,7,147,0,0,0,0,0,0,0,0,0
36,549,1,52,6,183,6,183,0,0,0,0,0,0,0,0,0
36,550,1,52,1,27,1,27,0,0,0,0,0,0,0,0,0
36,551,1,52,1,24,1,24,0,0,0,0,0,0,0,0,0
36,552,1,52,9,351,9,351,0,0,0,0,0,0,0,0,0
36,553,1,52,11,286,11,286,0,0,0,0,0,0,0,0,0
36,554,1,52,9,314,9,314,0,0,0,0,0,0,0,0,0
37,532,3,52,234,8200,234,8200,0,0,0,0,0,0,0,0,0
37,533,3,52,35,999,35,999,0,0,0,0,0,0,0,0,0
37,534,3,52,131,4390,131,4390,0,0,0,0,0,0,0,0,0
37,535,3,52,215,6419,215,6419,0,0,0,0,0,0,0,0,0
36,537,3,52,149,4313,149,4313,0,0,0,0,0,0,0,0,0
37,538,3,52,341,10275,341,10275,0,0,0,0,0,0,0,0,0
37,539,3,52,159,5109,159,5109,0,0,0,0,0,0,0,0,0
37,540,3,52,287,9234,287,9234,0,0,0,0,0,0,0,0,0
37,541,3,52,159,6578,157,6525,0,0,0,0,2,34,20,0,53
36,542,3,52,57,2182,57,2182,0,0,0,0,0,0,0,0,0
36,543,3,52,79,2539,79,2539,0,0,0,0,0,0,0,0,0
36,544,3,52,31,942,30,920,1,21,0,0,0,0,0,0,0
36,545,3,52,64,1887,64,1887,0,0,0,0,0,0,0,0,0
36,546,3,52,48,1659,48,1659,0,0,0,0,0,0,0,0,0
36,547,3,52,59,1884,57,1835,0,0,0,0,2,43,6,0,49
36,548,3,52,38,1206,38,1206,0,0,0,0,0,0,0,0,0
36,549,3,52,151,4347,151,4347,0,0,0,0,0,0,0,0,0
36,550,3,52,157,4883,157,4883,0,0,0,0,0,0,0,0,0
36,551,3,52,43,1709,43,1709,0,0,0,0,0,0,0,0,0
36,552,3,52,235,8707,232,8601,0,0,0,0,3,69,36,0,106
36,553,3,52,367,11401,367,11401,0,0,0,0,0,0,0,0,0
36,554,3,52,123,3571,123,3571,0,0,0,0,0,0,0,0,0
37,532,2,52,93,2715,93,2715,0,0,0,0,0,0,0,0,0
37,533,2,52,2,67,2,67,0,0,0,0,0,0,0,0,0
37,534,2,52,3,92,3,92,0,0,0,0,0,0,0,0,0
37,535,2,52,3,113,3,113,0,0,0,0,0,0,0,0,0
36,537,2,52,8,253,8,253,0,0,0,0,0,0,0,0,0
37,538,2,52,16,622,16,622,0,0,0,0,0,0,0,0,0
37,539,2,52,3,89,3,89,0,0,0,0,0,0,0,0,0
37,540,2,52,23,627,23,627,0,0,0,0,0,0,0,0,0
37,541,2,52,37,999,37,999,0,0,0,0,0,0,0,0,0
36,542,2,52,1,21,1,21,0,0,0,0,0,0,0,0,0
36,543,2,52,3,67,3,67,0,0,0,0,0,0,0,0,0
36,544,2,52,42,1049,42,1049,0,0,0,0,0,0,0,0,0
36,545,2,52,25,664,25,664,0,0,0,0,0,0,0,0,0
36,546,2,52,4,406,4,406,0,0,0,0,0,0,0,0,0
36,547,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0
36,548,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0
36,549,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0
36,550,2,52,2,63,2,63,0,0,0,0,0,0,0,0,0
36,551,2,52,1,41,1,41,0,0,0,0,0,0,0,0,0
36,552,2,52,2,58,2,58,0,0,0,0,0,0,0,0,0
36,553,2,52,4,103,4,103,0,0,0,0,0,0,0,0,0
36,554,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0
37,532,99,52,350,11906,350,11906,0,0,0,0,0,0,0,0,0
37,533,99,52,47,1591,47,1591,0,0,0,0,0,0,0,0,0
37,534,99,52,146,4950,146,4950,0,0,0,0,0,0,0,0,0
37,535,99,52,240,8764,240,8764,0,0,0,0,0,0,0,0,0
36,537,99,52,175,5127,175,5127,0,0,0,0,0,0,0,0,0
37,538,99,52,379,11934,379,11934,0,0,0,0,0,0,0,0,0
37,539,99,52,195,7065,195,7065,0,0,0,0,0,0,0,0,0
37,540,99,52,347,11428,347,11428,0,0,0,0,0,0,0,0,0
37,541,99,52,212,9260,210,9206,0,0,0,0,2,34,20,0,53
36,542,99,52,100,4395,100,4395,0,0,0,0,0,0,0,0,0
36,543,99,52,99,3363,99,3363,0,0,0,0,0,0,0,0,0
36,544,99,52,83,2857,82,2836,1,21,0,0,0,0,0,0,0
36,545,99,52,134,4565,134,4565,0,0,0,0,0,0,0,0,0
36,546,99,52,80,3038,80,3038,0,0,0,0,0,0,0,0,0
36,547,99,52,72,2274,70,2225,0,0,0,0,2,43,6,0,49
36,548,99,52,117,5694,117,5694,0,0,0,0,0,0,0,0,0
36,549,99,52,188,5877,188,5877,0,0,0,0,0,0,0,0,0
36,550,99,52,238,9420,238,9420,0,0,0,0,0,0,0,0,0
36,551,99,52,50,2355,50,2355,0,0,0,0,0,0,0,0,0
36,552,99,52,261,10470,258,10365,0,0,0,0,3,69,36,0,106
36,553,99,52,424,14504,424,14504,0,0,0,0,0,0,0,0,0
36,554,99,52,148,5839,148,5839,0,0,0,0,0,0,0,0,0
37,532,4,11,14,4,14,4,0,0,0,0,0,0,0,0,0
37,533,4,11,15,4,15,4,0,0,0,0,0,0,0,0,0
37,534,4,11,1,0,1,0,0,0,0,0,0,0,0,0,0
37,535,4,11,23,9,23,9,0,0,0,0,0,0,0,0,0
36,537,4,11,3,1,3,1,0,0,0,0,0,0,0,0,0
37,538,4,11,1,0,1,0,0,0,0,0,0,0,0,0,0
37,539,4,11,25,6,25,6,0,0,0,0,0,0,0,0,0
37,540,4,11,2,1,2,1,0,0,0,0,0,0,0,0,0
37,541,4,11,9,3,9,3,0,0,0,0,0,0,0,0,0
36,542,4,11,41,15,41,15,0,0,0,0,0,0,0,0,0
36,543,4,11,4,1,4,1,0,0,0,0,0,0,0,0,0
36,544,4,11,52,14,52,14,0,0,0,0,0,0,0,0,0
36,545,4,11,256,60,256,60,0,0,0,0,0,0,0,0,0
36,546,4,11,143,41,143,41,0,0,0,0,0,0,0,0,0
36,547,4,11,7,2,7,2,0,0,0,0,0,0,0,0,0
36,548,4,11,16,4,16,4,0,0,0,0,0,0,0,0,0
36,549,4,11,8,3,8,3,0,0,0,0,0,0,0,0,0
36,550,4,11,37,9,37,9,0,0,0,0,0,0,0,0,0
36,551,4,11,2,0,2,0,0,0,0,0,0,0,0,0,0
36,552,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0
36,553,4,11,74,23,74,23,0,0,0,0,0,0,0,0,0
36,554,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0
37,532,1,11,27860,7194,27836,7188,24,6,0,0,0,0,0,0,0
37,533,1,11,32389,9171,32389,9171,0,0,0,0,0,0,0,0,0
37,534,1,11,53893,13581,53882,13576,11,5,0,0,0,0,0,0,0
37,535,1,11,54402,13355,54402,13355,0,0,0,0,0,0,0,0,0
36,537,1,11,20453,5653,20448,5651,0,0,5,2,0,0,0,0,0
37,538,1,11,52850,13806,52850,13806,0,0,0,0,0,0,0,0,0
37,539,1,11,44621,11269,44609,11266,4,2,8,1,0,0,0,0,0
37,540,1,11,46586,11541,46487,11503,74,29,4,0,21,4,5,0,8
37,541,1,11,25926,6764,25907,6757,19,6,0,0,0,0,0,0,0
36,542,1,11,20820,4478,20820,4478,0,0,0,0,0,0,0,0,0
36,543,1,11,14612,3369,14405,3317,187,46,0,0,20,3,3,0,6
36,544,1,11,6496,1686,6367,1645,59,19,9,1,61,13,5,4,21
36,545,1,11,50970,10531,50814,10502,44,20,96,3,16,2,4,0,6
36,546,1,11,32978,8154,32969,8149,0,0,0,0,9,4,1,0,5
36,547,1,11,34744,8463,34162,8305,520,144,49,8,13,3,3,0,5
36,548,1,11,34152,9038,34152,9038,0,0,0,0,0,0,0,0,0
36,549,1,11,33565,9327,33565,9327,0,0,0,0,0,0,0,0,0
36,550,1,11,52898,13439,52868,13430,26,8,4,1,0,0,0,0,0
36,551,1,11,15238,4442,15230,4440,0,0,8,2,0,0,0,0,0
36,552,1,11,21154,6841,21148,6838,6,3,0,0,0,0,0,0,0
36,553,1,11,15192,4823,15192,4823,0,0,0,0,0,0,0,0,0
36,554,1,11,48943,12497,48913,12490,16,5,9,0,5,2,0,0,3
37,532,3,11,97929,25117,97903,25106,18,7,8,4,0,0,0,0,0
37,533,3,11,143661,38735,143661,38735,0,0,0,0,0,0,0,0,0
37,534,3,11,212595,55466,212533,55444,53,19,9,2,0,0,0,0,0
37,535,3,11,224181,54025,224170,54022,7,1,4,2,0,0,0,0,0
36,537,3,11,78342,22304,78325,22300,5,3,12,1,0,0,0,0,0
37,538,3,11,242235,61655,242227,61653,8,3,0,0,0,0,0,0,0
37,539,3,11,182175,49350,182146,49344,6,1,12,3,11,1,1,0,2
37,540,3,11,192585,47874,192248,47763,200,69,0,0,137,19,22,0,42
37,541,3,11,92362,26551,92161,26479,192,68,0,0,9,4,0,0,4
36,542,3,11,270668,63781,270533,63743,56,15,0,0,79,5,18,0,23
36,543,3,11,213638,48037,210769,47226,2488,682,22,6,359,63,58,2,123
36,544,3,11,219266,51993,214521,50736,1269,312,1361,246,2115,401,148,150,699
36,545,3,11,360241,89144,359372,88899,573,175,81,2,215,33,34,1,68
36,546,3,11,257762,69196,257713,69180,32,9,6,1,11,2,3,0,5
36,547,3,11,215688,61230,210354,59621,4920,1524,245,23,169,31,30,0,61
36,548,3,11,283640,84223,283640,84223,0,0,0,0,0,0,0,0,0
36,549,3,11,175366,50662,175366,50662,0,0,0,0,0,0,0,0,0
36,550,3,11,130240,34378,130072,34326,94,31,65,17,9,3,0,1,4
36,551,3,11,105204,29988,105194,29984,0,0,10,3,0,0,0,0,0
36,552,3,11,99234,31717,99145,31685,89,32,0,0,0,0,0,0,0
36,553,3,11,88872,27405,88864,27403,0,0,8,3,0,0,0,0,0
36,554,3,11,222355,57027,222187,56974,146,46,22,8,0,0,0,0,0
37,532,2,11,18221,5142,18193,5129,28,13,0,0,0,0,0,0,0
37,533,2,11,13086,4026,13086,4026,0,0,0,0,0,0,0,0,0
37,534,2,11,7879,2178,7874,2176,5,2,0,0,0,0,0,0,0
37,535,2,11,10735,3088,10735,3088,0,0,0,0,0,0,0,0,0
36,537,2,11,8541,2593,8527,2589,0,0,14,4,0,0,0,0,0
37,538,2,11,29640,8141,29640,8141,0,0,0,0,0,0,0,0,0
37,539,2,11,29377,8601,29377,8601,0,0,0,0,0,0,0,0,0
37,540,2,11,41606,11120,41416,11068,121,35,0,0,69,11,5,0,17
37,541,2,11,51817,15218,51669,15169,148,49,0,0,0,0,0,0,0
36,542,2,11,17337,4479,17325,4475,0,0,12,4,0,0,0,0,0
36,543,2,11,16594,4372,16539,4356,52,15,0,0,3,0,1,0,1
36,544,2,11,29040,7853,28917,7812,31,12,0,0,92,20,2,7,29
36,545,2,11,10200,2756,10200,2756,0,0,0,0,0,0,0,0,0
36,546,2,11,8225,2367,8225,2367,0,0,0,0,0,0,0,0,0
36,547,2,11,6829,1945,6740,1917,85,26,0,0,4,1,1,0,2
36,548,2,11,8164,2447,8164,2447,0,0,0,0,0,0,0,0,0
36,549,2,11,5743,1724,5739,1723,0,0,4,1,0,0,0,0,0
36,550,2,11,15233,4040,15223,4035,10,5,0,0,0,0,0,0,0
36,551,2,11,2865,833,2865,833,0,0,0,0,0,0,0,0,0
36,552,2,11,2865,921,2865,921,0,0,0,0,0,0,0,0,0
36,553,2,11,4431,1429,4431,1429,0,0,0,0,0,0,0,0,0
36,554,2,11,7092,2022,7092,2022,0,0,0,0,0,0,0,0,0
37,532,99,11,144024,37457,143946,37428,70,25,8,4,0,0,0,0,0
37,533,99,11,189151,51936,189151,51936,0,0,0,0,0,0,0,0,0
37,534,99,11,274368,71226,274290,71197,69,26,9,2,0,0,0,0,0
37,535,99,11,289341,70477,289330,70474,7,1,4,2,0,0,0,0,0
36,537,99,11,107339,30551,107303,30541,5,3,31,7,0,0,0,0,0
37,538,99,11,324726,83602,324718,83600,8,3,0,0,0,0,0,0,0
37,539,99,11,256198,69226,256157,69216,10,3,20,5,11,1,1,0,2
37,540,99,11,280779,70536,280153,70334,395,134,4,0,227,35,32,0,67
37,541,99,11,170114,48535,169746,48408,359,123,0,0,9,4,0,0,4
36,542,99,11,308866,72753,308719,72711,56,15,12,4,79,5,18,0,23
36,543,99,11,244848,55780,241717,54901,2727,743,22,6,382,66,62,2,130
36,544,99,11,254854,61546,249857,60207,1359,344,1370,246,2268,434,154,160,749
36,545,99,11,421667,102491,420642,102217,617,195,177,5,231,36,38,1,74
36,546,99,11,299108,79758,299050,79737,32,9,6,1,20,7,4,0,10
36,547,99,11,257268,71639,251263,69845,5525,1695,294,31,186,35,33,0,68
36,548,99,11,325972,95713,325972,95713,0,0,0,0,0,0,0,0,0
36,549,99,11,214682,61716,214678,61714,0,0,4,1,0,0,0,0,0
36,550,99,11,198408,51866,198200,51799,130,45,69,18,9,3,0,1,4
36,551,99,11,123309,35264,123291,35258,0,0,18,5,0,0,0,0,0
36,552,99,11,123253,39479,123158,39445,95,35,0,0,0,0,0,0,0
36,553,99,11,108569,33680,108561,33677,0,0,8,3,0,0,0,0,0
36,554,99,11,278390,71547,278192,71486,162,50,31,8,5,2,0,0,3
37,532,4,21,6,8,6,8,0,0,0,0,0,0,0,0,0
37,533,4,21,8,11,8,11,0,0,0,0,0,0,0,0,0
37,534,4,21,5,9,5,9,0,0,0,0,0,0,0,0,0
37,535,4,21,32,46,32,46,0,0,0,0,0,0,0,0,0
36,537,4,21,10,16,10,16,0,0,0,0,0,0,0,0,0
37,538,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0
37,539,4,21,16,22,16,22,0,0,0,0,0,0,0,0,0
37,540,4,21,1,1,1,1,0,0,0,0,0,0,0,0,0
37,541,4,21,24,38,24,38,0,0,0,0,0,0,0,0,0
36,542,4,21,106,162,106,162,0,0,0,0,0,0,0,0,0
36,543,4,21,6,10,6,10,0,0,0,0,0,0,0,0,0
36,544,4,21,43,62,43,62,0,0,0,0,0,0,0,0,0
36,545,4,21,126,183,126,183,0,0,0,0,0,0,0,0,0
36,546,4,21,144,208,144,208,0,0,0,0,0,0,0,0,0
36,547,4,21,1,2,1,2,0,0,0,0,0,0,0,0,0
36,548,4,21,142,214,142,214,0,0,0,0,0,0,0,0,0
36,549,4,21,15,22,15,22,0,0,0,0,0,0,0,0,0
36,550,4,21,152,214,152,214,0,0,0,0,0,0,0,0,0
36,551,4,21,5,6,5,6,0,0,0,0,0,0,0,0,0
36,552,4,21,2,3,2,3,0,0,0,0,0,0,0,0,0
36,553,4,21,80,114,80,114,0,0,0,0,0,0,0,0,0
36,554,4,21,5,8,5,8,0,0,0,0,0,0,0,0,0
37,532,1,21,18917,26616,18662,26232,235,353,5,10,15,12,9,0,21
37,533,1,21,10813,14520,10811,14518,2,2,0,0,0,0,0,0,0
37,534,1,21,13973,18940,13863,18784,71,95,4,6,35,30,25,0,55
37,535,1,21,18593,25236,18593,25236,0,0,0,0,0,0,0,0,0
36,537,1,21,12105,16722,12105,16722,0,0,0,0,0,0,0,0,0
37,538,1,21,27944,39005,27944,39005,0,0,0,0,0,0,0,0,0
37,539,1,21,14990,20554,14977,20537,6,9,0,0,7,3,4,0,7
37,540,1,21,11507,15694,11501,15682,0,0,0,0,6,0,11,0,12
37,541,1,21,5748,7799,5699,7730,31,44,0,0,18,12,11,2,25
