"state_code","district_code","social_group","size_class","holding_no","holding_ar","gca_irrigated","gca_unirrigated","gca_total"
36,548,1,52,7,147,74,0,74
36,549,1,52,6,183,31,60,91
36,550,1,52,1,27,14,0,14
36,551,1,52,1,24,0,12,12
36,552,1,52,9,351,23,192,215
36,553,1,52,11,286,0,143,143
36,554,1,52,9,314,89,100,189
37,532,3,52,234,8200,389,4446,4835
37,533,3,52,35,999,285,183,468
37,534,3,52,131,4390,1853,371,2224
37,535,3,52,215,6419,1093,2696,3788
36,537,3,52,149,4313,715,922,1637
37,538,3,52,341,10275,1380,3018,4397
37,539,3,52,159,5109,1348,1246,2595
37,540,3,52,287,9234,1508,4882,6390
37,541,3,52,159,6578,2089,3268,5357
36,542,3,52,57,2182,1007,311,1318
36,543,3,52,79,2539,755,695,1450
36,544,3,52,31,942,451,153,604
36,545,3,52,64,1887,595,475,1070
36,546,3,52,48,1659,970,272,1242
36,547,3,52,59,1884,804,481,1285
36,548,3,52,38,1206,374,229,603
36,549,3,52,151,4347,450,1691,2141
36,550,3,52,157,4883,1359,1138,2497
36,551,3,52,43,1709,313,537,850
36,552,3,52,235,8707,885,5286,6171
36,553,3,52,367,11401,1235,7573,8808
36,554,3,52,123,3571,375,1397,1772
37,532,2,52,93,2715,16,602,618
37,533,2,52,2,67,33,0,33
37,534,2,52,3,92,25,21,46
37,535,2,52,3,113,0,57,57
36,537,2,52,8,253,26,87,113
37,538,2,52,16,622,137,146,283
37,539,2,52,3,89,1,38,40
37,540,2,52,23,627,130,294,424
37,541,2,52,37,999,454,122,576
36,542,2,52,1,21,0,10,10
36,543,2,52,3,67,6,38,44
36,544,2,52,42,1049,140,424,564
36,545,2,52,25,664,144,101,246
36,546,2,52,4,406,608,0,608
36,547,2,52,0,0,0,0,0
36,548,2,52,0,0,0,0,0
36,549,2,52,0,0,0,0,0
36,550,2,52,2,63,31,0,31
36,551,2,52,1,41,0,0,0
36,552,2,52,2,58,0,29,29
36,553,2,52,4,103,10,65,75
36,554,2,52,0,0,0,0,0
37,532,99,52,350,11906,487,5655,6142
37,533,99,52,47,1591,581,183,764
37,534,99,52,146,4950,2048,450,2499
37,535,99,52,240,8764,1908,3204,5112
36,537,99,52,175,5127,839,1123,1962
37,538,99,52,379,11934,1549,3738,5286
37,539,99,52,195,7065,1741,1569,3311
37,540,99,52,347,11428,1981,5833,7814
37,541,99,52,212,9260,2843,3727,6570
36,542,99,52,100,4395,1704,976,2680
36,543,99,52,99,3363,930,998,1929
36,544,99,52,83,2857,877,871,1749
36,545,99,52,134,4565,1658,1031,2688
36,546,99,52,80,3038,2184,290,2474
36,547,99,52,72,2274,890,566,1456
36,548,99,52,117,5694,2937,833,3770
36,549,99,52,188,5877,578,2290,2868
36,550,99,52,238,9420,2670,2357,5027
36,551,99,52,50,2355,604,549,1153
36,552,99,52,261,10470,957,6197,7153
36,553,99,52,424,14504,1259,9187,10446
36,554,99,52,148,5839,1129,1715,2844
37,532,4,11,14,4,0,1,2
37,533,4,11,15,4,1,0,1
37,534,4,11,1,0,0,0,0
37,535,4,11,23,9,2,2,5
36,537,4,11,3,1,0,0,0
37,538,4,11,1,0,0,0,0
37,539,4,11,25,6,3,1,4
37,540,4,11,2,1,0,0,0
37,541,4,11,9,3,2,1,3
36,542,4,11,41,15,10,5,16
36,543,4,11,4,1,0,0,1
36,544,4,11,52,14,8,2,9
36,545,4,11,256,60,78,7,86
36,546,4,11,143,41,60,1,61
36,547,4,11,7,2,0,1,1
36,548,4,11,16,4,3,2,5
36,549,4,11,8,3,0,1,1
36,550,4,11,37,9,10,0,10
36,551,4,11,2,0,0,0,0
36,552,4,11,0,0,0,0,0
36,553,4,11,74,23,1,14,15
36,554,4,11,0,0,0,0,0
37,532,1,11,27860,7194,1568,4759,6327
37,533,1,11,32389,9171,8604,3303,11907
37,534,1,11,53893,13581,9649,3759,13408
37,535,1,11,54402,13355,2940,7691,10631
36,537,1,11,20453,5653,874,1957,2831
37,538,1,11,52850,13806,2398,8093,10491
37,539,1,11,44621,11269,6214,2792,9006
37,540,1,11,46586,11541,5968,4234,10202
37,541,1,11,25926,6764,4368,2749,7117
36,542,1,11,20820,4478,3091,2835,5926
36,543,1,11,14612,3369,1568,2258,3827
36,544,1,11,6496,1686,1061,741,1803
36,545,1,11,50970,10531,11324,4763,16087
36,546,1,11,32978,8154,11053,562,11616
36,547,1,11,34744,8463,7096,4853,11950
36,548,1,11,34152,9038,6942,4435,11376
36,549,1,11,33565,9327,2467,5548,8015
36,550,1,11,52898,13439,12236,1469,13705
36,551,1,11,15238,4442,2283,1097,3381
