"state_code","district_code","year","crop_code","season","area","prodn","yield"
28,539,2007,202,1,38000,18000,0.473684211
28,534,2001,202,1,4999,2649,0.529905981
28,534,2002,202,1,6620,1629,0.246072508
28,533,2003,202,1,2420,813,0.335950413
28,533,2009,202,1,3206,2998,0.935121647
28,534,2002,202,2,512,126,0.24609375
28,537,2005,202,1,36260,25998,0.716988417
28,540,2007,202,1,22000,9000,0.409090909
28,540,2008,202,2,562,424,0.754448399
28,540,2006,202,2,982,343,0.349287169
28,537,2003,202,1,35790,26306,0.735009779
28,540,2001,202,1,24587,13302,0.541017611
28,540,2005,202,1,23784,11987,0.503994282
28,537,2009,202,1,33938,14220,0.418999352
28,540,2004,202,1,24273,7039,0.289992996
28,537,2004,202,1,35579,15477,0.435003794
28,537,2008,202,1,33289,20639,0.619994593
28,540,2008,202,1,16526,12477,0.754992134
28,537,2009,202,2,408,171,0.419117647
28,540,2002,202,1,21213,9227,0.434969123
28,537,2011,202,2,8,2,0.25
28,540,2004,202,2,1335,387,0.28988764
28,540,2010,202,2,1026,276,0.269005848
28,540,2011,202,1,12820,6013,0.469032761
28,540,2001,202,2,318,172,0.540880503
28,537,2010,202,2,46,12,0.260869565
28,540,2009,202,2,2363,931,0.39399069
28,537,2006,202,1,33213,24611,0.741005028
28,540,2011,202,2,205,96,0.468292683
28,540,2009,202,1,23464,9245,0.394007842
28,540,2003,202,2,1442,604,0.418862691
28,540,2003,202,1,27449,11501,0.418995228
28,540,2006,202,1,21039,7343,0.349018489
28,540,2010,202,1,17943,4827,0.269018559
28,540,2002,202,2,1782,775,0.434904602
28,540,2002,103,1,49,23,0.469387755
28,537,2003,103,2,1,1,1
28,540,2001,103,1,55,26,0.472727273
28,540,2007,103,2,2000,1000,0.5
28,537,2009,103,1,168,81,0.482142857
28,537,2010,103,1,331,240,0.725075529
28,537,2001,103,1,706,330,0.467422096
28,540,2006,103,1,22,8,0.363636364
28,540,2003,103,2,290,177,0.610344828
28,537,2006,103,1,354,125,0.353107345
28,537,2004,103,1,967,306,0.316442606
28,540,2010,103,1,9,7,0.777777778
28,540,2011,103,2,4,3,0.75
28,537,2008,103,1,333,211,0.633633634
28,537,2001,103,2,34,16,0.470588235
28,540,2003,103,1,62,38,0.612903226
28,537,2004,103,2,2,1,0.5
28,540,2005,103,1,73,46,0.630136986
28,540,2004,103,1,25,8,0.32
28,541,2008,103,1,33,21,0.636363636
28,534,2009,103,2,710,344,0.484507042
28,539,2006,103,1,3854,1187,0.307991697
28,538,2008,103,2,101,67,0.663366337
28,541,2009,103,2,28,14,0.5
28,537,2011,103,1,88,55,0.625
28,533,2010,103,2,8052,5838,0.725037258
28,538,2011,103,1,2322,1275,0.549095607
28,541,2009,103,1,4,2,0.5
28,535,2008,103,1,739,469,0.634641407
28,538,2010,103,1,3885,2863,0.736936937
28,534,2002,103,2,330,156,0.472727273
28,538,2007,103,1,6000,4000,0.666666667
28,538,2003,103,2,48,28,0.583333333
28,539,2005,103,2,9,4,0.444444444
28,532,2007,103,2,1000,1000,1
28,534,2004,103,2,543,172,0.316758748
28,532,2003,103,2,1820,1112,0.610989011
28,534,2008,103,2,4,3,0.75
28,532,2004,103,2,1230,389,0.316260163
28,539,2003,103,2,5,3,0.6
28,538,2010,103,2,14,10,0.714285714
28,534,2003,103,2,939,574,0.611288605
28,533,2008,103,2,7008,4443,0.633989726
28,539,2008,103,2,6,3,0.5
28,532,2001,103,2,628,293,0.46656051
28,535,2003,103,1,665,406,0.610526316
28,541,2001,103,2,73,34,0.465753425
28,533,2004,103,2,4783,1511,0.315910516
28,539,2011,103,1,916,752,0.820960699
28,539,2003,103,1,21433,13438,0.626977091
28,532,2011,103,2,524,328,0.625954198
28,541,2003,103,1,675,412,0.61037037
28,539,2007,103,1,5000,2000,0.4
28,541,2010,103,1,6,4,0.666666667
28,541,2005,103,1,261,165,0.632183908
28,535,2011,103,1,323,202,0.625386997
28,535,2005,103,2,2,1,0.5
28,541,2006,103,1,35,12,0.342857143
28,535,2006,103,1,508,179,0.352362205
28,538,2011,103,2,20,11,0.55
28,535,2009,103,1,266,129,0.484962406
28,541,2004,103,1,202,64,0.316831683
28,533,2005,103,2,7313,4636,0.63393956
28,533,2008,103,1,18,11,0.611111111
28,534,2011,103,2,599,375,0.626043406
28,533,2007,103,2,9000,6000,0.666666667
28,535,2003,103,2,9,5,0.555555556
28,538,2009,103,1,4979,2206,0.443060856
28,534,2006,103,2,165,58,0.351515152
28,535,2001,103,1,870,406,0.466666667
28,532,2010,103,2,1555,1127,0.724758842
28,538,2002,103,2,1,1,1
28,541,2008,103,2,6,4,0.666666667
28,535,2004,103,1,338,107,0.316568047
28,535,2005,103,1,613,389,0.634584013
28,532,2006,103,2,1035,365,0.352657005
28,538,2004,103,1,8405,3925,0.466983938
28,538,2008,103,1,10945,7246,0.66203746
28,539,2008,103,1,2310,1153,0.499134199
28,537,2002,103,1,691,328,0.474674385
28,537,2003,103,1,969,592,0.610939112
28,538,2005,103,1,8628,6807,0.788942976
28,539,2009,103,1,1809,1080,0.597014925
28,535,2002,103,1,588,279,0.474489796
28,541,2005,103,2,1,1,1
28,533,2009,103,2,7950,3848,0.484025157
28,537,2005,103,1,521,330,0.633397313
28,533,2003,103,2,4778,2919,0.610925073
28,533,2010,103,1,2,1,0.5
28,539,2005,103,1,8322,3936,0.47296323
28,534,2001,103,2,471,220,0.467091295
28,538,2001,103,2,29,14,0.482758621
28,537,2002,103,2,1,NA,NA
28,534,2010,103,2,2696,1955,0.725148368
28,538,2002,103,1,11793,6498,0.551004833
28,541,2011,103,1,4,3,0.75
28,541,2002,103,2,24,11,0.458333333
28,541,2001,103,1,124,58,0.467741935
28,533,2011,103,2,6506,4073,0.626037504
28,532,2002,103,2,960,455,0.473958333
28,539,2002,103,1,15097,6235,0.412995959
28,535,2007,103,1,1000,1000,1
