"state_code","district_code","social_group_code","class_category_code","noh_individual","auh_individual","noh_joint","auh_joint","noh_total","auh_total","no_tehsils"
28,538,3,2,194938,279234,5,7,194943,279240,63
28,538,3,3,102884,273213,6,14,102890,273227,126
28,538,3,4,31641,178964,1,4,31642,178968,189
28,538,3,5,3296,48952,0,0,3296,48952,126
28,538,4,1,0,0,0,0,2,1,126
28,538,4,2,0,0,0,0,0,0,63
28,538,4,3,0,0,0,0,2,5,126
28,538,4,4,0,0,0,0,3,19,189
28,538,4,5,0,0,0,0,9,462,126
28,539,1,1,67223,27633,5,2,67228,27636,118
28,539,1,2,14990,20554,0,0,14990,20554,59
28,539,1,3,4160,10716,0,0,4160,10716,118
28,539,1,4,713,3816,0,0,713,3816,177
28,539,1,5,34,455,0,0,34,455,118
28,539,2,1,54310,26918,1,1,54311,26919,118
28,539,2,2,21196,29225,1,2,21197,29226,59
28,539,2,3,7619,19691,0,0,7619,19691,118
28,539,2,4,1415,7615,0,0,1415,7615,177
28,539,2,5,42,565,0,0,42,565,118
28,539,3,1,323672,153974,26,13,323698,153990,118
28,539,3,2,155284,220936,21,29,155305,220964,59
28,539,3,3,79554,212926,10,27,79564,212953,118
28,539,3,4,24685,137543,9,62,24694,137605,177
28,539,3,5,2078,28968,5,328,2083,29296,118
28,539,4,1,0,0,0,0,32,10,118
28,539,4,2,0,0,0,0,16,22,59
28,539,4,3,0,0,0,0,21,60,118
28,539,4,4,0,0,0,0,23,163,177
28,539,4,5,0,0,0,0,43,1979,118
28,540,1,1,66087,25570,0,0,66087,25570,102
28,540,1,2,11507,15696,0,0,11507,15696,51
28,540,1,3,3475,9094,0,0,3475,9094,102
28,540,1,4,1046,5708,0,0,1046,5708,153
28,540,1,5,97,2275,0,0,97,2275,102
28,540,2,1,69605,32356,0,0,69605,32356,102
28,540,2,2,24132,33232,0,0,24132,33232,51
28,540,2,3,7899,20612,0,0,7899,20612,102
28,540,2,4,2130,11761,0,0,2130,11761,153
28,540,2,5,192,2869,0,0,192,2869,102
28,540,3,1,307437,132239,0,0,307437,132239,102
28,540,3,2,105740,148796,0,0,105740,148796,51
28,540,3,3,45920,121920,0,0,45920,121920,102
28,540,3,4,13865,77410,0,0,13865,77410,153
28,540,3,5,1564,25944,0,0,1564,25944,102
28,540,4,1,0,0,0,0,3,2,102
28,540,4,2,0,0,0,0,1,1,51
28,540,4,3,0,0,0,0,1,3,102
28,540,4,4,0,0,0,0,1,5,153
28,540,4,5,0,0,0,0,1,65,102
28,541,1,1,36353,14159,0,0,36353,14159,92
28,541,1,2,5748,7800,0,0,5748,7800,46
28,541,1,3,1981,4981,0,0,1981,4981,92
28,541,1,4,444,2328,0,0,444,2328,138
28,541,1,5,26,441,0,0,26,441,92
28,541,2,1,93503,45909,0,0,93503,45909,92
28,541,2,2,37471,52246,0,0,37471,52246,46
28,541,2,3,20413,52983,0,0,20413,52983,92
28,541,2,4,4640,24564,0,0,4640,24564,138
28,541,2,5,300,4403,0,0,300,4403,92
28,541,3,1,161234,77061,0,0,161234,77061,92
28,541,3,2,62730,87928,0,0,62730,87928,46
28,541,3,3,31988,85151,0,0,31988,85151,92
28,541,3,4,10430,57695,0,0,10430,57695,138
28,541,3,5,916,16251,0,0,916,16251,92
28,541,4,1,0,0,0,0,16,8,92
28,541,4,2,0,0,0,0,24,37,46
28,541,4,3,0,0,0,0,53,152,92
28,541,4,4,0,0,0,0,38,260,138
28,541,4,5,0,0,0,0,28,1723,92
