"state_code","district_code","social_group","size_class","holding_no","holding_ar","holding_whly_irri_no","holding_whly_irri_ar","holding_whly_rain_no","holding_whly_rain_ar","holding_prtly_irri_no","holding_prtly_irri_tot.ar","holding_prtly_irri_irri.ar","holding_recve_irri_no","holding_recve_irri_irri.ar"
36,546,"OTHERS","ALL CLASSES",496068,416957,468177,380662,22045,19851,2338,5113,2892,470515,383554
36,547,"OTHERS","ALL CLASSES",488069,471806,359877,303821,109483,124253,14014,34532,15111,373891,318933
36,548,"OTHERS","ALL CLASSES",685605,643418,441323,385543,200012,180416,15390,31933,17642,456713,403184
36,549,"OTHERS","ALL CLASSES",583508,770930,148261,138148,354990,387032,41524,100489,42736,189785,180884
36,550,"OTHERS","ALL CLASSES",342982,404532,250779,227668,54673,81842,7529,17070,7743,258308,235411
36,551,"OTHERS","ALL CLASSES",393236,502650,144463,120510,147503,203653,24238,49339,20637,168701,141147
36,552,"OTHERS","ALL CLASSES",544022,945171,135800,168171,350451,589402,32384,100211,38342,168184,206512
36,553,"OTHERS","ALL CLASSES",626250,1141597,57879,82956,461346,746178,71706,184441,69630,129585,152586
36,554,"OTHERS","ALL CLASSES",561836,555463,143136,103600,218839,149431,73512,110656,53561,216648,157161
37,532,"SCHEDULED TRIBES","ALL CLASSES",111340,187245,5863,4812,90712,146434,1511,3254,1652,7374,6464
37,533,"SCHEDULED TRIBES","ALL CLASSES",38982,33612,22644,17520,10843,9384,2042,2832,1298,24686,18817
37,534,"SCHEDULED TRIBES","ALL CLASSES",19332,16651,9904,7141,5965,4299,1935,2290,2012,11839,9153
37,535,"SCHEDULED TRIBES","ALL CLASSES",35100,36362,7292,5394,19004,18994,4708,4964,2788,12000,8182
36,537,"SCHEDULED TRIBES","ALL CLASSES",29498,32328,6322,5040,13226,11276,2652,3617,1878,8974,6918
37,538,"SCHEDULED TRIBES","ALL CLASSES",90948,97770,12088,9946,54176,48225,10191,18424,7512,22279,17458
37,539,"SCHEDULED TRIBES","ALL CLASSES",84584,84019,29827,20066,26077,23829,7634,12760,5721,37461,25788
37,540,"SCHEDULED TRIBES","ALL CLASSES",106316,102576,57401,48637,33835,27325,9627,14629,8023,67028,56659
37,541,"SCHEDULED TRIBES","ALL CLASSES",156327,180118,43263,35456,87049,95324,13187,26250,10766,56450,46222
36,542,"SCHEDULED TRIBES","ALL CLASSES",36050,26845,10530,5475,15510,10278,3882,4300,2226,14412,7701
36,543,"SCHEDULED TRIBES","ALL CLASSES",39185,36850,6287,3862,28609,24364,3812,6501,3431,10099,7293
36,544,"SCHEDULED TRIBES","ALL CLASSES",108507,174416,24312,24203,55227,69571,28968,52628,20180,53280,44383
36,545,"SCHEDULED TRIBES","ALL CLASSES",43952,81435,13126,14358,23304,18851,1909,3498,1207,15035,15565
36,546,"SCHEDULED TRIBES","ALL CLASSES",20810,24157,12220,13726,6322,6622,78,160,89,12298,13815
36,547,"SCHEDULED TRIBES","ALL CLASSES",12631,9287,6456,3565,5278,3948,498,570,244,6954,3809
36,548,"SCHEDULED TRIBES","ALL CLASSES",21028,18891,13523,11068,6071,4635,204,257,133,13727,11201
36,549,"SCHEDULED TRIBES","ALL CLASSES",13818,12384,5233,3918,6996,5142,388,566,263,5621,4180
36,550,"SCHEDULED TRIBES","ALL CLASSES",24706,14318,19714,9522,3128,2260,130,147,71,19844,9592
36,551,"SCHEDULED TRIBES","ALL CLASSES",8527,7573,3104,1781,2994,2539,202,244,81,3306,1863
36,552,"SCHEDULED TRIBES","ALL CLASSES",12331,16423,3090,2755,7784,10047,367,654,283,3457,3039
36,553,"SCHEDULED TRIBES","ALL CLASSES",29469,42531,1964,2821,24627,31196,1780,3406,1171,3744,3992
36,554,"SCHEDULED TRIBES","ALL CLASSES",16039,12322,4814,2498,7412,4499,933,1006,432,5747,2930
37,532,"ALL SOCIAL GROUPS","ALL CLASSES",519995,728579,70769,54859,383862,533813,19233,50261,23880,90002,78739
37,533,"ALL SOCIAL GROUPS","ALL CLASSES",473528,434476,249881,203733,128681,113433,32675,55905,28501,282556,232234
37,534,"ALL SOCIAL GROUPS","ALL CLASSES",662345,638690,378736,333341,135093,95477,76870,117621,88295,455606,421636
37,535,"ALL SOCIAL GROUPS","ALL CLASSES",684543,662932,156032,122114,332458,280170,81887,102145,50543,237919,172658
36,537,"ALL SOCIAL GROUPS","ALL CLASSES",342671,419634,62776,49217,138559,125519,29662,40582,18383,92438,67600
37,538,"ALL SOCIAL GROUPS","ALL CLASSES",982314,1204862,163111,167728,543255,544388,116513,258389,113602,279624,281330
37,539,"ALL SOCIAL GROUPS","ALL CLASSES",757188,904236,273311,231349,203391,189330,98910,192323,87654,372221,319003
37,540,"ALL SOCIAL GROUPS","ALL CLASSES",663061,667311,347293,290340,179220,144863,69896,119733,66666,417189,357007
37,541,"ALL SOCIAL GROUPS","ALL CLASSES",468337,536105,196885,181511,196798,210141,43548,93283,42118,240433,223629
36,542,"ALL SOCIAL GROUPS","ALL CLASSES",525870,349412,332439,189726,116589,67247,55636,70323,40288,388075,230015
36,543,"ALL SOCIAL GROUPS","ALL CLASSES",446841,342484,174039,91760,149457,99000,113605,118054,62981,287644,154740
36,544,"ALL SOCIAL GROUPS","ALL CLASSES",474738,400083,229057,125398,157062,134808,88619,103649,45350,317676,170748
36,545,"ALL SOCIAL GROUPS","ALL CLASSES",698714,501366,464537,280632,179228,107942,45026,52645,28685,509563,309318
36,546,"ALL SOCIAL GROUPS","ALL CLASSES",565831,470051,525832,419418,31349,27770,2507,5403,3043,528339,422461
