state_code,district_code,social_group_code,class_category_code,noh_individual,auh_individual,noh_joint,auh_joint,noh_total,auh_total,no_tehsils
28.0,534.0,4.0,4.0,0.0,0.0,0.0,0.0,7.0,42.0,171.0
28.0,534.0,4.0,5.0,0.0,0.0,0.0,0.0,6.0,291.0,114.0
28.0,535.0,1.0,1.0,84157.0,34756.0,10.0,5.0,84167.0,34761.0,92.0
28.0,535.0,1.0,2.0,18588.0,25230.0,5.0,6.0,18593.0,25236.0,46.0
28.0,535.0,1.0,3.0,4278.0,10811.0,1.0,2.0,4279.0,10814.0,92.0
28.0,535.0,1.0,4.0,622.0,3377.0,0.0,0.0,622.0,3377.0,138.0
28.0,535.0,1.0,5.0,41.0,685.0,0.0,0.0,41.0,685.0,92.0
28.0,535.0,2.0,1.0,21530.0,11034.0,8.0,6.0,21538.0,11040.0,92.0
28.0,535.0,2.0,2.0,9876.0,13650.0,2.0,2.0,9878.0,13652.0,46.0
28.0,535.0,2.0,3.0,3064.0,7837.0,2.0,6.0,3066.0,7843.0,92.0
28.0,535.0,2.0,4.0,572.0,3157.0,0.0,0.0,572.0,3157.0,138.0
28.0,535.0,2.0,5.0,46.0,668.0,0.0,0.0,46.0,668.0,92.0
28.0,535.0,3.0,1.0,359326.0,152644.0,21.0,11.0,359347.0,152655.0,92.0
28.0,535.0,3.0,2.0,120358.0,168716.0,19.0,28.0,120377.0,168744.0,46.0
28.0,535.0,3.0,3.0,45956.0,121875.0,6.0,19.0,45962.0,121893.0,92.0
28.0,535.0,3.0,4.0,14186.0,80361.0,3.0,15.0,14189.0,80376.0,138.0
28.0,535.0,3.0,5.0,1680.0,25267.0,2.0,30.0,1682.0,25297.0,92.0
28.0,535.0,4.0,1.0,0.0,0.0,0.0,0.0,48.0,26.0,92.0
28.0,535.0,4.0,2.0,0.0,0.0,0.0,0.0,32.0,45.0,46.0
28.0,535.0,4.0,3.0,0.0,0.0,0.0,0.0,32.0,83.0,92.0
28.0,535.0,4.0,4.0,0.0,0.0,0.0,0.0,32.0,199.0,138.0
28.0,535.0,4.0,5.0,0.0,0.0,0.0,0.0,40.0,2375.0,92.0
28.0,537.0,1.0,1.0,36096.0,17114.0,57.0,27.0,36153.0,17139.0,74.0
28.0,537.0,1.0,2.0,12086.0,16697.0,19.0,23.0,12105.0,16721.0,37.0
28.0,537.0,1.0,3.0,4091.0,10514.0,10.0,28.0,4101.0,10543.0,74.0
28.0,537.0,1.0,4.0,645.0,3462.0,5.0,23.0,650.0,3486.0,111.0
28.0,537.0,1.0,5.0,36.0,588.0,0.0,0.0,36.0,588.0,74.0
28.0,537.0,2.0,1.0,17557.0,9279.0,45.0,24.0,17602.0,9304.0,74.0
28.0,537.0,2.0,2.0,8003.0,11022.0,22.0,28.0,8025.0,11051.0,37.0
28.0,537.0,2.0,3.0,3275.0,8279.0,19.0,53.0,3294.0,8332.0,74.0
28.0,537.0,2.0,4.0,516.0,2742.0,8.0,43.0,524.0,2785.0,111.0
28.0,537.0,2.0,5.0,53.0,855.0,0.0,0.0,53.0,855.0,74.0
28.0,537.0,3.0,1.0,145844.0,72150.0,341.0,143.0,146185.0,72293.0,74.0
28.0,537.0,3.0,2.0,67672.0,95366.0,144.0,203.0,67816.0,95570.0,37.0
28.0,537.0,3.0,3.0,33980.0,90416.0,95.0,258.0,34075.0,90676.0,74.0
28.0,537.0,3.0,4.0,10572.0,59721.0,48.0,290.0,10620.0,60008.0,111.0
28.0,537.0,3.0,5.0,1268.0,18874.0,19.0,310.0,1287.0,19186.0,74.0
28.0,537.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,74.0
28.0,537.0,4.0,2.0,0.0,0.0,0.0,0.0,10.0,16.0,37.0
28.0,537.0,4.0,3.0,0.0,0.0,0.0,0.0,52.0,146.0,74.0
28.0,537.0,4.0,4.0,0.0,0.0,0.0,0.0,37.0,219.0,111.0
28.0,537.0,4.0,5.0,0.0,0.0,0.0,0.0,39.0,707.0,74.0
28.0,538.0,1.0,1.0,88562.0,40269.0,1.0,0.0,88563.0,40269.0,126.0
28.0,538.0,1.0,2.0,27660.0,38632.0,0.0,0.0,27660.0,38632.0,63.0
28.0,538.0,1.0,3.0,9923.0,25473.0,0.0,0.0,9923.0,25473.0,126.0
28.0,538.0,1.0,4.0,1999.0,10643.0,1.0,4.0,2000.0,10648.0,189.0
28.0,538.0,1.0,5.0,112.0,1838.0,1.0,11.0,113.0,1849.0,126.0
28.0,538.0,2.0,1.0,55056.0,26975.0,0.0,0.0,55056.0,26975.0,126.0
28.0,538.0,2.0,2.0,23933.0,33479.0,0.0,0.0,23933.0,33479.0,63.0
28.0,538.0,2.0,3.0,9942.0,25487.0,0.0,0.0,9942.0,25487.0,126.0
28.0,538.0,2.0,4.0,1878.0,10029.0,0.0,0.0,1878.0,10029.0,189.0
28.0,538.0,2.0,5.0,102.0,1778.0,0.0,0.0,102.0,1778.0,126.0
28.0,538.0,3.0,1.0,419691.0,194778.0,12.0,5.0,419703.0,194782.0,126.0
28.0,538.0,3.0,2.0,194938.0,279234.0,5.0,7.0,194943.0,279240.0,63.0
28.0,538.0,3.0,3.0,102884.0,273213.0,6.0,14.0,102890.0,273227.0,126.0
28.0,538.0,3.0,4.0,31641.0,178964.0,1.0,4.0,31642.0,178968.0,189.0
28.0,538.0,3.0,5.0,3296.0,48952.0,0.0,0.0,3296.0,48952.0,126.0
28.0,538.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,126.0
28.0,538.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0
28.0,538.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,126.0
28.0,538.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,19.0,189.0
28.0,538.0,4.0,5.0,0.0,0.0,0.0,0.0,9.0,462.0,126.0
28.0,539.0,1.0,1.0,67223.0,27633.0,5.0,2.0,67228.0,27636.0,118.0
28.0,539.0,1.0,2.0,14990.0,20554.0,0.0,0.0,14990.0,20554.0,59.0
28.0,539.0,1.0,3.0,4160.0,10716.0,0.0,0.0,4160.0,10716.0,118.0
28.0,539.0,1.0,4.0,713.0,3816.0,0.0,0.0,713.0,3816.0,177.0
28.0,539.0,1.0,5.0,34.0,455.0,0.0,0.0,34.0,455.0,118.0
28.0,539.0,2.0,1.0,54310.0,26918.0,1.0,1.0,54311.0,26919.0,118.0
