district_code,state_code,year,rainfall,rainfall_anom
538,28,1995,848.9054915,18.9634706
538,28,1996,815.9326745,14.34274334
538,28,1997,620.3009572,-13.07259121
538,28,1998,808.4914519,13.2999492
538,28,1999,481.2566471,-32.5579095
538,28,2000,789.8936693,10.69370294
538,28,2001,747.1376789,4.701986482
538,28,2002,646.485418,-9.403167043
538,28,2003,633.7128988,-11.19307561
538,28,2004,547.427347,-23.28491481
538,28,2005,1040.417613,45.80149545
538,28,2006,621.5038138,-12.90402592
538,28,2007,871.3434663,22.10787169
538,28,2008,745.2991516,4.444339904
538,28,2009,759.1391117,6.383836945
538,28,2010,800.4677929,12.1755339
538,28,2011,539.0658378,
538,28,2012,651.7805899,
538,28,2013,953.9452995,
535,28,1981,1091.955954,25.05479198
535,28,1982,808.6115978,-7.39484058
535,28,1983,1341.265456,53.60662857
535,28,1984,686.2757529,-21.40518925
535,28,1985,650.8187475,-25.46585527
535,28,1986,714.843555,-18.1335
535,28,1987,899.306852,2.991911846
535,28,1988,1218.309459,39.52525779
535,28,1989,1058.377136,21.20922288
535,28,1990,1049.087605,20.14535182
535,28,1991,702.3215003,-19.56757153
535,28,1992,701.2795406,-19.68690057
535,28,1993,751.0274171,-13.98959169
535,28,1994,765.3613324,-12.34801925
535,28,1995,1112.247225,27.37862259
535,28,1996,930.6189857,6.57789198
535,28,1997,716.9934483,-17.88728636
535,28,1998,995.749713,14.03690123
535,28,1999,691.4051091,-20.8177566
535,28,2000,995.1681436,13.97029777
535,28,2001,786.4843763,-9.92893097
535,28,2002,621.1161273,-28.86750804
535,28,2003,752.4820385,-13.82300312
535,28,2004,644.6527748,-26.17200503
535,28,2005,1114.508397,27.63758038
535,28,2006,818.3680311,-6.277498135
535,28,2007,752.8727941,-13.77825236
535,28,2008,1025.178909,17.40724049
535,28,2009,702.6108164,-19.53443799
535,28,2010,1096.161682,25.53644743
535,28,2011,579.6741261,
535,28,2012,783.0296414,
535,28,2013,1104.245999,
539,28,1981,808.630207,2.761996115
539,28,1982,664.1904362,-15.5936367
539,28,1983,973.218865,23.67818114
539,28,1984,536.5691795,-31.81194635
539,28,1985,662.7786475,-15.77304903
539,28,1986,581.9209415,-26.04857325
539,28,1987,798.0119375,1.412609763
539,28,1988,909.445096,15.57371046
539,28,1989,928.8388128,18.03829445
539,28,1990,978.8516521,24.39400458
539,28,1991,964.0725696,22.51585557
539,28,1992,526.4423916,-33.09887445
539,28,1993,636.1060855,-19.16264008
539,28,1994,753.7406862,-4.21345036
539,28,1995,908.6509004,15.47278285
539,28,1996,856.0756779,8.791441034
539,28,1997,696.6597884,-11.46738046
539,28,1998,1008.776162,28.1968583
539,28,1999,471.9188976,-40.02780567
539,28,2000,886.6934053,12.6823899
539,28,2001,809.4067719,2.860683203
539,28,2002,544.0463024,-30.86174183
539,28,2003,838.3158397,6.53449292
539,28,2004,641.1570668,-18.52075344
539,28,2005,983.8086213,25.02394401
539,28,2006,855.0829725,8.665286473
539,28,2007,686.5906057,-12.746988
539,28,2008,942.5537584,19.78121126
539,28,2009,700.0830602,-11.0323457
539,28,2010,1054.247626,33.97544328
539,28,2011,599.5300109,
539,28,2012,748.2259352,
539,28,2013,1150.199949,
533,28,1981,1049.095382,3.630468754
533,28,1982,948.7931299,-6.277466813
533,28,1983,1596.040865,57.65817457
533,28,1984,756.3099505,-25.29110698
533,28,1985,802.1889343,-20.75914481
533,28,1986,915.5201245,-9.564200508
533,28,1987,1033.413308,2.081381108
533,28,1988,1528.166149,50.9534567
533,28,1989,1441.412654,42.38387807
533,28,1990,1586.011779,56.66749356
