state_code,district_code,social_group,size_class,holding_no,holding_ar,gca_irrigated,gca_unirrigated,gca_total
36,551,SCHEDULED TRIBES,ALL CLASSES,8527,7573,2187,3109,5296
36,552,SCHEDULED TRIBES,ALL CLASSES,12331,16423,3336,10590,13926
36,553,SCHEDULED TRIBES,ALL CLASSES,29469,42531,5007,33691,38698
36,554,SCHEDULED TRIBES,ALL CLASSES,16039,12322,3421,5190,8611
37,532,ALL SOCIAL GROUPS,ALL CLASSES,519995,728579,85925,565374,651299
37,533,ALL SOCIAL GROUPS,ALL CLASSES,473528,434476,373903,205407,579310
37,534,ALL SOCIAL GROUPS,ALL CLASSES,662345,638690,518545,141753,660297
37,535,ALL SOCIAL GROUPS,ALL CLASSES,684543,662932,206718,352607,559325
36,537,ALL SOCIAL GROUPS,ALL CLASSES,342671,419634,80097,153564,233661
37,538,ALL SOCIAL GROUPS,ALL CLASSES,982314,1204862,304133,712773,1016906
37,539,ALL SOCIAL GROUPS,ALL CLASSES,757188,904236,479426,311525,790951
37,540,ALL SOCIAL GROUPS,ALL CLASSES,663061,667311,427059,202812,629872
37,541,ALL SOCIAL GROUPS,ALL CLASSES,468337,536105,286195,274898,561094
36,542,ALL SOCIAL GROUPS,ALL CLASSES,525870,349412,265126,194922,460048
36,543,ALL SOCIAL GROUPS,ALL CLASSES,446841,342484,167358,198006,365364
36,544,ALL SOCIAL GROUPS,ALL CLASSES,474738,400083,180938,204075,385013
36,545,ALL SOCIAL GROUPS,ALL CLASSES,698714,501366,493411,181289,674700
36,546,ALL SOCIAL GROUPS,ALL CLASSES,565831,470051,682442,31174,713616
36,547,ALL SOCIAL GROUPS,ALL CLASSES,551567,508413,432948,295676,728624
36,548,ALL SOCIAL GROUPS,ALL CLASSES,760648,701404,551587,305034,856621
36,549,ALL SOCIAL GROUPS,ALL CLASSES,670553,847508,229861,506604,736465
36,550,ALL SOCIAL GROUPS,ALL CLASSES,457015,478919,386668,109497,496165
36,551,ALL SOCIAL GROUPS,ALL CLASSES,441306,542399,187658,309785,497444
36,552,ALL SOCIAL GROUPS,ALL CLASSES,632902,1050086,253753,745416,999168
36,553,ALL SOCIAL GROUPS,ALL CLASSES,727951,1278010,186464,977272,1163737
36,554,ALL SOCIAL GROUPS,ALL CLASSES,667182,626306,205440,237429,442869
37,532,INSTITUTIONAL,20.0 & ABOVE,6,392,61,136,196
37,533,INSTITUTIONAL,20.0 & ABOVE,10,526,263,0,263
37,534,INSTITUTIONAL,20.0 & ABOVE,4,268,116,12,128
37,535,INSTITUTIONAL,20.0 & ABOVE,16,2011,813,266,1079
36,537,INSTITUTIONAL,20.0 & ABOVE,10,318,86,32,118
37,538,INSTITUTIONAL,20.0 & ABOVE,4,377,0,189,189
37,539,INSTITUTIONAL,20.0 & ABOVE,30,1778,358,285,642
37,540,INSTITUTIONAL,20.0 & ABOVE,1,65,0,33,33
37,541,INSTITUTIONAL,20.0 & ABOVE,12,1510,239,311,550
36,542,INSTITUTIONAL,20.0 & ABOVE,41,2149,676,655,1331
36,543,INSTITUTIONAL,20.0 & ABOVE,17,757,170,265,435
36,544,INSTITUTIONAL,20.0 & ABOVE,10,867,286,295,581
36,545,INSTITUTIONAL,20.0 & ABOVE,43,1973,898,454,1352
36,546,INSTITUTIONAL,20.0 & ABOVE,26,911,593,0,593
36,547,INSTITUTIONAL,20.0 & ABOVE,3,92,0,22,22
36,548,INSTITUTIONAL,20.0 & ABOVE,72,4341,2489,604,3093
36,549,INSTITUTIONAL,20.0 & ABOVE,31,1347,97,539,636
