"state_code","district_code","social_group_code","class_category_code","tnoh","tauh","woandsoh_noh","woandsoh_aoh","wlh_noh","wlh_auh","wotherwiseoh_noh","wotherwiseoh_auh","poplandpotherwiseo_noh","poplandpotherwiseo_auo","poplandpotherwiseo_aul","poplandpotherwiseo_auotho","poplandpotherwiseo_tauh","poplandpotherwiseo_for_fm","poplandpotherwiseo_for_fp","poplandpotherwiseo_for_sop","poplandpotherwiseo_for_um","poplandpotherwiseo_for_ot","poplandpotherwiseo_for_total","wl_for_fm","wl_for_fp","wl_for_sop","wl_for_um","wl_for_ot","wl_for_total","nsa","aucf","nac","aulefl","fothtcf","cwl","tul","lnotaforc","nowih","auwirrigatedh","nowunirrigatedh","auwunirrigatedh","nopih","aupih","aupihirrigated","nohrirrigation","netauhrirrigation","noh_canalirri","auh_canalirri","noh_tanksirri","auh_tanksirri","noh_wellsirri","auh_wellsirri","noh_tubewellsirri","auh_tubewellsirri","noh_othirri","auh_othirri","exnohrirri","nia","nowinusewelecps","nowinusewdiselps","tnowinusewps","tnowinusewopst","nownotinuse","tubewellselec","tubewellsdisel","tubewellstotal","noh_woresideinvor","auh_woresideinvor","noh_woresidepinvorandpinovtor","aoh_woresidepinvorandpinovtor","noh_woresideoutsidevortor","aoh_woresideoutsidevortor","noh_woresideoutsidetor","aoh_woresideoutsidetor","gca_irrigated","gca_unirrigated","gca_total","noh_individual","noh_joint","noh_institutional","auh_individual","auh_joint","auh_institutional"
28,537,4,1,15,8.44,15,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,3.67,5.42,0,0.96,0,0.96,2.06,5,0.72,9,1.03,0,0,0,5,0.72,0,0,0,0,0,0,0,0,5,0.72,5,0.72,0,0,0,0,0,0,0,0,15,8.44,0,0,0,0,0,0,0.74,1.03,1.77,0,0,15,0,0,8.44
28,537,4,2,13,19.35,13,19.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,8.21,13.27,0,1.94,0,1.94,4.14,5,2.63,8,2.43,0,0,0,5,2.63,0,0,0,0,0,0,2,1.62,3,1.01,5,2.63,0,0,0,0,0,0,0,0,13,19.35,0,0,0,0,0,0,2.63,2.44,5.07,0,0,13,0,0,19.35
28,537,4,3,20,55.2,20,55.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.67,22.86,34.53,0,8.08,0,8.08,12.59,9,5.92,9,5.35,1,0.4,0.2,10,6.12,0,0,0,0,0,0,1,0.2,9,5.92,10,6.12,0,0,0,0,0,1,0,1,20,55.2,0,0,0,0,0,0,6.12,5.56,11.68,0,0,20,0,0,55.2
28,537,4,4,23,157.85,23,157.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.6,57.06,94.66,2.43,19.26,4.05,25.74,37.45,9,12.98,12,18.15,2,6.47,2.43,11,15.41,0,0,0,0,0,0,2,2.43,9,12.98,11,15.41,0,0,0,0,0,2,0,2,23,157.85,0,0,0,0,0,0,15.41,22.21,37.62,0,0,23,0,0,157.85
28,537,4,5,35,2397.37,35,2397.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601.02,794.49,1395.51,179.35,367.54,83.5,630.39,371.47,9,207.39,17,296.87,4,96.76,61.94,13,269.33,0,0,0,0,2,0.1,7,256.27,4,12.96,13,269.33,0,0,0,0,0,14,0,14,28,1609.98,0,0,7,787.39,0,0,270.96,331.7,602.66,0,0,35,0,0,2397.37
28,538,1,1,73247,35106.02,73145,35064.65,15,10.08,0,0,87,21.4,9.89,0,31.29,9.89,0,0,0,0,9.89,10.08,0,0,0,0,10.08,23007.91,12086.76,35094.67,5,6.16,0.11,11.27,0.08,7720,3376.41,36126,18294.65,2231,1336.85,670.78,9951,4047.19,1688,781.54,447,142.19,160,71.73,7547,3002.96,128,48.77,9951,4047.19,101,19,120,0,55,2653,5,2658,69256,33218.84,193,96.99,3794,1789.4,4,0.79,4103.63,19204.86,23308.49,73233,14,0,35098.87,7.15,0
28,538,1,2,27554,38454.99,27513,38402.61,0,0,10,14.82,31,27.36,10.2,0,37.56,10.2,0,0,0,0,10.2,0,0,0,0,0,0,29086.37,9352.86,38439.23,8.32,5.56,1.35,15.23,0.53,2093,2512.33,18125,22207.73,3413,4366.31,1905.64,5506,4417.97,599,625.22,204,119.29,151,92.07,4495,3520.86,79,60.53,5506,4417.97,75,42,117,0,22,1715,0,1715,25914,36148.71,194,287.9,1438,2009.57,8,8.81,4466.24,25014.7,29480.94,27548,6,0,38446.97,8.02,0
28,538,1,3,11913,31082.51,11900,31052.78,0,0,0,0,13,26.02,3.71,0,29.73,3.71,0,0,0,0,3.71,0,0,0,0,0,0,24005.99,7016.01,31022,27.12,16.12,1.97,45.21,15.3,1031,2286.9,7288,15780.8,2589,5938.29,2187.95,3620,4474.85,303,455.84,132,141.34,62,53.69,3100,3780.23,43,43.75,3620,4474.85,35,4,39,50,33,1403,0,1403,11164,29114.97,140,357.69,602,1596.16,7,13.69,4550.58,19940.01,24490.59,11904,9,0,31060.64,21.87,0
28,538,1,4,2562,14075.51,2562,14075.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8987.52,4284.19,13271.71,2.62,258.53,0,261.15,542.65,186,537.47,1274,4860.83,893,3589.22,1256.31,1079,1793.78,49,89.21,20,20.12,28,26.58,924,1536.18,69,121.69,1079,1793.78,25,3,28,3,0,329,0,329,2416,13333.07,42,196.66,104,545.78,0,0,1812.93,7233.11,9046.04,2558,4,0,14050.44,25.07,0
28,538,1,5,208,2935.65,208,2935.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350.97,958.75,2309.72,1.33,200.85,0,202.18,423.75,42,218.29,130,834.92,31,297.76,105.14,73,323.43,0,0,8,4.58,1,1.62,35,157.5,33,159.73,73,323.43,1,0,1,0,0,27,0,27,206,2909.01,0,0,2,26.64,0,0,327.22,1047.71,1374.93,208,0,0,2935.65,0,0
