"state_code","district_code","social_group","size_class","holding_no","holding_ar","sown_ar","current_fallows_ar","cultivated_ar","uncultivated.land_excluding_fallow","fallow_excluding_current.fallow","culturable_waste_land","uncultivated_land","land_not_for_cultivation"
36,537,99,99,342671,419634,215318,176556,391874,3937,12091,1937,17966,9794
37,538,99,99,982314,1204862,970506,229245,1199751,15,3294,7,3316,1795
37,539,99,99,757188,904236,613001,247164,860165,8225,15033,3030,26289,17782
37,540,99,99,663061,667311,554936,104656,659592,708,4077,545,5330,2389
37,541,99,99,468337,536105,484934,43258,528193,125,5047,6,5178,2734
36,542,99,99,525870,349412,327296,22116,349412,0,0,0,0,0
36,543,99,99,446841,342484,308814,31176,339990,811,154,482,1447,1047
36,544,99,99,474738,400083,363855,32337,396193,284,2084,130,2498,1393
36,545,99,99,698714,501366,441220,44393,485613,1356,9145,425,10926,4826
36,546,99,99,565831,470051,452591,15433,468024,62,34,10,106,1921
36,547,99,99,551567,508413,496472,11120,507593,1,93,0,94,726
36,548,99,99,760648,701404,646958,53991,700949,24,268,2,294,161
36,549,99,99,670553,847508,684590,80374,764964,237,45395,6385,52017,30527
36,550,99,99,457015,478919,385766,64649,450415,4670,6580,6543,17793,10712
36,551,99,99,441306,542399,398590,119193,517783,755,10759,1327,12841,11775
36,552,99,99,632902,1050086,950478,96335,1046813,196,1821,140,2156,1117
36,553,99,99,727951,1278010,1132402,125655,1258057,24,12315,270,12609,7344
36,554,99,99,667182,626306,409904,175293,585196,3085,20918,2116,26119,14990
37,532,4,52,6,392,196,196,392,0,0,0,0,0
37,533,4,52,10,526,263,263,526,0,0,0,0,0
37,534,4,52,4,268,118,149,268,0,0,0,0,0
37,535,4,52,16,2011,1076,891,1967,0,2,2,4,39
36,537,4,52,10,318,118,200,318,0,0,0,0,0
37,538,4,52,4,377,189,189,377,0,0,0,0,0
37,539,4,52,30,1778,642,613,1255,392,131,0,523,0
37,540,4,52,1,65,33,33,65,0,0,0,0,0
37,541,4,52,12,1510,544,302,846,0,4,0,4,660
36,542,4,52,41,2149,1232,917,2149,0,0,0,0,0
36,543,4,52,17,757,376,381,757,0,0,0,0,0
36,544,4,52,10,867,581,286,867,0,0,0,0,0
36,545,4,52,43,1973,1323,651,1973,0,0,0,0,0
36,546,4,52,26,911,519,391,911,0,0,0,0,0
36,547,4,52,3,92,22,71,92,0,0,0,0,0
36,548,4,52,72,4341,3093,1247,4341,0,0,0,0,0
36,549,4,52,31,1347,636,391,1026,0,321,0,321,0
36,550,4,52,78,4446,2465,1411,3876,142,41,49,233,338
36,551,4,52,5,581,291,291,581,0,0,0,0,0
36,552,4,52,15,1354,733,621,1354,0,0,0,0,0
36,553,4,52,42,2714,1420,1288,2708,0,6,0,6,0
36,554,4,52,16,1953,883,922,1804,34,28,34,97,52
37,532,1,52,17,599,493,106,599,0,0,0,0,0
37,533,1,52,0,0,0,0,0,0,0,0,0,0
37,534,1,52,8,200,100,100,200,0,0,0,0,0
37,535,1,52,6,221,188,24,212,0,9,0,9,0
36,537,1,52,8,242,89,153,242,0,0,0,0,0
37,538,1,52,18,660,418,242,660,0,0,0,0,0
37,539,1,52,3,89,34,55,89,0,0,0,0,0
37,540,1,52,36,1502,953,517,1471,0,32,0,32,0
37,541,1,52,4,173,87,87,173,0,0,0,0,0
36,542,1,52,1,43,21,21,43,0,0,0,0,0
36,543,1,52,0,0,0,0,0,0,0,0,0,0
36,544,1,52,0,0,0,0,0,0,0,0,0,0
36,545,1,52,2,41,21,21,41,0,0,0,0,0
36,546,1,52,2,62,31,31,62,0,0,0,0,0
36,547,1,52,10,298,149,149,298,0,0,0,0,0
36,548,1,52,7,147,74,74,147,0,0,0,0,0
36,549,1,52,6,183,91,91,183,0,0,0,0,0
36,550,1,52,1,27,14,14,27,0,0,0,0,0
36,551,1,52,1,24,12,12,24,0,0,0,0,0
36,552,1,52,9,351,215,136,351,0,0,0,0,0
36,553,1,52,11,286,143,143,286,0,0,0,0,0
36,554,1,52,9,314,186,129,314,0,0,0,0,0
