size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,holding_whly-owned_self-operatd_no,holding_whly-owned_self-operatd_ar,holding_whly_leased-in_no,holding_whly_leased-in_ar,holding_whly-operatd_no,holding_whly-operatd_ar,holding_partly-ownd_leased-in_operatd_no,holding_partly-ownd_leased-in_operatd_ownd-ar,holding_partly-ownd_leased-in_operatd_leasdin-ar,holding_partly-ownd_leased-in_operatd_operatd-ar,holding_partly-ownd_leased-in_operatd_tot-ar
20.0 & ABOVE,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,64,1887,64,1887,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,WEST GODAVARI,546,ANDHRA PRADESH,36,48,1659,48,1659,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,KRISHNA,547,ANDHRA PRADESH,36,59,1884,57,1835,0,0,0,0,2,43,6,0,49
20.0 & ABOVE,OTHERS,GUNTUR,548,ANDHRA PRADESH,36,38,1206,38,1206,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,PRAKASAM,549,ANDHRA PRADESH,36,151,4347,151,4347,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,NELLORE,550,ANDHRA PRADESH,36,157,4883,157,4883,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,KADAPA,551,ANDHRA PRADESH,36,43,1709,43,1709,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,KURNOOL,552,ANDHRA PRADESH,36,235,8707,232,8601,0,0,0,0,3,69,36,0,106
20.0 & ABOVE,OTHERS,ANANTHAPUR,553,ANDHRA PRADESH,36,367,11401,367,11401,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,CHITTOOR,554,ANDHRA PRADESH,36,123,3571,123,3571,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,ADILABAD,532,TELANGANA,37,93,2715,93,2715,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,NIZAMABAD,533,TELANGANA,37,2,67,2,67,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,KARIMNAGAR,534,TELANGANA,37,3,92,3,92,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MEDAK,535,TELANGANA,37,3,113,3,113,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,RANGAREDDY,537,ANDHRA PRADESH,36,8,253,8,253,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MAHABUBNAGAR,538,TELANGANA,37,16,622,16,622,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,NALGONDA,539,TELANGANA,37,3,89,3,89,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,WARANGAL,540,TELANGANA,37,23,627,23,627,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,KHAMMAM,541,TELANGANA,37,37,999,37,999,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,SRIKAKULAM,542,ANDHRA PRADESH,36,1,21,1,21,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,VIZIANAGARAM,543,ANDHRA PRADESH,36,3,67,3,67,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,VISAKHAPATNAM,544,ANDHRA PRADESH,36,42,1049,42,1049,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,EAST GODAVARI,545,ANDHRA PRADESH,36,25,664,25,664,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,WEST GODAVARI,546,ANDHRA PRADESH,36,4,406,4,406,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,KRISHNA,547,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,GUNTUR,548,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,PRAKASAM,549,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,NELLORE,550,ANDHRA PRADESH,36,2,63,2,63,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,KADAPA,551,ANDHRA PRADESH,36,1,41,1,41,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,KURNOOL,552,ANDHRA PRADESH,36,2,58,2,58,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,ANANTHAPUR,553,ANDHRA PRADESH,36,4,103,4,103,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,CHITTOOR,554,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,ADILABAD,532,TELANGANA,37,350,11906,350,11906,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,NIZAMABAD,533,TELANGANA,37,47,1591,47,1591,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,KARIMNAGAR,534,TELANGANA,37,146,4950,146,4950,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,MEDAK,535,TELANGANA,37,240,8764,240,8764,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,RANGAREDDY,537,ANDHRA PRADESH,36,175,5127,175,5127,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,MAHABUBNAGAR,538,TELANGANA,37,379,11934,379,11934,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,NALGONDA,539,TELANGANA,37,195,7065,195,7065,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,WARANGAL,540,TELANGANA,37,347,11428,347,11428,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,KHAMMAM,541,TELANGANA,37,212,9260,210,9206,0,0,0,0,2,34,20,0,53
20.0 & ABOVE,ALL SOCIAL GROUPS,SRIKAKULAM,542,ANDHRA PRADESH,36,100,4395,100,4395,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,VIZIANAGARAM,543,ANDHRA PRADESH,36,99,3363,99,3363,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,83,2857,82,2836,1,21,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,EAST GODAVARI,545,ANDHRA PRADESH,36,134,4565,134,4565,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,WEST GODAVARI,546,ANDHRA PRADESH,36,80,3038,80,3038,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,KRISHNA,547,ANDHRA PRADESH,36,72,2274,70,2225,0,0,0,0,2,43,6,0,49
20.0 & ABOVE,ALL SOCIAL GROUPS,GUNTUR,548,ANDHRA PRADESH,36,117,5694,117,5694,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,PRAKASAM,549,ANDHRA PRADESH,36,188,5877,188,5877,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,NELLORE,550,ANDHRA PRADESH,36,238,9420,238,9420,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,KADAPA,551,ANDHRA PRADESH,36,50,2355,50,2355,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,KURNOOL,552,ANDHRA PRADESH,36,261,10470,258,10365,0,0,0,0,3,69,36,0,106
20.0 & ABOVE,ALL SOCIAL GROUPS,ANANTHAPUR,553,ANDHRA PRADESH,36,424,14504,424,14504,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,CHITTOOR,554,ANDHRA PRADESH,36,148,5839,148,5839,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,14,4,14,4,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,15,4,15,4,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,1,0,1,0,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,MEDAK,535,TELANGANA,37,23,9,23,9,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,3,1,3,1,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,1,0,1,0,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,25,6,25,6,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,2,1,2,1,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,9,3,9,3,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,41,15,41,15,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,4,1,4,1,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,52,14,52,14,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,256,60,256,60,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,143,41,143,41,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,7,2,7,2,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,16,4,16,4,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,PRAKASAM,549,ANDHRA PRADESH,36,8,3,8,3,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,NELLORE,550,ANDHRA PRADESH,36,37,9,37,9,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,KADAPA,551,ANDHRA PRADESH,36,2,0,2,0,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,KURNOOL,552,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,ANANTHAPUR,553,ANDHRA PRADESH,36,74,23,74,23,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,CHITTOOR,554,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,ADILABAD,532,TELANGANA,37,27860,7194,27836,7188,24,6,0,0,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,NIZAMABAD,533,TELANGANA,37,32389,9171,32389,9171,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,KARIMNAGAR,534,TELANGANA,37,53893,13581,53882,13576,11,5,0,0,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,MEDAK,535,TELANGANA,37,54402,13355,54402,13355,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,RANGAREDDY,537,ANDHRA PRADESH,36,20453,5653,20448,5651,0,0,5,2,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,MAHABUBNAGAR,538,TELANGANA,37,52850,13806,52850,13806,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,NALGONDA,539,TELANGANA,37,44621,11269,44609,11266,4,2,8,1,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,WARANGAL,540,TELANGANA,37,46586,11541,46487,11503,74,29,4,0,21,4,5,0,8
Below 0.5,SCHEDULED CASTE,KHAMMAM,541,TELANGANA,37,25926,6764,25907,6757,19,6,0,0,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,SRIKAKULAM,542,ANDHRA PRADESH,36,20820,4478,20820,4478,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,VIZIANAGARAM,543,ANDHRA PRADESH,36,14612,3369,14405,3317,187,46,0,0,20,3,3,0,6
Below 0.5,SCHEDULED CASTE,VISAKHAPATNAM,544,ANDHRA PRADESH,36,6496,1686,6367,1645,59,19,9,1,61,13,5,4,21
Below 0.5,SCHEDULED CASTE,EAST GODAVARI,545,ANDHRA PRADESH,36,50970,10531,50814,10502,44,20,96,3,16,2,4,0,6
Below 0.5,SCHEDULED CASTE,WEST GODAVARI,546,ANDHRA PRADESH,36,32978,8154,32969,8149,0,0,0,0,9,4,1,0,5
Below 0.5,SCHEDULED CASTE,KRISHNA,547,ANDHRA PRADESH,36,34744,8463,34162,8305,520,144,49,8,13,3,3,0,5
Below 0.5,SCHEDULED CASTE,GUNTUR,548,ANDHRA PRADESH,36,34152,9038,34152,9038,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,PRAKASAM,549,ANDHRA PRADESH,36,33565,9327,33565,9327,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,NELLORE,550,ANDHRA PRADESH,36,52898,13439,52868,13430,26,8,4,1,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,KADAPA,551,ANDHRA PRADESH,36,15238,4442,15230,4440,0,0,8,2,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,KURNOOL,552,ANDHRA PRADESH,36,21154,6841,21148,6838,6,3,0,0,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,ANANTHAPUR,553,ANDHRA PRADESH,36,15192,4823,15192,4823,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,CHITTOOR,554,ANDHRA PRADESH,36,48943,12497,48913,12490,16,5,9,0,5,2,0,0,3
Below 0.5,OTHERS,ADILABAD,532,TELANGANA,37,97929,25117,97903,25106,18,7,8,4,0,0,0,0,0
Below 0.5,OTHERS,NIZAMABAD,533,TELANGANA,37,143661,38735,143661,38735,0,0,0,0,0,0,0,0,0
Below 0.5,OTHERS,KARIMNAGAR,534,TELANGANA,37,212595,55466,212533,55444,53,19,9,2,0,0,0,0,0
Below 0.5,OTHERS,MEDAK,535,TELANGANA,37,224181,54025,224170,54022,7,1,4,2,0,0,0,0,0
Below 0.5,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,78342,22304,78325,22300,5,3,12,1,0,0,0,0,0
Below 0.5,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,242235,61655,242227,61653,8,3,0,0,0,0,0,0,0
Below 0.5,OTHERS,NALGONDA,539,TELANGANA,37,182175,49350,182146,49344,6,1,12,3,11,1,1,0,2
Below 0.5,OTHERS,WARANGAL,540,TELANGANA,37,192585,47874,192248,47763,200,69,0,0,137,19,22,0,42
Below 0.5,OTHERS,KHAMMAM,541,TELANGANA,37,92362,26551,92161,26479,192,68,0,0,9,4,0,0,4
Below 0.5,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,270668,63781,270533,63743,56,15,0,0,79,5,18,0,23
Below 0.5,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,213638,48037,210769,47226,2488,682,22,6,359,63,58,2,123
Below 0.5,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,219266,51993,214521,50736,1269,312,1361,246,2115,401,148,150,699
Below 0.5,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,360241,89144,359372,88899,573,175,81,2,215,33,34,1,68
Below 0.5,OTHERS,WEST GODAVARI,546,ANDHRA PRADESH,36,257762,69196,257713,69180,32,9,6,1,11,2,3,0,5
Below 0.5,OTHERS,KRISHNA,547,ANDHRA PRADESH,36,215688,61230,210354,59621,4920,1524,245,23,169,31,30,0,61
Below 0.5,OTHERS,GUNTUR,548,ANDHRA PRADESH,36,283640,84223,283640,84223,0,0,0,0,0,0,0,0,0
Below 0.5,OTHERS,PRAKASAM,549,ANDHRA PRADESH,36,175366,50662,175366,50662,0,0,0,0,0,0,0,0,0
Below 0.5,OTHERS,NELLORE,550,ANDHRA PRADESH,36,130240,34378,130072,34326,94,31,65,17,9,3,0,1,4
Below 0.5,OTHERS,KADAPA,551,ANDHRA PRADESH,36,105204,29988,105194,29984,0,0,10,3,0,0,0,0,0
Below 0.5,OTHERS,KURNOOL,552,ANDHRA PRADESH,36,99234,31717,99145,31685,89,32,0,0,0,0,0,0,0
Below 0.5,OTHERS,ANANTHAPUR,553,ANDHRA PRADESH,36,88872,27405,88864,27403,0,0,8,3,0,0,0,0,0
Below 0.5,OTHERS,CHITTOOR,554,ANDHRA PRADESH,36,222355,57027,222187,56974,146,46,22,8,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,ADILABAD,532,TELANGANA,37,18221,5142,18193,5129,28,13,0,0,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,NIZAMABAD,533,TELANGANA,37,13086,4026,13086,4026,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,KARIMNAGAR,534,TELANGANA,37,7879,2178,7874,2176,5,2,0,0,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,MEDAK,535,TELANGANA,37,10735,3088,10735,3088,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,RANGAREDDY,537,ANDHRA PRADESH,36,8541,2593,8527,2589,0,0,14,4,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,MAHABUBNAGAR,538,TELANGANA,37,29640,8141,29640,8141,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,NALGONDA,539,TELANGANA,37,29377,8601,29377,8601,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,WARANGAL,540,TELANGANA,37,41606,11120,41416,11068,121,35,0,0,69,11,5,0,17
Below 0.5,SCHEDULED TRIBES,KHAMMAM,541,TELANGANA,37,51817,15218,51669,15169,148,49,0,0,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,SRIKAKULAM,542,ANDHRA PRADESH,36,17337,4479,17325,4475,0,0,12,4,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,VIZIANAGARAM,543,ANDHRA PRADESH,36,16594,4372,16539,4356,52,15,0,0,3,0,1,0,1
Below 0.5,SCHEDULED TRIBES,VISAKHAPATNAM,544,ANDHRA PRADESH,36,29040,7853,28917,7812,31,12,0,0,92,20,2,7,29
Below 0.5,SCHEDULED TRIBES,EAST GODAVARI,545,ANDHRA PRADESH,36,10200,2756,10200,2756,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,WEST GODAVARI,546,ANDHRA PRADESH,36,8225,2367,8225,2367,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,KRISHNA,547,ANDHRA PRADESH,36,6829,1945,6740,1917,85,26,0,0,4,1,1,0,2
Below 0.5,SCHEDULED TRIBES,GUNTUR,548,ANDHRA PRADESH,36,8164,2447,8164,2447,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,PRAKASAM,549,ANDHRA PRADESH,36,5743,1724,5739,1723,0,0,4,1,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,NELLORE,550,ANDHRA PRADESH,36,15233,4040,15223,4035,10,5,0,0,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,KADAPA,551,ANDHRA PRADESH,36,2865,833,2865,833,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,KURNOOL,552,ANDHRA PRADESH,36,2865,921,2865,921,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,ANANTHAPUR,553,ANDHRA PRADESH,36,4431,1429,4431,1429,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,CHITTOOR,554,ANDHRA PRADESH,36,7092,2022,7092,2022,0,0,0,0,0,0,0,0,0
Below 0.5,ALL SOCIAL GROUPS,ADILABAD,532,TELANGANA,37,144024,37457,143946,37428,70,25,8,4,0,0,0,0,0
Below 0.5,ALL SOCIAL GROUPS,NIZAMABAD,533,TELANGANA,37,189151,51936,189151,51936,0,0,0,0,0,0,0,0,0
Below 0.5,ALL SOCIAL GROUPS,KARIMNAGAR,534,TELANGANA,37,274368,71226,274290,71197,69,26,9,2,0,0,0,0,0
Below 0.5,ALL SOCIAL GROUPS,MEDAK,535,TELANGANA,37,289341,70477,289330,70474,7,1,4,2,0,0,0,0,0
Below 0.5,ALL SOCIAL GROUPS,RANGAREDDY,537,ANDHRA PRADESH,36,107339,30551,107303,30541,5,3,31,7,0,0,0,0,0
Below 0.5,ALL SOCIAL GROUPS,MAHABUBNAGAR,538,TELANGANA,37,324726,83602,324718,83600,8,3,0,0,0,0,0,0,0
Below 0.5,ALL SOCIAL GROUPS,NALGONDA,539,TELANGANA,37,256198,69226,256157,69216,10,3,20,5,11,1,1,0,2
Below 0.5,ALL SOCIAL GROUPS,WARANGAL,540,TELANGANA,37,280779,70536,280153,70334,395,134,4,0,227,35,32,0,67
Below 0.5,ALL SOCIAL GROUPS,KHAMMAM,541,TELANGANA,37,170114,48535,169746,48408,359,123,0,0,9,4,0,0,4
Below 0.5,ALL SOCIAL GROUPS,SRIKAKULAM,542,ANDHRA PRADESH,36,308866,72753,308719,72711,56,15,12,4,79,5,18,0,23
Below 0.5,ALL SOCIAL GROUPS,VIZIANAGARAM,543,ANDHRA PRADESH,36,244848,55780,241717,54901,2727,743,22,6,382,66,62,2,130
Below 0.5,ALL SOCIAL GROUPS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,254854,61546,249857,60207,1359,344,1370,246,2268,434,154,160,749
Below 0.5,ALL SOCIAL GROUPS,EAST GODAVARI,545,ANDHRA PRADESH,36,421667,102491,420642,102217,617,195,177,5,231,36,38,1,74
Below 0.5,ALL SOCIAL GROUPS,WEST GODAVARI,546,ANDHRA PRADESH,36,299108,79758,299050,79737,32,9,6,1,20,7,4,0,10
Below 0.5,ALL SOCIAL GROUPS,KRISHNA,547,ANDHRA PRADESH,36,257268,71639,251263,69845,5525,1695,294,31,186,35,33,0,68
Below 0.5,ALL SOCIAL GROUPS,GUNTUR,548,ANDHRA PRADESH,36,325972,95713,325972,95713,0,0,0,0,0,0,0,0,0
Below 0.5,ALL SOCIAL GROUPS,PRAKASAM,549,ANDHRA PRADESH,36,214682,61716,214678,61714,0,0,4,1,0,0,0,0,0
Below 0.5,ALL SOCIAL GROUPS,NELLORE,550,ANDHRA PRADESH,36,198408,51866,198200,51799,130,45,69,18,9,3,0,1,4
Below 0.5,ALL SOCIAL GROUPS,KADAPA,551,ANDHRA PRADESH,36,123309,35264,123291,35258,0,0,18,5,0,0,0,0,0
Below 0.5,ALL SOCIAL GROUPS,KURNOOL,552,ANDHRA PRADESH,36,123253,39479,123158,39445,95,35,0,0,0,0,0,0,0
Below 0.5,ALL SOCIAL GROUPS,ANANTHAPUR,553,ANDHRA PRADESH,36,108569,33680,108561,33677,0,0,8,3,0,0,0,0,0
Below 0.5,ALL SOCIAL GROUPS,CHITTOOR,554,ANDHRA PRADESH,36,278390,71547,278192,71486,162,50,31,8,5,2,0,0,3
1.0-2.0,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,6,8,6,8,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,8,11,8,11,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,5,9,5,9,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,MEDAK,535,TELANGANA,37,32,46,32,46,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,10,16,10,16,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,16,22,16,22,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,1,1,1,1,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,24,38,24,38,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,106,162,106,162,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,6,10,6,10,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,43,62,43,62,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,126,183,126,183,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,144,208,144,208,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,1,2,1,2,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,142,214,142,214,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,PRAKASAM,549,ANDHRA PRADESH,36,15,22,15,22,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,NELLORE,550,ANDHRA PRADESH,36,152,214,152,214,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,KADAPA,551,ANDHRA PRADESH,36,5,6,5,6,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,KURNOOL,552,ANDHRA PRADESH,36,2,3,2,3,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,ANANTHAPUR,553,ANDHRA PRADESH,36,80,114,80,114,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,CHITTOOR,554,ANDHRA PRADESH,36,5,8,5,8,0,0,0,0,0,0,0,0,0
1.0-2.0,SCHEDULED CASTE,ADILABAD,532,TELANGANA,37,18917,26616,18662,26232,235,353,5,10,15,12,9,0,21
1.0-2.0,SCHEDULED CASTE,NIZAMABAD,533,TELANGANA,37,10813,14520,10811,14518,2,2,0,0,0,0,0,0,0
1.0-2.0,SCHEDULED CASTE,KARIMNAGAR,534,TELANGANA,37,13973,18940,13863,18784,71,95,4,6,35,30,25,0,55
1.0-2.0,SCHEDULED CASTE,MEDAK,535,TELANGANA,37,18593,25236,18593,25236,0,0,0,0,0,0,0,0,0
1.0-2.0,SCHEDULED CASTE,RANGAREDDY,537,ANDHRA PRADESH,36,12105,16722,12105,16722,0,0,0,0,0,0,0,0,0
1.0-2.0,SCHEDULED CASTE,MAHABUBNAGAR,538,TELANGANA,37,27944,39005,27944,39005,0,0,0,0,0,0,0,0,0
1.0-2.0,SCHEDULED CASTE,NALGONDA,539,TELANGANA,37,14990,20554,14977,20537,6,9,0,0,7,3,4,0,7
