size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,holding_whly-owned_self-operatd_no,holding_whly-owned_self-operatd_ar,holding_whly_leased-in_no,holding_whly_leased-in_ar,holding_whly-operatd_no,holding_whly-operatd_ar,holding_partly-ownd_leased-in_operatd_no,holding_partly-ownd_leased-in_operatd_ownd-ar,holding_partly-ownd_leased-in_operatd_leasdin-ar,holding_partly-ownd_leased-in_operatd_operatd-ar,holding_partly-ownd_leased-in_operatd_tot-ar
ALL CLASSES,SCHEDULED CASTE,KURNOOL,552,ANDHRA PRADESH,36,76496,86874,76404,86752,66,77,0,0,26,18,27,0,45
ALL CLASSES,SCHEDULED CASTE,ANANTHAPUR,553,ANDHRA PRADESH,36,71518,88061,71492,87994,0,0,26,67,0,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,CHITTOOR,554,ANDHRA PRADESH,36,89262,56346,89148,56225,48,48,29,36,37,20,16,0,36
ALL CLASSES,OTHERS,ADILABAD,532,TELANGANA,37,328303,450198,327998,449648,97,118,20,26,188,264,142,0,406
ALL CLASSES,OTHERS,NIZAMABAD,533,TELANGANA,37,371883,357578,371786,357451,76,111,0,0,21,12,4,0,16
ALL CLASSES,OTHERS,KARIMNAGAR,534,TELANGANA,37,546409,559792,545613,558509,318,328,14,7,464,529,419,0,948
ALL CLASSES,OTHERS,MEDAK,535,TELANGANA,37,541557,548966,541539,548952,7,1,11,13,0,0,0,0,0
ALL CLASSES,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,259983,337733,259911,337599,49,114,23,21,0,0,0,0,0
ALL CLASSES,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,761838,988683,761796,988590,22,50,0,0,20,35,3,5,42
ALL CLASSES,OTHERS,NALGONDA,539,TELANGANA,37,585344,754808,585105,754460,48,73,30,31,161,165,78,0,244
ALL CLASSES,OTHERS,WARANGAL,540,TELANGANA,37,474526,506312,473166,505061,1070,996,12,18,278,133,103,0,236
ALL CLASSES,OTHERS,KHAMMAM,541,TELANGANA,37,267298,324091,264015,316101,2056,3221,10,21,1217,2814,1718,216,4749
ALL CLASSES,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,461825,307914,461127,306512,84,33,0,0,614,983,385,0,1368
ALL CLASSES,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,385619,292697,377349,282032,3853,1988,22,6,4395,5717,2934,21,8672
ALL CLASSES,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,355558,218042,346170,210788,1434,439,1638,497,6316,4657,1046,614,6317
ALL CLASSES,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,591563,393393,589420,391284,997,745,94,23,1052,805,533,2,1340
