size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,holding_canal_no,holding_canal_ar,holding_tank_no,holding_tank_ar,holding_well_no,holding_well_ar,holding_tubewell_no,holding_tubewell_ar,no_holdings_othersources,area_irrigated_othersources,no_holdings_receiving_irrigation,total_irrigated_area
20.0 & ABOVE,OTHERS,PRAKASAM,549,ANDHRA PRADESH,36,151,4347,8,76,13,89,0,0,21,85,22,200,54,450
20.0 & ABOVE,OTHERS,NELLORE,550,ANDHRA PRADESH,36,157,4883,0,0,39,724,4,82,8,112,33,419,83,1338
20.0 & ABOVE,OTHERS,KADAPA,551,ANDHRA PRADESH,36,43,1709,0,0,6,211,0,0,2,32,5,61,13,303
20.0 & ABOVE,OTHERS,KURNOOL,552,ANDHRA PRADESH,36,235,8707,23,257,13,82,6,12,25,132,33,389,83,872
20.0 & ABOVE,OTHERS,ANANTHAPUR,553,ANDHRA PRADESH,36,367,11401,7,97,0,0,4,4,138,946,10,146,148,1193
20.0 & ABOVE,OTHERS,CHITTOOR,554,ANDHRA PRADESH,36,123,3571,0,0,1,4,2,11,25,101,14,211,41,327
20.0 & ABOVE,SCHEDULED TRIBES,ADILABAD,532,TELANGANA,37,93,2715,0,0,1,2,1,2,0,0,1,12,2,16
20.0 & ABOVE,SCHEDULED TRIBES,NIZAMABAD,533,TELANGANA,37,2,67,0,0,0,0,0,0,0,0,2,33,2,33
20.0 & ABOVE,SCHEDULED TRIBES,KARIMNAGAR,534,TELANGANA,37,3,92,0,0,0,0,0,0,0,0,2,25,2,25
20.0 & ABOVE,SCHEDULED TRIBES,MEDAK,535,TELANGANA,37,3,113,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,RANGAREDDY,537,ANDHRA PRADESH,36,8,253,0,0,0,0,0,0,1,4,1,22,2,26
20.0 & ABOVE,SCHEDULED TRIBES,MAHABUBNAGAR,538,TELANGANA,37,16,622,0,0,0,0,0,0,0,0,5,137,5,137
20.0 & ABOVE,SCHEDULED TRIBES,NALGONDA,539,TELANGANA,37,3,89,0,0,0,0,1,1,0,0,0,0,1,1
20.0 & ABOVE,SCHEDULED TRIBES,WARANGAL,540,TELANGANA,37,23,627,0,0,0,0,0,0,0,0,8,130,8,130
20.0 & ABOVE,SCHEDULED TRIBES,KHAMMAM,541,TELANGANA,37,37,999,1,2,1,6,0,0,27,364,2,24,29,397
20.0 & ABOVE,SCHEDULED TRIBES,SRIKAKULAM,542,ANDHRA PRADESH,36,1,21,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,VIZIANAGARAM,543,ANDHRA PRADESH,36,3,67,1,6,0,0,0,0,0,0,0,0,1,6
20.0 & ABOVE,SCHEDULED TRIBES,VISAKHAPATNAM,544,ANDHRA PRADESH,36,42,1049,0,0,0,0,0,0,0,0,17,140,17,140
20.0 & ABOVE,SCHEDULED TRIBES,EAST GODAVARI,545,ANDHRA PRADESH,36,25,664,0,0,10,104,0,0,0,0,9,40,19,144
20.0 & ABOVE,SCHEDULED TRIBES,WEST GODAVARI,546,ANDHRA PRADESH,36,4,406,0,0,0,0,0,0,3,270,1,68,4,338
20.0 & ABOVE,SCHEDULED TRIBES,KRISHNA,547,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,GUNTUR,548,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,PRAKASAM,549,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,NELLORE,550,ANDHRA PRADESH,36,2,63,0,0,0,0,0,0,0,0,2,31,2,31
20.0 & ABOVE,SCHEDULED TRIBES,KADAPA,551,ANDHRA PRADESH,36,1,41,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,KURNOOL,552,ANDHRA PRADESH,36,2,58,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,ANANTHAPUR,553,ANDHRA PRADESH,36,4,103,0,0,0,0,0,0,1,10,0,0,1,10
20.0 & ABOVE,SCHEDULED TRIBES,CHITTOOR,554,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,ADILABAD,532,TELANGANA,37,350,11906,5,130,8,44,19,146,5,12,8,131,38,462
20.0 & ABOVE,ALL SOCIAL GROUPS,NIZAMABAD,533,TELANGANA,37,47,1591,1,32,10,260,0,0,8,57,11,184,30,532
20.0 & ABOVE,ALL SOCIAL GROUPS,KARIMNAGAR,534,TELANGANA,37,146,4950,5,220,12,426,21,269,1,5,80,1104,115,2024
20.0 & ABOVE,ALL SOCIAL GROUPS,MEDAK,535,TELANGANA,37,240,8764,0,0,12,856,0,0,56,750,22,285,90,1891
20.0 & ABOVE,ALL SOCIAL GROUPS,RANGAREDDY,537,ANDHRA PRADESH,36,175,5127,0,0,18,365,15,19,55,116,23,296,103,796
20.0 & ABOVE,ALL SOCIAL GROUPS,MAHABUBNAGAR,538,TELANGANA,37,379,11934,3,8,15,360,13,62,108,571,35,514,166,1516
20.0 & ABOVE,ALL SOCIAL GROUPS,NALGONDA,539,TELANGANA,37,195,7065,17,19,10,435,43,133,81,564,38,482,145,1634
20.0 & ABOVE,ALL SOCIAL GROUPS,WARANGAL,540,TELANGANA,37,347,11428,4,17,28,95,72,837,0,0,56,947,133,1897
20.0 & ABOVE,ALL SOCIAL GROUPS,KHAMMAM,541,TELANGANA,37,212,9260,4,144,36,813,50,181,107,987,48,230,156,2355
20.0 & ABOVE,ALL SOCIAL GROUPS,SRIKAKULAM,542,ANDHRA PRADESH,36,100,4395,23,601,8,356,3,3,3,6,50,727,78,1692
20.0 & ABOVE,ALL SOCIAL GROUPS,VIZIANAGARAM,543,ANDHRA PRADESH,36,99,3363,1,6,16,208,5,15,13,35,52,667,74,930
20.0 & ABOVE,ALL SOCIAL GROUPS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,83,2857,7,224,7,130,0,0,0,0,28,523,42,877
20.0 & ABOVE,ALL SOCIAL GROUPS,EAST GODAVARI,545,ANDHRA PRADESH,36,134,4565,4,25,20,183,1,4,6,105,70,1311,98,1628
20.0 & ABOVE,ALL SOCIAL GROUPS,WEST GODAVARI,546,ANDHRA PRADESH,36,80,3038,5,127,8,175,0,0,20,855,38,629,71,1787
20.0 & ABOVE,ALL SOCIAL GROUPS,KRISHNA,547,ANDHRA PRADESH,36,72,2274,6,139,1,22,1,4,13,264,27,344,48,773
20.0 & ABOVE,ALL SOCIAL GROUPS,GUNTUR,548,ANDHRA PRADESH,36,117,5694,24,1543,5,117,0,0,0,0,57,1276,86,2937
20.0 & ABOVE,ALL SOCIAL GROUPS,PRAKASAM,549,ANDHRA PRADESH,36,188,5877,8,76,13,89,0,0,25,110,28,304,64,578
20.0 & ABOVE,ALL SOCIAL GROUPS,NELLORE,550,ANDHRA PRADESH,36,238,9420,7,149,39,724,5,116,16,281,71,1362,134,2632
20.0 & ABOVE,ALL SOCIAL GROUPS,KADAPA,551,ANDHRA PRADESH,36,50,2355,0,0,6,211,0,0,2,32,10,351,18,593
20.0 & ABOVE,ALL SOCIAL GROUPS,KURNOOL,552,ANDHRA PRADESH,36,261,10470,23,257,13,82,6,12,25,132,38,460,88,944
20.0 & ABOVE,ALL SOCIAL GROUPS,ANANTHAPUR,553,ANDHRA PRADESH,36,424,14504,7,97,0,0,4,4,139,956,11,160,150,1217
20.0 & ABOVE,ALL SOCIAL GROUPS,CHITTOOR,554,ANDHRA PRADESH,36,148,5839,2,38,1,4,2,11,28,124,21,901,52,1078
Below 0.5,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,14,4,0,0,0,0,0,0,0,0,4,0,4,0
Below 0.5,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,15,4,0,0,2,0,0,0,0,0,5,1,7,1
Below 0.5,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,MEDAK,535,TELANGANA,37,23,9,0,0,4,1,0,0,4,0,3,1,11,2
Below 0.5,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,25,6,4,1,10,1,0,0,2,0,0,0,16,3
Below 0.5,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,2,1,0,0,2,0,0,0,0,0,0,0,2,0
Below 0.5,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,9,3,3,1,0,0,1,0,0,0,2,1,6,2
Below 0.5,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,41,15,21,7,0,0,0,0,0,0,12,3,33,10
Below 0.5,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,4,1,0,0,0,0,0,0,0,0,1,0,1,0
Below 0.5,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,52,14,14,3,0,0,0,0,0,0,35,5,49,8
Below 0.5,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,256,60,166,35,0,0,0,0,5,2,77,10,248,47
Below 0.5,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,143,41,115,32,0,0,0,0,8,2,15,2,138,37
Below 0.5,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,7,2,0,0,0,0,0,0,0,0,1,0,1,0
Below 0.5,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,16,4,6,2,0,0,0,0,2,1,1,0,9,2
Below 0.5,INSTITUTIONAL,PRAKASAM,549,ANDHRA PRADESH,36,8,3,0,0,0,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,NELLORE,550,ANDHRA PRADESH,36,37,9,11,3,0,0,1,0,2,1,19,3,33,8
Below 0.5,INSTITUTIONAL,KADAPA,551,ANDHRA PRADESH,36,2,0,0,0,0,0,0,0,0,0,1,0,1,0
Below 0.5,INSTITUTIONAL,KURNOOL,552,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,ANANTHAPUR,553,ANDHRA PRADESH,36,74,23,0,0,0,0,0,0,0,0,4,1,4,1
Below 0.5,INSTITUTIONAL,CHITTOOR,554,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,ADILABAD,532,TELANGANA,37,27860,7194,1502,400,2922,724,831,236,456,129,48,10,5708,1500
Below 0.5,SCHEDULED CASTE,NIZAMABAD,533,TELANGANA,37,32389,9171,8807,2425,2833,671,247,60,6927,1982,237,47,18394,5186
Below 0.5,SCHEDULED CASTE,KARIMNAGAR,534,TELANGANA,37,53893,13581,13465,3104,2696,646,13140,4004,256,70,28,10,28998,7834
Below 0.5,SCHEDULED CASTE,MEDAK,535,TELANGANA,37,54402,13355,635,172,3750,613,794,212,6392,1489,271,92,11800,2578
Below 0.5,SCHEDULED CASTE,RANGAREDDY,537,ANDHRA PRADESH,36,20453,5653,229,39,173,18,342,78,2548,579,14,4,3253,719
Below 0.5,SCHEDULED CASTE,MAHABUBNAGAR,538,TELANGANA,37,52850,13806,2811,784,1126,183,337,83,3541,1065,564,171,8364,2288
Below 0.5,SCHEDULED CASTE,NALGONDA,539,TELANGANA,37,44621,11269,8179,2058,1721,344,1149,339,5674,1481,180,58,16828,4279
Below 0.5,SCHEDULED CASTE,WARANGAL,540,TELANGANA,37,46586,11541,95,30,4458,1069,15393,4022,961,232,195,74,21077,5427
Below 0.5,SCHEDULED CASTE,KHAMMAM,541,TELANGANA,37,25926,6764,7020,1700,3963,897,1225,330,1011,244,841,257,13939,3429
Below 0.5,SCHEDULED CASTE,SRIKAKULAM,542,ANDHRA PRADESH,36,20820,4478,10234,2038,3971,867,112,25,345,71,67,18,14664,3020
Below 0.5,SCHEDULED CASTE,VIZIANAGARAM,543,ANDHRA PRADESH,36,14612,3369,1405,312,5005,956,801,189,51,14,73,19,7303,1490
Below 0.5,SCHEDULED CASTE,VISAKHAPATNAM,544,ANDHRA PRADESH,36,6496,1686,1920,429,2461,547,291,58,85,17,31,8,4773,1059
Below 0.5,SCHEDULED CASTE,EAST GODAVARI,545,ANDHRA PRADESH,36,50970,10531,24530,5110,2423,595,54,15,4770,989,578,137,32132,6846
Below 0.5,SCHEDULED CASTE,WEST GODAVARI,546,ANDHRA PRADESH,36,32978,8154,13090,2921,3045,720,430,85,13671,3675,342,117,30541,7518
Below 0.5,SCHEDULED CASTE,KRISHNA,547,ANDHRA PRADESH,36,34744,8463,19129,4321,2726,628,99,31,3742,942,1077,350,26756,6272
Below 0.5,SCHEDULED CASTE,GUNTUR,548,ANDHRA PRADESH,36,34152,9038,18443,4671,292,65,204,55,3254,806,595,198,22785,5796
Below 0.5,SCHEDULED CASTE,PRAKASAM,549,ANDHRA PRADESH,36,33565,9327,3084,905,3058,477,97,29,2921,775,934,255,10035,2442
Below 0.5,SCHEDULED CASTE,NELLORE,550,ANDHRA PRADESH,36,52898,13439,17414,4126,20882,4656,1733,460,2954,756,1264,371,44216,10370
Below 0.5,SCHEDULED CASTE,KADAPA,551,ANDHRA PRADESH,36,15238,4442,1725,454,569,130,177,42,4139,1155,54,21,6662,1801
Below 0.5,SCHEDULED CASTE,KURNOOL,552,ANDHRA PRADESH,36,21154,6841,6827,1993,640,196,527,174,1127,354,539,195,9645,2912
Below 0.5,SCHEDULED CASTE,ANANTHAPUR,553,ANDHRA PRADESH,36,15192,4823,765,232,69,15,64,15,1130,326,12,4,2001,592
Below 0.5,SCHEDULED CASTE,CHITTOOR,554,ANDHRA PRADESH,36,48943,12497,3157,804,4345,850,3103,750,6242,1379,153,52,16862,3835
Below 0.5,OTHERS,ADILABAD,532,TELANGANA,37,97929,25117,6506,1951,11844,2778,3614,1059,2416,670,0,0,24275,6458
Below 0.5,OTHERS,NIZAMABAD,533,TELANGANA,37,143661,38735,37230,9552,9990,2466,764,219,28192,7897,0,0,74976,20135
Below 0.5,OTHERS,KARIMNAGAR,534,TELANGANA,37,212595,55466,52842,13156,9801,2574,55568,16873,780,213,610,214,117874,33029
Below 0.5,OTHERS,MEDAK,535,TELANGANA,37,224181,54025,4003,894,15082,2896,2662,640,33274,7625,1726,427,56535,12482
Below 0.5,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,78342,22304,1822,462,919,106,1318,306,11875,2944,302,71,15955,3890
Below 0.5,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,242235,61655,13641,3770,3409,695,1265,281,20085,5809,5787,1342,44083,11897
Below 0.5,OTHERS,NALGONDA,539,TELANGANA,37,182175,49350,41422,11555,7224,1574,4803,1482,19788,5815,1362,405,74359,20831
Below 0.5,OTHERS,WARANGAL,540,TELANGANA,37,192585,47874,1468,444,24783,6211,70725,18839,3376,900,1613,390,101856,26783
Below 0.5,OTHERS,KHAMMAM,541,TELANGANA,37,92362,26551,23155,6698,15756,4315,5432,1564,4087,1219,4609,1315,52638,15111
Below 0.5,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,270668,63781,136495,32269,54234,12175,4087,807,3546,882,3103,712,200455,46845
Below 0.5,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,213638,48037,24750,6054,106259,19562,7735,1287,2371,663,701,196,141248,27762
Below 0.5,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,219266,51993,67003,14640,72708,15511,9650,1595,10363,2404,2726,607,161027,34757
Below 0.5,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,360241,89144,202401,48775,24503,6704,577,157,39932,10365,7165,1902,272854,67903
Below 0.5,OTHERS,WEST GODAVARI,546,ANDHRA PRADESH,36,257762,69196,160836,41657,6344,1766,2054,548,67481,19250,9752,2637,245878,65859
Below 0.5,OTHERS,KRISHNA,547,ANDHRA PRADESH,36,215688,61230,140547,39628,10537,2884,1351,350,15503,4504,7931,2206,175786,49573
Below 0.5,OTHERS,GUNTUR,548,ANDHRA PRADESH,36,283640,84223,163075,46785,761,275,1528,453,21848,6211,7125,2159,194330,55882
Below 0.5,OTHERS,PRAKASAM,549,ANDHRA PRADESH,36,175366,50662,16254,5238,11861,2860,320,86,14153,3759,11785,2385,54264,14328
Below 0.5,OTHERS,NELLORE,550,ANDHRA PRADESH,36,130240,34378,42139,11137,51146,12353,3527,947,8098,2261,3074,834,107893,27534
Below 0.5,OTHERS,KADAPA,551,ANDHRA PRADESH,36,105204,29988,16174,4707,5404,1392,1506,400,27101,7279,342,105,50415,13883
Below 0.5,OTHERS,KURNOOL,552,ANDHRA PRADESH,36,99234,31717,31159,9272,2778,884,1580,513,5105,1509,1931,624,42498,12801
Below 0.5,OTHERS,ANANTHAPUR,553,ANDHRA PRADESH,36,88872,27405,4125,1378,852,174,307,82,9400,2633,6,2,14539,4270
Below 0.5,OTHERS,CHITTOOR,554,ANDHRA PRADESH,36,222355,57027,4058,1045,15126,3083,10848,2464,32091,7471,742,164,62297,14226
Below 0.5,SCHEDULED TRIBES,ADILABAD,532,TELANGANA,37,18221,5142,824,272,987,249,556,186,254,90,0,0,2617,797
Below 0.5,SCHEDULED TRIBES,NIZAMABAD,533,TELANGANA,37,13086,4026,4506,1335,1291,312,184,60,2264,678,0,0,8172,2386
Below 0.5,SCHEDULED TRIBES,KARIMNAGAR,534,TELANGANA,37,7879,2178,1514,371,914,193,1383,454,83,20,0,0,3797,1038
Below 0.5,SCHEDULED TRIBES,MEDAK,535,TELANGANA,37,10735,3088,44,10,592,140,188,36,2155,571,0,0,2963,756
Below 0.5,SCHEDULED TRIBES,RANGAREDDY,537,ANDHRA PRADESH,36,8541,2593,188,55,234,40,53,11,1396,407,0,0,1869,513
Below 0.5,SCHEDULED TRIBES,MAHABUBNAGAR,538,TELANGANA,37,29640,8141,947,284,769,176,164,34,2768,840,0,0,4646,1333
Below 0.5,SCHEDULED TRIBES,NALGONDA,539,TELANGANA,37,29377,8601,6157,1807,1659,338,601,199,3752,1191,0,0,12152,3535
Below 0.5,SCHEDULED TRIBES,WARANGAL,540,TELANGANA,37,41606,11120,345,113,5583,1428,16070,4416,1205,354,0,0,23182,6312
Below 0.5,SCHEDULED TRIBES,KHAMMAM,541,TELANGANA,37,51817,15218,3772,1112,10156,2817,2984,757,1583,506,0,0,18465,5192
Below 0.5,SCHEDULED TRIBES,SRIKAKULAM,542,ANDHRA PRADESH,36,17337,4479,3562,853,2984,673,104,24,40,11,348,70,7009,1631
Below 0.5,SCHEDULED TRIBES,VIZIANAGARAM,543,ANDHRA PRADESH,36,16594,4372,593,175,2587,578,50,13,20,6,688,206,3936,978
Below 0.5,SCHEDULED TRIBES,VISAKHAPATNAM,544,ANDHRA PRADESH,36,29040,7853,1211,268,2304,326,108,33,21,5,9599,2244,13229,2875
Below 0.5,SCHEDULED TRIBES,EAST GODAVARI,545,ANDHRA PRADESH,36,10200,2756,2481,562,1906,491,38,10,215,49,153,44,4755,1156
Below 0.5,SCHEDULED TRIBES,WEST GODAVARI,546,ANDHRA PRADESH,36,8225,2367,720,175,642,129,49,15,3377,1033,249,65,5033,1417
Below 0.5,SCHEDULED TRIBES,KRISHNA,547,ANDHRA PRADESH,36,6829,1945,2380,696,967,263,71,24,659,157,260,67,4334,1206
Below 0.5,SCHEDULED TRIBES,GUNTUR,548,ANDHRA PRADESH,36,8164,2447,3360,942,508,85,25,8,1188,388,278,95,5357,1518
Below 0.5,SCHEDULED TRIBES,PRAKASAM,549,ANDHRA PRADESH,36,5743,1724,793,289,494,96,15,4,598,104,365,57,2262,550
Below 0.5,SCHEDULED TRIBES,NELLORE,550,ANDHRA PRADESH,36,15233,4040,4841,1174,5622,1387,611,181,823,227,884,200,12757,3169
Below 0.5,SCHEDULED TRIBES,KADAPA,551,ANDHRA PRADESH,36,2865,833,247,74,463,98,0,0,605,152,3,1,1311,325
Below 0.5,SCHEDULED TRIBES,KURNOOL,552,ANDHRA PRADESH,36,2865,921,722,233,179,46,51,18,128,44,2,1,1078,343
Below 0.5,SCHEDULED TRIBES,ANANTHAPUR,553,ANDHRA PRADESH,36,4431,1429,56,19,72,21,4,1,257,77,0,0,387,118
Below 0.5,SCHEDULED TRIBES,CHITTOOR,554,ANDHRA PRADESH,36,7092,2022,508,138,848,207,332,78,775,178,11,3,2458,604
Below 0.5,ALL SOCIAL GROUPS,ADILABAD,532,TELANGANA,37,144024,37457,8832,2623,15753,3752,5001,1481,3126,889,52,10,32604,8756
Below 0.5,ALL SOCIAL GROUPS,NIZAMABAD,533,TELANGANA,37,189151,51936,50543,13313,14116,3451,1195,340,37383,10557,242,47,101549,27708
Below 0.5,ALL SOCIAL GROUPS,KARIMNAGAR,534,TELANGANA,37,274368,71226,67821,16631,13411,3412,70091,21331,1119,303,638,224,150669,41902
Below 0.5,ALL SOCIAL GROUPS,MEDAK,535,TELANGANA,37,289341,70477,4682,1076,19428,3649,3644,888,41825,9685,2000,520,71309,15819
Below 0.5,ALL SOCIAL GROUPS,RANGAREDDY,537,ANDHRA PRADESH,36,107339,30551,2239,556,1326,164,1713,396,15819,3930,316,76,21077,5121
Below 0.5,ALL SOCIAL GROUPS,MAHABUBNAGAR,538,TELANGANA,37,324726,83602,17399,4838,5304,1054,1766,398,26394,7714,6351,1514,57093,15517
Below 0.5,ALL SOCIAL GROUPS,NALGONDA,539,TELANGANA,37,256198,69226,55762,15422,10614,2257,6553,2020,29216,8487,1542,463,103355,28648
Below 0.5,ALL SOCIAL GROUPS,WARANGAL,540,TELANGANA,37,280779,70536,1908,587,34826,8708,102188,27278,5542,1485,1808,464,146117,38522
Below 0.5,ALL SOCIAL GROUPS,KHAMMAM,541,TELANGANA,37,170114,48535,33950,9511,29875,8029,9642,2651,6681,1970,5452,1573,85048,23734
Below 0.5,ALL SOCIAL GROUPS,SRIKAKULAM,542,ANDHRA PRADESH,36,308866,72753,150312,35168,61189,13715,4303,856,3931,965,3530,803,222161,51507
Below 0.5,ALL SOCIAL GROUPS,VIZIANAGARAM,543,ANDHRA PRADESH,36,244848,55780,26748,6540,113851,21096,8586,1489,2442,683,1463,422,152488,30230
Below 0.5,ALL SOCIAL GROUPS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,254854,61546,70148,15339,77473,16384,10049,1686,10469,2426,12391,2864,179078,38699
Below 0.5,ALL SOCIAL GROUPS,EAST GODAVARI,545,ANDHRA PRADESH,36,421667,102491,229578,54482,28832,7790,669,182,44922,11405,7973,2092,309989,75951
Below 0.5,ALL SOCIAL GROUPS,WEST GODAVARI,546,ANDHRA PRADESH,36,299108,79758,174761,44785,10031,2615,2533,649,84537,23960,10358,2821,281590,74830
Below 0.5,ALL SOCIAL GROUPS,KRISHNA,547,ANDHRA PRADESH,36,257268,71639,162056,44645,14230,3775,1521,405,19904,5603,9269,2623,206877,57051
Below 0.5,ALL SOCIAL GROUPS,GUNTUR,548,ANDHRA PRADESH,36,325972,95713,184884,52399,1561,425,1757,516,26292,7406,7999,2452,222481,63198
Below 0.5,ALL SOCIAL GROUPS,PRAKASAM,549,ANDHRA PRADESH,36,214682,61716,20131,6432,15413,3433,432,120,17672,4638,13084,2698,66561,17321
Below 0.5,ALL SOCIAL GROUPS,NELLORE,550,ANDHRA PRADESH,36,198408,51866,64405,16440,77650,18396,5872,1589,11877,3246,5241,1409,164899,41080
Below 0.5,ALL SOCIAL GROUPS,KADAPA,551,ANDHRA PRADESH,36,123309,35264,18146,5235,6436,1619,1683,441,31845,8586,400,128,58389,16009
Below 0.5,ALL SOCIAL GROUPS,KURNOOL,552,ANDHRA PRADESH,36,123253,39479,38708,11498,3597,1126,2158,705,6360,1907,2472,820,53221,16056
Below 0.5,ALL SOCIAL GROUPS,ANANTHAPUR,553,ANDHRA PRADESH,36,108569,33680,4946,1629,993,210,375,98,10787,3036,22,6,16931,4980
Below 0.5,ALL SOCIAL GROUPS,CHITTOOR,554,ANDHRA PRADESH,36,278390,71547,7723,1987,20319,4140,14283,3292,39108,9027,906,219,81617,18665
1.0-2.0,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,6,8,0,0,0,0,0,0,0,0,3,3,3,3
1.0-2.0,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,8,11,0,0,1,1,0,0,0,0,1,1,2,1
1.0-2.0,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,5,9,0,0,1,1,1,1,0,0,0,0,2,2
1.0-2.0,INSTITUTIONAL,MEDAK,535,TELANGANA,37,32,46,0,0,6,5,0,0,11,6,0,0,17,11
1.0-2.0,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,10,16,0,0,1,1,0,0,0,0,0,0,1,1
1.0-2.0,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,16,22,4,5,5,3,0,0,2,1,0,0,11,9
1.0-2.0,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,1,1,0,0,1,1,0,0,0,0,0,0,1,1
1.0-2.0,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,24,38,4,5,7,6,0,0,1,2,2,4,14,16
1.0-2.0,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,106,162,67,96,0,0,0,0,0,0,34,32,101,127
1.0-2.0,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,6,10,1,1,0,0,1,2,0,0,4,4,6,7
1.0-2.0,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,43,62,11,17,0,0,0,0,0,0,29,21,40,37
1.0-2.0,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,126,183,57,79,0,0,0,0,3,2,62,46,120,127
1.0-2.0,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,144,208,58,86,0,0,0,0,24,34,61,45,143,165
1.0-2.0,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,142,214,17,24,0,0,0,0,9,14,49,38,74,76
1.0-2.0,INSTITUTIONAL,PRAKASAM,549,ANDHRA PRADESH,36,15,22,0,0,0,0,0,0,0,0,1,1,1,1
1.0-2.0,INSTITUTIONAL,NELLORE,550,ANDHRA PRADESH,36,152,214,32,36,0,0,0,0,8,8,88,75,125,119
1.0-2.0,INSTITUTIONAL,KADAPA,551,ANDHRA PRADESH,36,5,6,0,0,0,0,0,0,0,0,2,2,2,2
1.0-2.0,INSTITUTIONAL,KURNOOL,552,ANDHRA PRADESH,36,2,3,0,0,0,0,0,0,1,2,1,1,2,3
1.0-2.0,INSTITUTIONAL,ANANTHAPUR,553,ANDHRA PRADESH,36,80,114,0,0,0,0,0,0,7,5,5,4,12,9
1.0-2.0,INSTITUTIONAL,CHITTOOR,554,ANDHRA PRADESH,36,5,8,0,0,0,0,0,0,0,0,0,0,0,0
1.0-2.0,SCHEDULED CASTE,ADILABAD,532,TELANGANA,37,18917,26616,618,630,904,793,905,1024,556,583,36,21,2787,3050
