size_class,social_group,district_name,district_code,state_name,state_code,total_holdings_no,total_holdings_area,gross_cropped_area_irrigated,gross_cropped_area_unirrigated,gross_cropped_area_total
ALL CLASSES,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,591563,393393,446976,148387,595362
ALL CLASSES,OTHERS,WEST GODAVARI,546,ANDHRA PRADESH,36,496068,416957,629038,23088,652126
ALL CLASSES,OTHERS,KRISHNA,547,ANDHRA PRADESH,36,488069,471806,408702,276043,684745
ALL CLASSES,OTHERS,GUNTUR,548,ANDHRA PRADESH,36,685605,643418,512752,283751,796503
ALL CLASSES,OTHERS,PRAKASAM,549,ANDHRA PRADESH,36,583508,770930,209698,465486,675184
ALL CLASSES,OTHERS,NELLORE,550,ANDHRA PRADESH,36,342982,404532,330598,95529,426127
ALL CLASSES,OTHERS,KADAPA,551,ANDHRA PRADESH,36,393236,502650,172101,294390,466491
ALL CLASSES,OTHERS,KURNOOL,552,ANDHRA PRADESH,36,544022,945171,228503,674297,902800
ALL CLASSES,OTHERS,ANANTHAPUR,553,ANDHRA PRADESH,36,626250,1141597,172204,869651,1041854
ALL CLASSES,OTHERS,CHITTOOR,554,ANDHRA PRADESH,36,561836,555463,181972,211140,393112
ALL CLASSES,SCHEDULED TRIBES,ADILABAD,532,TELANGANA,37,111340,187245,6967,149137,156105
ALL CLASSES,SCHEDULED TRIBES,NIZAMABAD,533,TELANGANA,37,38982,33612,30077,15273,45350
ALL CLASSES,SCHEDULED TRIBES,KARIMNAGAR,534,TELANGANA,37,19332,16651,10022,5192,15214
ALL CLASSES,SCHEDULED TRIBES,MEDAK,535,TELANGANA,37,35100,36362,9778,22102,31880
ALL CLASSES,SCHEDULED TRIBES,RANGAREDDY,537,ANDHRA PRADESH,36,29498,32328,8142,13847,21989
ALL CLASSES,SCHEDULED TRIBES,MAHABUBNAGAR,538,TELANGANA,37,90948,97770,18977,61042,80019
ALL CLASSES,SCHEDULED TRIBES,NALGONDA,539,TELANGANA,37,84584,84019,35936,32576,68512
ALL CLASSES,SCHEDULED TRIBES,WARANGAL,540,TELANGANA,37,106316,102576,67363,35058,102422
ALL CLASSES,SCHEDULED TRIBES,KHAMMAM,541,TELANGANA,37,156327,180118,56179,114726,170905
ALL CLASSES,SCHEDULED TRIBES,SRIKAKULAM,542,ANDHRA PRADESH,36,36050,26845,8146,14769,22915
ALL CLASSES,SCHEDULED TRIBES,VIZIANAGARAM,543,ANDHRA PRADESH,36,39185,36850,7693,27879,35571
ALL CLASSES,SCHEDULED TRIBES,VISAKHAPATNAM,544,ANDHRA PRADESH,36,108507,174416,45057,103917,148974
ALL CLASSES,SCHEDULED TRIBES,EAST GODAVARI,545,ANDHRA PRADESH,36,43952,81435,22233,22023,44256
ALL CLASSES,SCHEDULED TRIBES,WEST GODAVARI,546,ANDHRA PRADESH,36,20810,24157,17928,6695,24622
ALL CLASSES,SCHEDULED TRIBES,KRISHNA,547,ANDHRA PRADESH,36,12631,9287,4138,4646,8784
ALL CLASSES,SCHEDULED TRIBES,GUNTUR,548,ANDHRA PRADESH,36,21028,18891,12069,6791,18861
ALL CLASSES,SCHEDULED TRIBES,PRAKASAM,549,ANDHRA PRADESH,36,13818,12384,4424,5569,9993
ALL CLASSES,SCHEDULED TRIBES,NELLORE,550,ANDHRA PRADESH,36,24706,14318,11587,2626,14213
ALL CLASSES,SCHEDULED TRIBES,KADAPA,551,ANDHRA PRADESH,36,8527,7573,2187,3109,5296
ALL CLASSES,SCHEDULED TRIBES,KURNOOL,552,ANDHRA PRADESH,36,12331,16423,3336,10590,13926
ALL CLASSES,SCHEDULED TRIBES,ANANTHAPUR,553,ANDHRA PRADESH,36,29469,42531,5007,33691,38698
ALL CLASSES,SCHEDULED TRIBES,CHITTOOR,554,ANDHRA PRADESH,36,16039,12322,3421,5190,8611
ALL CLASSES,ALL SOCIAL GROUPS,ADILABAD,532,TELANGANA,37,519995,728579,85925,565374,651299
ALL CLASSES,ALL SOCIAL GROUPS,NIZAMABAD,533,TELANGANA,37,473528,434476,373903,205407,579310
ALL CLASSES,ALL SOCIAL GROUPS,KARIMNAGAR,534,TELANGANA,37,662345,638690,518545,141753,660297
ALL CLASSES,ALL SOCIAL GROUPS,MEDAK,535,TELANGANA,37,684543,662932,206718,352607,559325
ALL CLASSES,ALL SOCIAL GROUPS,RANGAREDDY,537,ANDHRA PRADESH,36,342671,419634,80097,153564,233661
ALL CLASSES,ALL SOCIAL GROUPS,MAHABUBNAGAR,538,TELANGANA,37,982314,1204862,304133,712773,1016906
ALL CLASSES,ALL SOCIAL GROUPS,NALGONDA,539,TELANGANA,37,757188,904236,479426,311525,790951
ALL CLASSES,ALL SOCIAL GROUPS,WARANGAL,540,TELANGANA,37,663061,667311,427059,202812,629872
ALL CLASSES,ALL SOCIAL GROUPS,KHAMMAM,541,TELANGANA,37,468337,536105,286195,274898,561094
ALL CLASSES,ALL SOCIAL GROUPS,SRIKAKULAM,542,ANDHRA PRADESH,36,525870,349412,265126,194922,460048
ALL CLASSES,ALL SOCIAL GROUPS,VIZIANAGARAM,543,ANDHRA PRADESH,36,446841,342484,167358,198006,365364
ALL CLASSES,ALL SOCIAL GROUPS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,474738,400083,180938,204075,385013
