size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,sown_ar,current_fallows_ar,cultivated_ar,uncultivated-land_excluding_fallow,fallow_excluding_current-fallow,culturable_waste_land,uncultivated_land,land_not_for_cultivation
20.0 & ABOVE,SCHEDULED TRIBES,CHITTOOR,554,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,ADILABAD,532,TELANGANA,37,350,11906,6067,5834,11901,0,0,4,4,2
20.0 & ABOVE,ALL SOCIAL GROUPS,NIZAMABAD,533,TELANGANA,37,47,1591,716,802,1517,13,21,11,46,29
20.0 & ABOVE,ALL SOCIAL GROUPS,KARIMNAGAR,534,TELANGANA,37,146,4950,2474,2415,4890,0,32,0,32,29
20.0 & ABOVE,ALL SOCIAL GROUPS,MEDAK,535,TELANGANA,37,240,8764,5091,3311,8402,39,154,2,195,167
20.0 & ABOVE,ALL SOCIAL GROUPS,RANGAREDDY,537,ANDHRA PRADESH,36,175,5127,1904,2879,4784,6,180,4,189,154
20.0 & ABOVE,ALL SOCIAL GROUPS,MAHABUBNAGAR,538,TELANGANA,37,379,11934,5219,5944,11162,0,492,0,492,280
20.0 & ABOVE,ALL SOCIAL GROUPS,NALGONDA,539,TELANGANA,37,195,7065,3199,2889,6088,494,336,12,842,134
20.0 & ABOVE,ALL SOCIAL GROUPS,WARANGAL,540,TELANGANA,37,347,11428,7696,3214,10910,87,255,14,356,161
20.0 & ABOVE,ALL SOCIAL GROUPS,KHAMMAM,541,TELANGANA,37,212,9260,6065,2501,8566,0,27,0,27,666
20.0 & ABOVE,ALL SOCIAL GROUPS,SRIKAKULAM,542,ANDHRA PRADESH,36,100,4395,2474,1921,4395,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,VIZIANAGARAM,543,ANDHRA PRADESH,36,99,3363,1789,1574,3363,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,83,2857,1748,1109,2857,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,EAST GODAVARI,545,ANDHRA PRADESH,36,134,4565,2659,1453,4112,0,314,2,316,138
20.0 & ABOVE,ALL SOCIAL GROUPS,WEST GODAVARI,546,ANDHRA PRADESH,36,80,3038,2077,961,3038,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,KRISHNA,547,ANDHRA PRADESH,36,72,2274,1318,956,2274,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,GUNTUR,548,ANDHRA PRADESH,36,117,5694,3770,1924,5694,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,PRAKASAM,549,ANDHRA PRADESH,36,188,5877,2868,1566,4434,0,953,78,1031,413
20.0 & ABOVE,ALL SOCIAL GROUPS,NELLORE,550,ANDHRA PRADESH,36,238,9420,4943,3564,8508,248,46,106,399,513
20.0 & ABOVE,ALL SOCIAL GROUPS,KADAPA,551,ANDHRA PRADESH,36,50,2355,1094,959,2053,0,192,0,192,110
20.0 & ABOVE,ALL SOCIAL GROUPS,KURNOOL,552,ANDHRA PRADESH,36,261,10470,7136,3227,10363,20,47,12,79,28
20.0 & ABOVE,ALL SOCIAL GROUPS,ANANTHAPUR,553,ANDHRA PRADESH,36,424,14504,10308,3782,14090,0,202,2,205,209
20.0 & ABOVE,ALL SOCIAL GROUPS,CHITTOOR,554,ANDHRA PRADESH,36,148,5839,2791,2738,5530,78,75,49,202,108
Below 0.5,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,14,4,2,2,4,0,0,0,0,0
Below 0.5,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,15,4,1,3,4,0,0,0,0,0
Below 0.5,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,1,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,MEDAK,535,TELANGANA,37,23,9,4,4,9,0,0,0,0,0
Below 0.5,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,3,1,0,1,1,0,0,0,0,0
Below 0.5,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,1,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,25,6,4,2,6,0,0,0,0,0
Below 0.5,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,2,1,0,0,1,0,0,0,0,0
Below 0.5,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,9,3,3,0,3,0,0,0,0,0
Below 0.5,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,41,15,12,3,15,0,0,0,0,0
Below 0.5,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,4,1,1,1,1,0,0,0,0,0
Below 0.5,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,52,14,9,5,14,0,0,0,0,0
Below 0.5,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,256,60,49,10,60,0,0,0,0,0
Below 0.5,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,143,41,38,3,41,0,0,0,0,0
Below 0.5,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,7,2,1,1,2,0,0,0,0,0
Below 0.5,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,16,4,4,0,4,0,0,0,0,0
Below 0.5,INSTITUTIONAL,PRAKASAM,549,ANDHRA PRADESH,36,8,3,1,1,3,0,0,0,0,0
Below 0.5,INSTITUTIONAL,NELLORE,550,ANDHRA PRADESH,36,37,9,8,1,9,0,0,0,0,0
Below 0.5,INSTITUTIONAL,KADAPA,551,ANDHRA PRADESH,36,2,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,KURNOOL,552,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,ANANTHAPUR,553,ANDHRA PRADESH,36,74,23,15,8,23,0,0,0,0,0
Below 0.5,INSTITUTIONAL,CHITTOOR,554,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,ADILABAD,532,TELANGANA,37,27860,7194,6244,948,7191,0,0,1,1,2
Below 0.5,SCHEDULED CASTE,NIZAMABAD,533,TELANGANA,37,32389,9171,7428,1665,9094,0,1,0,1,77
Below 0.5,SCHEDULED CASTE,KARIMNAGAR,534,TELANGANA,37,53893,13581,11549,2030,13580,0,0,0,0,1
Below 0.5,SCHEDULED CASTE,MEDAK,535,TELANGANA,37,54402,13355,9748,3307,13055,12,245,2,260,40
Below 0.5,SCHEDULED CASTE,RANGAREDDY,537,ANDHRA PRADESH,36,20453,5653,2597,2722,5319,16,130,9,155,180
Below 0.5,SCHEDULED CASTE,MAHABUBNAGAR,538,TELANGANA,37,52850,13806,10105,3700,13805,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,NALGONDA,539,TELANGANA,37,44621,11269,6925,4227,11152,10,74,5,89,27
Below 0.5,SCHEDULED CASTE,WARANGAL,540,TELANGANA,37,46586,11541,9620,1870,11490,1,42,2,44,6
Below 0.5,SCHEDULED CASTE,KHAMMAM,541,TELANGANA,37,25926,6764,6002,723,6725,0,39,0,39,0
Below 0.5,SCHEDULED CASTE,SRIKAKULAM,542,ANDHRA PRADESH,36,20820,4478,4319,159,4478,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,VIZIANAGARAM,543,ANDHRA PRADESH,36,14612,3369,3246,123,3369,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,VISAKHAPATNAM,544,ANDHRA PRADESH,36,6496,1686,1656,19,1675,2,3,0,5,6
Below 0.5,SCHEDULED CASTE,EAST GODAVARI,545,ANDHRA PRADESH,36,50970,10531,10320,77,10396,55,2,0,57,78
Below 0.5,SCHEDULED CASTE,WEST GODAVARI,546,ANDHRA PRADESH,36,32978,8154,8055,86,8140,1,0,0,1,13
Below 0.5,SCHEDULED CASTE,KRISHNA,547,ANDHRA PRADESH,36,34744,8463,8348,113,8461,0,0,0,0,2
Below 0.5,SCHEDULED CASTE,GUNTUR,548,ANDHRA PRADESH,36,34152,9038,8581,457,9038,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,PRAKASAM,549,ANDHRA PRADESH,36,33565,9327,7716,1370,9085,0,12,85,97,145
Below 0.5,SCHEDULED CASTE,NELLORE,550,ANDHRA PRADESH,36,52898,13439,11742,1261,13003,6,127,108,241,195
Below 0.5,SCHEDULED CASTE,KADAPA,551,ANDHRA PRADESH,36,15238,4442,2743,1630,4373,11,23,4,38,31
Below 0.5,SCHEDULED CASTE,KURNOOL,552,ANDHRA PRADESH,36,21154,6841,6432,403,6835,0,6,0,6,0
Below 0.5,SCHEDULED CASTE,ANANTHAPUR,553,ANDHRA PRADESH,36,15192,4823,4174,640,4814,0,8,0,8,0
Below 0.5,SCHEDULED CASTE,CHITTOOR,554,ANDHRA PRADESH,36,48943,12497,7999,4304,12303,5,149,3,157,38
Below 0.5,OTHERS,ADILABAD,532,TELANGANA,37,97929,25117,22444,2654,25097,1,0,10,11,9
Below 0.5,OTHERS,NIZAMABAD,533,TELANGANA,37,143661,38735,29915,8412,38327,3,23,0,26,381
Below 0.5,OTHERS,KARIMNAGAR,534,TELANGANA,37,212595,55466,46905,8558,55463,0,1,0,1,2
Below 0.5,OTHERS,MEDAK,535,TELANGANA,37,224181,54025,38365,14584,52949,37,575,10,621,455
Below 0.5,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,78342,22304,9884,11503,21387,151,344,100,595,321
Below 0.5,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,242235,61655,43676,17972,61649,0,4,0,4,3
Below 0.5,OTHERS,NALGONDA,539,TELANGANA,37,182175,49350,31604,17215,48819,65,140,44,249,283
Below 0.5,OTHERS,WARANGAL,540,TELANGANA,37,192585,47874,41587,6220,47807,5,24,10,39,28
Below 0.5,OTHERS,KHAMMAM,541,TELANGANA,37,92362,26551,24121,2282,26403,0,94,0,94,54
Below 0.5,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,270668,63781,61550,2231,63781,0,0,0,0,0
Below 0.5,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,213638,48037,46062,1935,47997,4,3,1,8,32
Below 0.5,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,219266,51993,51472,304,51776,21,34,5,59,158
Below 0.5,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,360241,89144,87875,807,88682,209,0,0,209,253
Below 0.5,OTHERS,WEST GODAVARI,546,ANDHRA PRADESH,36,257762,69196,68693,328,69022,2,0,1,3,171
Below 0.5,OTHERS,KRISHNA,547,ANDHRA PRADESH,36,215688,61230,60680,535,61215,0,0,0,0,15
Below 0.5,OTHERS,GUNTUR,548,ANDHRA PRADESH,36,283640,84223,80756,3467,84223,0,0,0,0,0
Below 0.5,OTHERS,PRAKASAM,549,ANDHRA PRADESH,36,175366,50662,43992,5824,49816,5,75,422,502,344
Below 0.5,OTHERS,NELLORE,550,ANDHRA PRADESH,36,130240,34378,30933,2556,33488,17,160,376,554,336
Below 0.5,OTHERS,KADAPA,551,ANDHRA PRADESH,36,105204,29988,21383,8334,29717,42,79,13,134,137
Below 0.5,OTHERS,KURNOOL,552,ANDHRA PRADESH,36,99234,31717,29455,2200,31655,4,32,0,36,26
Below 0.5,OTHERS,ANANTHAPUR,553,ANDHRA PRADESH,36,88872,27405,23487,3882,27369,0,19,0,19,17
Below 0.5,OTHERS,CHITTOOR,554,ANDHRA PRADESH,36,222355,57027,34819,21442,56260,32,305,24,360,407
Below 0.5,SCHEDULED TRIBES,ADILABAD,532,TELANGANA,37,18221,5142,4536,605,5141,1,0,0,1,0
Below 0.5,SCHEDULED TRIBES,NIZAMABAD,533,TELANGANA,37,13086,4026,3378,620,3998,0,0,0,0,28
Below 0.5,SCHEDULED TRIBES,KARIMNAGAR,534,TELANGANA,37,7879,2178,1803,375,2178,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,MEDAK,535,TELANGANA,37,10735,3088,2311,730,3041,4,31,0,36,11
Below 0.5,SCHEDULED TRIBES,RANGAREDDY,537,ANDHRA PRADESH,36,8541,2593,1478,997,2475,13,61,6,80,38
Below 0.5,SCHEDULED TRIBES,MAHABUBNAGAR,538,TELANGANA,37,29640,8141,5619,2519,8138,0,3,0,3,1
Below 0.5,SCHEDULED TRIBES,NALGONDA,539,TELANGANA,37,29377,8601,5270,3227,8497,7,33,5,45,58
Below 0.5,SCHEDULED TRIBES,WARANGAL,540,TELANGANA,37,41606,11120,10489,612,11101,0,14,0,15,4
Below 0.5,SCHEDULED TRIBES,KHAMMAM,541,TELANGANA,37,51817,15218,13568,1597,15165,0,41,0,41,11
Below 0.5,SCHEDULED TRIBES,SRIKAKULAM,542,ANDHRA PRADESH,36,17337,4479,3561,918,4479,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,VIZIANAGARAM,543,ANDHRA PRADESH,36,16594,4372,4268,102,4370,0,1,0,2,1
Below 0.5,SCHEDULED TRIBES,VISAKHAPATNAM,544,ANDHRA PRADESH,36,29040,7853,7462,304,7766,0,69,0,69,18
Below 0.5,SCHEDULED TRIBES,EAST GODAVARI,545,ANDHRA PRADESH,36,10200,2756,2217,538,2755,0,0,0,0,2
Below 0.5,SCHEDULED TRIBES,WEST GODAVARI,546,ANDHRA PRADESH,36,8225,2367,2109,258,2367,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,KRISHNA,547,ANDHRA PRADESH,36,6829,1945,1861,84,1945,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,GUNTUR,548,ANDHRA PRADESH,36,8164,2447,2263,184,2447,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,PRAKASAM,549,ANDHRA PRADESH,36,5743,1724,1416,260,1677,1,4,17,22,26
Below 0.5,SCHEDULED TRIBES,NELLORE,550,ANDHRA PRADESH,36,15233,4040,3597,304,3901,0,41,35,76,63
Below 0.5,SCHEDULED TRIBES,KADAPA,551,ANDHRA PRADESH,36,2865,833,520,305,825,0,2,0,2,6
Below 0.5,SCHEDULED TRIBES,KURNOOL,552,ANDHRA PRADESH,36,2865,921,828,93,921,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,ANANTHAPUR,553,ANDHRA PRADESH,36,4431,1429,1213,215,1429,0,0,0,0,0
Below 0.5,SCHEDULED TRIBES,CHITTOOR,554,ANDHRA PRADESH,36,7092,2022,1219,780,1999,1,15,0,17,6
Below 0.5,ALL SOCIAL GROUPS,ADILABAD,532,TELANGANA,37,144024,37457,33224,4209,37434,2,0,11,12,11
Below 0.5,ALL SOCIAL GROUPS,NIZAMABAD,533,TELANGANA,37,189151,51936,40723,10700,51423,4,24,0,27,486
Below 0.5,ALL SOCIAL GROUPS,KARIMNAGAR,534,TELANGANA,37,274368,71226,60258,10963,71221,0,1,0,1,3
Below 0.5,ALL SOCIAL GROUPS,MEDAK,535,TELANGANA,37,289341,70477,50429,18625,69053,53,851,12,916,507
Below 0.5,ALL SOCIAL GROUPS,RANGAREDDY,537,ANDHRA PRADESH,36,107339,30551,13960,15223,29183,181,535,115,830,538
Below 0.5,ALL SOCIAL GROUPS,MAHABUBNAGAR,538,TELANGANA,37,324726,83602,59401,24191,83592,0,7,0,7,3
Below 0.5,ALL SOCIAL GROUPS,NALGONDA,539,TELANGANA,37,256198,69226,43802,24672,68474,82,247,54,384,368
Below 0.5,ALL SOCIAL GROUPS,WARANGAL,540,TELANGANA,37,280779,70536,61696,8702,70399,6,80,12,99,39
Below 0.5,ALL SOCIAL GROUPS,KHAMMAM,541,TELANGANA,37,170114,48535,43694,4602,48296,0,174,0,174,66
Below 0.5,ALL SOCIAL GROUPS,SRIKAKULAM,542,ANDHRA PRADESH,36,308866,72753,69442,3312,72753,0,0,0,0,0
Below 0.5,ALL SOCIAL GROUPS,VIZIANAGARAM,543,ANDHRA PRADESH,36,244848,55780,53576,2161,55737,4,4,1,10,33
Below 0.5,ALL SOCIAL GROUPS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,254854,61546,60599,632,61230,22,106,5,133,182
Below 0.5,ALL SOCIAL GROUPS,EAST GODAVARI,545,ANDHRA PRADESH,36,421667,102491,100461,1431,101892,264,2,0,266,333
Below 0.5,ALL SOCIAL GROUPS,WEST GODAVARI,546,ANDHRA PRADESH,36,299108,79758,78895,675,79570,3,0,1,4,184
Below 0.5,ALL SOCIAL GROUPS,KRISHNA,547,ANDHRA PRADESH,36,257268,71639,70889,733,71622,0,0,0,0,17
Below 0.5,ALL SOCIAL GROUPS,GUNTUR,548,ANDHRA PRADESH,36,325972,95713,91605,4108,95713,0,0,0,0,0
Below 0.5,ALL SOCIAL GROUPS,PRAKASAM,549,ANDHRA PRADESH,36,214682,61716,53125,7456,60581,5,91,524,621,514
Below 0.5,ALL SOCIAL GROUPS,NELLORE,550,ANDHRA PRADESH,36,198408,51866,46280,4122,50401,23,329,519,871,594
Below 0.5,ALL SOCIAL GROUPS,KADAPA,551,ANDHRA PRADESH,36,123309,35264,24646,10270,34916,53,103,17,174,174
Below 0.5,ALL SOCIAL GROUPS,KURNOOL,552,ANDHRA PRADESH,36,123253,39479,36715,2696,39411,4,38,0,43,26
Below 0.5,ALL SOCIAL GROUPS,ANANTHAPUR,553,ANDHRA PRADESH,36,108569,33680,28888,4746,33634,0,27,0,27,18
Below 0.5,ALL SOCIAL GROUPS,CHITTOOR,554,ANDHRA PRADESH,36,278390,71547,44037,26525,70562,38,468,27,533,452
1.0-2.0,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,6,8,5,3,8,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,8,11,4,7,11,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,5,9,5,4,9,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,MEDAK,535,TELANGANA,37,32,46,18,27,45,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,10,16,3,11,13,1,1,0,2,0
1.0-2.0,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,0,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,16,22,12,10,22,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,1,1,1,1,1,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,24,38,21,12,33,0,5,0,5,0
1.0-2.0,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,106,162,138,24,162,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,6,10,7,4,10,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,43,62,40,22,62,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,126,183,137,46,183,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,144,208,165,43,208,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,1,2,1,1,2,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,142,214,161,53,214,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,PRAKASAM,549,ANDHRA PRADESH,36,15,22,12,10,22,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,NELLORE,550,ANDHRA PRADESH,36,152,214,145,69,214,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,KADAPA,551,ANDHRA PRADESH,36,5,6,5,2,6,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,KURNOOL,552,ANDHRA PRADESH,36,2,3,3,1,3,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,ANANTHAPUR,553,ANDHRA PRADESH,36,80,114,72,42,114,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,CHITTOOR,554,ANDHRA PRADESH,36,5,8,3,3,6,0,1,0,1,0
1.0-2.0,SCHEDULED CASTE,ADILABAD,532,TELANGANA,37,18917,26616,23626,2967,26593,1,2,6,10,13
1.0-2.0,SCHEDULED CASTE,NIZAMABAD,533,TELANGANA,37,10813,14520,12880,1426,14306,0,83,1,84,130
1.0-2.0,SCHEDULED CASTE,KARIMNAGAR,534,TELANGANA,37,13973,18940,17230,1622,18852,7,51,0,58,30
1.0-2.0,SCHEDULED CASTE,MEDAK,535,TELANGANA,37,18593,25236,20089,3773,23862,26,1150,3,1179,195
1.0-2.0,SCHEDULED CASTE,RANGAREDDY,537,ANDHRA PRADESH,36,12105,16722,9977,5708,15685,70,503,40,613,424
1.0-2.0,SCHEDULED CASTE,MAHABUBNAGAR,538,TELANGANA,37,27944,39005,33805,5153,38958,0,46,0,46,1
1.0-2.0,SCHEDULED CASTE,NALGONDA,539,TELANGANA,37,14990,20554,14226,5775,20000,79,246,32,357,196
1.0-2.0,SCHEDULED CASTE,WARANGAL,540,TELANGANA,37,11507,15694,13190,2339,15529,8,129,6,143,22
1.0-2.0,SCHEDULED CASTE,KHAMMAM,541,TELANGANA,37,5748,7799,7256,444,7700,0,100,0,100,0
1.0-2.0,SCHEDULED CASTE,SRIKAKULAM,542,ANDHRA PRADESH,36,1542,2017,1602,415,2017,0,0,0,0,0
1.0-2.0,SCHEDULED CASTE,VIZIANAGARAM,543,ANDHRA PRADESH,36,2076,2796,2528,254,2782,2,0,4,5,9
1.0-2.0,SCHEDULED CASTE,VISAKHAPATNAM,544,ANDHRA PRADESH,36,1129,1543,1462,55,1516,1,16,0,18,9
1.0-2.0,SCHEDULED CASTE,EAST GODAVARI,545,ANDHRA PRADESH,36,2743,3682,3357,233,3590,28,11,0,39,53
1.0-2.0,SCHEDULED CASTE,WEST GODAVARI,546,ANDHRA PRADESH,36,4469,6090,5986,87,6074,5,0,0,5,12
1.0-2.0,SCHEDULED CASTE,KRISHNA,547,ANDHRA PRADESH,36,4422,5951,5825,120,5945,0,4,0,4,2
1.0-2.0,SCHEDULED CASTE,GUNTUR,548,ANDHRA PRADESH,36,5376,7211,6660,552,7211,0,0,0,0,0
1.0-2.0,SCHEDULED CASTE,PRAKASAM,549,ANDHRA PRADESH,36,15758,22123,17637,2252,19889,8,1804,151,1963,272
1.0-2.0,SCHEDULED CASTE,NELLORE,550,ANDHRA PRADESH,36,11591,15537,12242,2435,14677,89,300,136,525,335
1.0-2.0,SCHEDULED CASTE,KADAPA,551,ANDHRA PRADESH,36,7920,11068,7504,2926,10430,26,369,21,416,222
1.0-2.0,SCHEDULED CASTE,KURNOOL,552,ANDHRA PRADESH,36,20608,28737,26865,1840,28705,2,27,0,29,3
1.0-2.0,SCHEDULED CASTE,ANANTHAPUR,553,ANDHRA PRADESH,36,22432,32555,29563,2860,32422,1,55,4,60,73
1.0-2.0,SCHEDULED CASTE,CHITTOOR,554,ANDHRA PRADESH,36,13019,17902,12288,4489,16777,34,871,21,926,199
1.0-2.0,OTHERS,ADILABAD,532,TELANGANA,37,90217,129447,119828,9505,129333,2,6,61,69,45
1.0-2.0,OTHERS,NIZAMABAD,533,TELANGANA,37,91437,128017,112740,13077,125817,8,530,14,552,1649
1.0-2.0,OTHERS,KARIMNAGAR,534,TELANGANA,37,126752,178297,161088,16749,177837,33,197,7,237,223
1.0-2.0,OTHERS,MEDAK,535,TELANGANA,37,120377,168747,131580,26833,158413,326,5352,105,5783,4551
1.0-2.0,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,67816,95571,51933,38516,90449,787,2127,469,3383,1739
1.0-2.0,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,197502,282862,238781,43716,282497,1,229,1,232,134
1.0-2.0,OTHERS,NALGONDA,539,TELANGANA,37,155305,220963,155852,56218,212070,1441,2693,663,4797,4096
1.0-2.0,OTHERS,WARANGAL,540,TELANGANA,37,105740,148796,128407,18964,147371,105,709,83,898,527
1.0-2.0,OTHERS,KHAMMAM,541,TELANGANA,37,62730,87930,83115,3596,86711,0,776,0,776,444
1.0-2.0,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,62857,86492,83009,3482,86492,0,0,0,0,0
1.0-2.0,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,57096,79057,72619,5983,78602,157,17,82,256,198
1.0-2.0,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,41078,55861,54621,750,55371,74,123,42,239,251
1.0-2.0,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,72592,99582,97319,1298,98617,254,98,0,353,612
1.0-2.0,OTHERS,WEST GODAVARI,546,ANDHRA PRADESH,36,78380,108878,107062,1217,108279,26,2,5,32,567
1.0-2.0,OTHERS,KRISHNA,547,ANDHRA PRADESH,36,91402,127884,126135,1570,127705,1,7,0,8,171
1.0-2.0,OTHERS,GUNTUR,548,ANDHRA PRADESH,36,140692,195277,184097,11116,195213,0,38,2,40,23
1.0-2.0,OTHERS,PRAKASAM,549,ANDHRA PRADESH,36,151097,215873,184513,16203,200716,90,7376,1531,8998,6159
1.0-2.0,OTHERS,NELLORE,550,ANDHRA PRADESH,36,77841,109836,92502,12574,105075,644,995,1344,2984,1777
1.0-2.0,OTHERS,KADAPA,551,ANDHRA PRADESH,36,113575,163190,120890,34830,155720,245,2981,498,3725,3745
1.0-2.0,OTHERS,KURNOOL,552,ANDHRA PRADESH,36,163417,233865,217210,16196,233406,51,224,14,289,170
1.0-2.0,OTHERS,ANANTHAPUR,553,ANDHRA PRADESH,36,209985,309988,283858,25578,309435,1,272,51,324,229
1.0-2.0,OTHERS,CHITTOOR,554,ANDHRA PRADESH,36,128363,181152,121757,48308,170065,608,5550,467,6625,4462
1.0-2.0,SCHEDULED TRIBES,ADILABAD,532,TELANGANA,37,34794,49802,43597,6195,49792,1,0,4,4,6
1.0-2.0,SCHEDULED TRIBES,NIZAMABAD,533,TELANGANA,37,10578,14239,12907,1227,14134,0,26,0,26,78
1.0-2.0,SCHEDULED TRIBES,KARIMNAGAR,534,TELANGANA,37,4278,5858,5134,724,5858,0,0,0,0,0
1.0-2.0,SCHEDULED TRIBES,MEDAK,535,TELANGANA,37,9878,13656,11369,1732,13100,22,402,0,424,132
1.0-2.0,SCHEDULED TRIBES,RANGAREDDY,537,ANDHRA PRADESH,36,8025,11053,7390,3016,10406,104,394,22,521,127
1.0-2.0,SCHEDULED TRIBES,MAHABUBNAGAR,538,TELANGANA,37,23940,33489,28179,5247,33426,0,49,0,49,13
1.0-2.0,SCHEDULED TRIBES,NALGONDA,539,TELANGANA,37,21197,29224,20193,7903,28096,111,479,63,654,474
1.0-2.0,SCHEDULED TRIBES,WARANGAL,540,TELANGANA,37,24633,33921,30510,3196,33706,8,143,12,163,52
1.0-2.0,SCHEDULED TRIBES,KHAMMAM,541,TELANGANA,37,37471,52243,46983,4591,51575,7,525,0,532,136
1.0-2.0,SCHEDULED TRIBES,SRIKAKULAM,542,ANDHRA PRADESH,36,6389,8584,6336,2248,8584,0,0,0,0,0
1.0-2.0,SCHEDULED TRIBES,VIZIANAGARAM,543,ANDHRA PRADESH,36,8020,11019,10446,567,11013,3,0,1,4,2
1.0-2.0,SCHEDULED TRIBES,VISAKHAPATNAM,544,ANDHRA PRADESH,36,26679,37972,34219,3164,37383,8,461,0,469,120
1.0-2.0,SCHEDULED TRIBES,EAST GODAVARI,545,ANDHRA PRADESH,36,11213,16283,8449,6942,15391,1,710,3,715,178
