size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,sown_ar,current_fallows_ar,cultivated_ar,uncultivated-land_excluding_fallow,fallow_excluding_current-fallow,culturable_waste_land,uncultivated_land,land_not_for_cultivation
ALL CLASSES,OTHERS,KARIMNAGAR,534,TELANGANA,37,546409,559792,477845,79892,557737,252,832,77,1160,895
ALL CLASSES,OTHERS,MEDAK,535,TELANGANA,37,541557,548966,415718,98167,513885,1020,17374,443,18837,16244
ALL CLASSES,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,259983,337733,167605,147056,314661,3335,9782,1756,14873,8200
ALL CLASSES,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,761838,988683,796347,187631,983979,15,2933,7,2955,1749
ALL CLASSES,OTHERS,NALGONDA,539,TELANGANA,37,585344,754808,513719,203097,716816,7101,12269,2766,22137,15854
ALL CLASSES,OTHERS,WARANGAL,540,TELANGANA,37,474526,506312,416449,83286,499735,649,3235,502,4386,2190
ALL CLASSES,OTHERS,KHAMMAM,541,TELANGANA,37,267298,324091,300653,19367,320020,0,2592,0,2592,1479
ALL CLASSES,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,461825,307914,295169,12744,307914,0,0,0,0,0
ALL CLASSES,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,385619,292697,262983,27308,290291,798,128,470,1396,1010
ALL CLASSES,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,355558,218042,210827,5371,216198,261,481,130,871,973
ALL CLASSES,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,591563,393393,380942,7871,388814,980,1134,2,2116,2464
ALL CLASSES,OTHERS,WEST GODAVARI,546,ANDHRA PRADESH,36,496068,416957,405626,9366,414992,51,27,10,87,1878
ALL CLASSES,OTHERS,KRISHNA,547,ANDHRA PRADESH,36,488069,471806,462605,8403,471009,1,86,0,87,711
ALL CLASSES,OTHERS,GUNTUR,548,ANDHRA PRADESH,36,685605,643418,597892,45075,642967,24,264,2,291,160
ALL CLASSES,OTHERS,PRAKASAM,549,ANDHRA PRADESH,36,583508,770930,625669,70369,696038,224,39317,5887,45428,29464
ALL CLASSES,OTHERS,NELLORE,550,ANDHRA PRADESH,36,342982,404532,326580,53285,379866,4202,5453,5906,15561,9106
ALL CLASSES,OTHERS,KADAPA,551,ANDHRA PRADESH,36,393236,502650,373503,106156,479658,694,9867,1262,11823,11170
ALL CLASSES,OTHERS,KURNOOL,552,ANDHRA PRADESH,36,544022,945171,857783,84378,942161,186,1617,126,1928,1082
ALL CLASSES,OTHERS,ANANTHAPUR,553,ANDHRA PRADESH,36,626250,1141597,1013576,109091,1122667,23,11456,265,11744,7186
ALL CLASSES,OTHERS,CHITTOOR,554,ANDHRA PRADESH,36,561836,555463,363688,154275,517962,2899,18346,2013,23259,14242
ALL CLASSES,SCHEDULED TRIBES,ADILABAD,532,TELANGANA,37,111340,187245,154500,32577,187077,5,106,12,123,45
ALL CLASSES,SCHEDULED TRIBES,NIZAMABAD,533,TELANGANA,37,38982,33612,29736,3660,33396,0,32,0,32,184
ALL CLASSES,SCHEDULED TRIBES,KARIMNAGAR,534,TELANGANA,37,19332,16651,13730,2918,16649,0,1,0,1,1
ALL CLASSES,SCHEDULED TRIBES,MEDAK,535,TELANGANA,37,35100,36362,29351,5685,35036,55,967,0,1022,304
ALL CLASSES,SCHEDULED TRIBES,RANGAREDDY,537,ANDHRA PRADESH,36,29498,32328,19932,10724,30656,384,895,65,1344,328
