size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,holding_whly_irri_no,holding_whly_irri_ar,holding_whly_rain_no,holding_whly_rain_ar,holding_prtly_irri_no,holding_prtly_irri_tot-ar,holding_prtly_irri_irri-ar,holding_recve_irri_no,holding_recve_irri_irri-ar
20.0 & ABOVE,SCHEDULED TRIBES,WEST GODAVARI,546,ANDHRA PRADESH,36,4,406,4,338,0,0,0,0,0,4,338
20.0 & ABOVE,SCHEDULED TRIBES,KRISHNA,547,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,GUNTUR,548,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,PRAKASAM,549,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,NELLORE,550,ANDHRA PRADESH,36,2,63,2,31,0,0,0,0,0,2,31
20.0 & ABOVE,SCHEDULED TRIBES,KADAPA,551,ANDHRA PRADESH,36,1,41,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,KURNOOL,552,ANDHRA PRADESH,36,2,58,0,0,2,29,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,ANANTHAPUR,553,ANDHRA PRADESH,36,4,103,0,0,3,53,1,22,10,1,10
20.0 & ABOVE,SCHEDULED TRIBES,CHITTOOR,554,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,ALL SOCIAL GROUPS,ADILABAD,532,TELANGANA,37,350,11906,12,251,214,5190,26,626,212,38,462
20.0 & ABOVE,ALL SOCIAL GROUPS,NIZAMABAD,533,TELANGANA,37,47,1591,24,483,13,155,6,77,49,30,532
20.0 & ABOVE,ALL SOCIAL GROUPS,KARIMNAGAR,534,TELANGANA,37,146,4950,102,1925,22,384,13,165,99,115,2024
20.0 & ABOVE,ALL SOCIAL GROUPS,MEDAK,535,TELANGANA,37,240,8764,52,1696,144,2861,38,534,195,90,1891
20.0 & ABOVE,ALL SOCIAL GROUPS,RANGAREDDY,537,ANDHRA PRADESH,36,175,5127,66,695,55,626,37,584,101,103,796
20.0 & ABOVE,ALL SOCIAL GROUPS,MAHABUBNAGAR,538,TELANGANA,37,379,11934,77,1150,166,2805,89,1263,366,166,1516
20.0 & ABOVE,ALL SOCIAL GROUPS,NALGONDA,539,TELANGANA,37,195,7065,61,1174,39,696,84,1328,460,145,1634
20.0 & ABOVE,ALL SOCIAL GROUPS,WARANGAL,540,TELANGANA,37,347,11428,78,1494,179,5542,55,661,403,133,1897
20.0 & ABOVE,ALL SOCIAL GROUPS,KHAMMAM,541,TELANGANA,37,212,9260,83,1935,47,1031,73,3099,420,156,2355
20.0 & ABOVE,ALL SOCIAL GROUPS,SRIKAKULAM,542,ANDHRA PRADESH,36,100,4395,63,1421,18,459,15,594,272,78,1692
20.0 & ABOVE,ALL SOCIAL GROUPS,VIZIANAGARAM,543,ANDHRA PRADESH,36,99,3363,51,793,22,449,23,547,138,74,930
20.0 & ABOVE,ALL SOCIAL GROUPS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,83,2857,30,843,41,782,12,123,34,42,877
20.0 & ABOVE,ALL SOCIAL GROUPS,EAST GODAVARI,545,ANDHRA PRADESH,36,134,4565,78,1569,36,837,20,253,59,98,1628
20.0 & ABOVE,ALL SOCIAL GROUPS,WEST GODAVARI,546,ANDHRA PRADESH,36,80,3038,65,1595,7,135,6,346,192,71,1787
20.0 & ABOVE,ALL SOCIAL GROUPS,KRISHNA,547,ANDHRA PRADESH,36,72,2274,33,495,19,318,15,505,278,48,773
20.0 & ABOVE,ALL SOCIAL GROUPS,GUNTUR,548,ANDHRA PRADESH,36,117,5694,82,2714,31,816,4,240,222,86,2937
20.0 & ABOVE,ALL SOCIAL GROUPS,PRAKASAM,549,ANDHRA PRADESH,36,188,5877,25,360,120,1711,39,797,218,64,578
20.0 & ABOVE,ALL SOCIAL GROUPS,NELLORE,550,ANDHRA PRADESH,36,238,9420,104,2288,67,2086,30,570,344,134,2632
20.0 & ABOVE,ALL SOCIAL GROUPS,KADAPA,551,ANDHRA PRADESH,36,50,2355,16,562,31,494,2,39,32,18,593
20.0 & ABOVE,ALL SOCIAL GROUPS,KURNOOL,552,ANDHRA PRADESH,36,261,10470,44,633,173,5476,44,1027,311,88,944
20.0 & ABOVE,ALL SOCIAL GROUPS,ANANTHAPUR,553,ANDHRA PRADESH,36,424,14504,11,160,269,7055,139,3093,1058,150,1217
20.0 & ABOVE,ALL SOCIAL GROUPS,CHITTOOR,554,ANDHRA PRADESH,36,148,5839,24,986,92,1486,28,319,91,52,1078
Below 0.5,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,14,4,4,0,8,1,0,0,0,4,0
Below 0.5,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,15,4,7,1,2,0,0,0,0,7,1
Below 0.5,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,1,0,0,0,1,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,MEDAK,535,TELANGANA,37,23,9,7,2,8,2,4,1,0,11,2
Below 0.5,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,3,1,0,0,1,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,1,0,0,0,1,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,25,6,16,3,6,1,0,0,0,16,3
Below 0.5,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,2,1,2,0,0,0,0,0,0,2,0
Below 0.5,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,9,3,6,2,2,1,0,0,0,6,2
Below 0.5,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,41,15,33,10,6,2,0,0,0,33,10
Below 0.5,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,4,1,1,0,1,0,0,0,0,1,0
Below 0.5,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,52,14,47,7,3,1,2,1,0,49,8
Below 0.5,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,256,60,224,44,8,1,24,5,3,248,47
Below 0.5,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,143,41,138,37,5,1,0,0,0,138,37
Below 0.5,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,7,2,1,0,6,1,0,0,0,1,0
Below 0.5,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,16,4,9,2,7,2,0,0,0,9,2
Below 0.5,INSTITUTIONAL,PRAKASAM,549,ANDHRA PRADESH,36,8,3,0,0,8,1,0,0,0,0,0
Below 0.5,INSTITUTIONAL,NELLORE,550,ANDHRA PRADESH,36,37,9,33,8,0,0,0,0,0,33,8
Below 0.5,INSTITUTIONAL,KADAPA,551,ANDHRA PRADESH,36,2,0,1,0,1,0,0,0,0,1,0
Below 0.5,INSTITUTIONAL,KURNOOL,552,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0
Below 0.5,INSTITUTIONAL,ANANTHAPUR,553,ANDHRA PRADESH,36,74,23,4,1,58,14,0,0,0,4,1
Below 0.5,INSTITUTIONAL,CHITTOOR,554,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0
Below 0.5,SCHEDULED CASTE,ADILABAD,532,TELANGANA,37,27860,7194,5662,1488,18427,4737,46,18,12,5708,1500
Below 0.5,SCHEDULED CASTE,NIZAMABAD,533,TELANGANA,37,32389,9171,18078,5105,7067,2200,316,124,81,18394,5186
Below 0.5,SCHEDULED CASTE,KARIMNAGAR,534,TELANGANA,37,53893,13581,28148,7631,14200,3651,850,268,203,28998,7834
Below 0.5,SCHEDULED CASTE,MEDAK,535,TELANGANA,37,54402,13355,9807,2306,28283,6999,1993,444,272,11800,2578
Below 0.5,SCHEDULED CASTE,RANGAREDDY,537,ANDHRA PRADESH,36,20453,5653,2623,638,7089,1820,630,139,80,3253,719
Below 0.5,SCHEDULED CASTE,MAHABUBNAGAR,538,TELANGANA,37,52850,13806,7895,2207,27061,7740,469,158,80,8364,2288
Below 0.5,SCHEDULED CASTE,NALGONDA,539,TELANGANA,37,44621,11269,16202,4167,8991,2560,626,199,112,16828,4279
Below 0.5,SCHEDULED CASTE,WARANGAL,540,TELANGANA,37,46586,11541,20638,5347,16781,4122,439,151,80,21077,5427
Below 0.5,SCHEDULED CASTE,KHAMMAM,541,TELANGANA,37,25926,6764,13416,3354,9058,2491,523,158,75,13939,3429
Below 0.5,SCHEDULED CASTE,SRIKAKULAM,542,ANDHRA PRADESH,36,20820,4478,14233,2928,5479,1246,431,145,92,14664,3020
Below 0.5,SCHEDULED CASTE,VIZIANAGARAM,543,ANDHRA PRADESH,36,14612,3369,5706,1283,6958,1566,1597,397,207,7303,1490
Below 0.5,SCHEDULED CASTE,VISAKHAPATNAM,544,ANDHRA PRADESH,36,6496,1686,3839,929,1723,465,934,262,130,4773,1059
Below 0.5,SCHEDULED CASTE,EAST GODAVARI,545,ANDHRA PRADESH,36,50970,10531,29087,6262,18612,3120,3045,937,583,32132,6846
Below 0.5,SCHEDULED CASTE,WEST GODAVARI,546,ANDHRA PRADESH,36,32978,8154,30493,7509,2151,531,48,15,9,30541,7518
Below 0.5,SCHEDULED CASTE,KRISHNA,547,ANDHRA PRADESH,36,34744,8463,26490,6223,7507,2026,266,99,49,26756,6272
Below 0.5,SCHEDULED CASTE,GUNTUR,548,ANDHRA PRADESH,36,34152,9038,22776,5794,9743,2783,9,4,2,22785,5796
Below 0.5,SCHEDULED CASTE,PRAKASAM,549,ANDHRA PRADESH,36,33565,9327,9831,2414,18554,5230,204,73,28,10035,2442
Below 0.5,SCHEDULED CASTE,NELLORE,550,ANDHRA PRADESH,36,52898,13439,42777,10265,4526,1277,1439,200,105,44216,10370
Below 0.5,SCHEDULED CASTE,KADAPA,551,ANDHRA PRADESH,36,15238,4442,6574,1781,3142,924,88,38,21,6662,1801
Below 0.5,SCHEDULED CASTE,KURNOOL,552,ANDHRA PRADESH,36,21154,6841,9572,2898,10330,3506,73,29,14,9645,2912
Below 0.5,SCHEDULED CASTE,ANANTHAPUR,553,ANDHRA PRADESH,36,15192,4823,1906,579,11241,3564,95,31,13,2001,592
Below 0.5,SCHEDULED CASTE,CHITTOOR,554,ANDHRA PRADESH,36,48943,12497,16285,3729,16081,4067,577,204,106,16862,3835
Below 0.5,OTHERS,ADILABAD,532,TELANGANA,37,97929,25117,24086,6414,62688,15962,189,67,44,24275,6458
Below 0.5,OTHERS,NIZAMABAD,533,TELANGANA,37,143661,38735,73646,19834,32367,9615,1330,466,300,74976,20135
Below 0.5,OTHERS,KARIMNAGAR,534,TELANGANA,37,212595,55466,113555,32070,51496,13603,4319,1231,959,117874,33029
Below 0.5,OTHERS,MEDAK,535,TELANGANA,37,224181,54025,48156,11448,103194,25275,8379,1642,1034,56535,12482
Below 0.5,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,78342,22304,13361,3582,21610,5663,2594,639,308,15955,3890
Below 0.5,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,242235,61655,42044,11506,113500,31437,2039,733,391,44083,11897
Below 0.5,OTHERS,NALGONDA,539,TELANGANA,37,182175,49350,72369,20424,35661,10499,1990,681,407,74359,20831
Below 0.5,OTHERS,WARANGAL,540,TELANGANA,37,192585,47874,99476,26304,60076,14442,2380,842,479,101856,26783
Below 0.5,OTHERS,KHAMMAM,541,TELANGANA,37,92362,26551,51408,14885,30661,8774,1230,462,226,52638,15111
Below 0.5,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,270668,63781,190806,44920,59991,13443,9649,3187,1925,200455,46845
Below 0.5,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,213638,48037,105271,22782,67360,14183,35977,9097,4980,141248,27762
Below 0.5,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,219266,51993,138161,31099,58239,13824,22866,6549,3658,161027,34757
Below 0.5,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,360241,89144,262639,65867,84452,18674,10215,3334,2035,272854,67903
Below 0.5,OTHERS,WEST GODAVARI,546,ANDHRA PRADESH,36,257762,69196,245530,65804,10816,2777,348,112,54,245878,65859
Below 0.5,OTHERS,KRISHNA,547,ANDHRA PRADESH,36,215688,61230,175197,49465,37566,11005,589,210,107,175786,49573
Below 0.5,OTHERS,GUNTUR,548,ANDHRA PRADESH,36,283640,84223,193983,55794,77903,24821,347,141,88,194330,55882
Below 0.5,OTHERS,PRAKASAM,549,ANDHRA PRADESH,36,175366,50662,52242,14037,99459,29281,2022,674,292,54264,14328
Below 0.5,OTHERS,NELLORE,550,ANDHRA PRADESH,36,130240,34378,107262,27462,12526,3340,631,130,71,107893,27534
Below 0.5,OTHERS,KADAPA,551,ANDHRA PRADESH,36,105204,29988,49431,13709,23880,7338,984,336,174,50415,13883
Below 0.5,OTHERS,KURNOOL,552,ANDHRA PRADESH,36,99234,31717,42149,12735,49916,16585,349,135,67,42498,12801
Below 0.5,OTHERS,ANANTHAPUR,553,ANDHRA PRADESH,36,88872,27405,12215,3830,62048,18869,2324,788,440,14539,4270
Below 0.5,OTHERS,CHITTOOR,554,ANDHRA PRADESH,36,222355,57027,58021,13426,79563,19940,4276,1453,800,62297,14226
Below 0.5,SCHEDULED TRIBES,ADILABAD,532,TELANGANA,37,18221,5142,2603,792,13344,3738,14,5,5,2617,797
Below 0.5,SCHEDULED TRIBES,NIZAMABAD,533,TELANGANA,37,13086,4026,8055,2369,2957,979,117,30,16,8172,2386
Below 0.5,SCHEDULED TRIBES,KARIMNAGAR,534,TELANGANA,37,7879,2178,3689,1006,2722,764,108,33,32,3797,1038
Below 0.5,SCHEDULED TRIBES,MEDAK,535,TELANGANA,37,10735,3088,2405,679,5207,1498,558,134,77,2963,756
Below 0.5,SCHEDULED TRIBES,RANGAREDDY,537,ANDHRA PRADESH,36,8541,2593,1655,480,3315,936,214,63,33,1869,513
Below 0.5,SCHEDULED TRIBES,MAHABUBNAGAR,538,TELANGANA,37,29640,8141,4373,1273,14630,4259,273,87,60,4646,1333
Below 0.5,SCHEDULED TRIBES,NALGONDA,539,TELANGANA,37,29377,8601,12062,3515,5688,1721,90,35,20,12152,3535
Below 0.5,SCHEDULED TRIBES,WARANGAL,540,TELANGANA,37,41606,11120,22795,6244,15512,4106,387,138,67,23182,6312
Below 0.5,SCHEDULED TRIBES,KHAMMAM,541,TELANGANA,37,51817,15218,18201,5158,27130,8305,264,105,34,18465,5192
Below 0.5,SCHEDULED TRIBES,SRIKAKULAM,542,ANDHRA PRADESH,36,17337,4479,6196,1467,6876,1808,813,286,164,7009,1631
Below 0.5,SCHEDULED TRIBES,VIZIANAGARAM,543,ANDHRA PRADESH,36,16594,4372,3338,875,12500,3203,598,190,103,3936,978
Below 0.5,SCHEDULED TRIBES,VISAKHAPATNAM,544,ANDHRA PRADESH,36,29040,7853,9030,2103,15811,4081,4199,1277,773,13229,2875
Below 0.5,SCHEDULED TRIBES,EAST GODAVARI,545,ANDHRA PRADESH,36,10200,2756,4622,1129,3956,1044,133,44,27,4755,1156
Below 0.5,SCHEDULED TRIBES,WEST GODAVARI,546,ANDHRA PRADESH,36,8225,2367,5033,1417,2468,692,0,0,0,5033,1417
Below 0.5,SCHEDULED TRIBES,KRISHNA,547,ANDHRA PRADESH,36,6829,1945,4210,1184,2334,645,124,32,22,4334,1206
Below 0.5,SCHEDULED TRIBES,GUNTUR,548,ANDHRA PRADESH,36,8164,2447,5347,1515,2523,744,10,4,2,5357,1518
Below 0.5,SCHEDULED TRIBES,PRAKASAM,549,ANDHRA PRADESH,36,5743,1724,2164,536,2793,848,98,33,14,2262,550
Below 0.5,SCHEDULED TRIBES,NELLORE,550,ANDHRA PRADESH,36,15233,4040,12741,3167,1380,426,16,4,2,12757,3169
Below 0.5,SCHEDULED TRIBES,KADAPA,551,ANDHRA PRADESH,36,2865,833,1305,324,655,194,6,2,1,1311,325
Below 0.5,SCHEDULED TRIBES,KURNOOL,552,ANDHRA PRADESH,36,2865,921,1062,337,1638,484,16,7,6,1078,343
Below 0.5,SCHEDULED TRIBES,ANANTHAPUR,553,ANDHRA PRADESH,36,4431,1429,351,114,3722,1090,36,9,4,387,118
Below 0.5,SCHEDULED TRIBES,CHITTOOR,554,ANDHRA PRADESH,36,7092,2022,2350,587,2604,598,108,34,17,2458,604
Below 0.5,ALL SOCIAL GROUPS,ADILABAD,532,TELANGANA,37,144024,37457,32355,8695,94467,24439,249,91,60,32604,8756
Below 0.5,ALL SOCIAL GROUPS,NIZAMABAD,533,TELANGANA,37,189151,51936,99786,27310,42393,12794,1763,620,398,101549,27708
Below 0.5,ALL SOCIAL GROUPS,KARIMNAGAR,534,TELANGANA,37,274368,71226,145392,40707,68419,18018,5277,1532,1194,150669,41902
Below 0.5,ALL SOCIAL GROUPS,MEDAK,535,TELANGANA,37,289341,70477,60375,14435,136692,33773,10934,2221,1384,71309,15819
Below 0.5,ALL SOCIAL GROUPS,RANGAREDDY,537,ANDHRA PRADESH,36,107339,30551,17639,4700,32015,8419,3438,841,421,21077,5121
Below 0.5,ALL SOCIAL GROUPS,MAHABUBNAGAR,538,TELANGANA,37,324726,83602,54312,14986,155192,43437,2781,978,531,57093,15517
Below 0.5,ALL SOCIAL GROUPS,NALGONDA,539,TELANGANA,37,256198,69226,100649,28108,50346,14779,2706,915,540,103355,28648
Below 0.5,ALL SOCIAL GROUPS,WARANGAL,540,TELANGANA,37,280779,70536,142911,37895,92369,22671,3206,1131,627,146117,38522
Below 0.5,ALL SOCIAL GROUPS,KHAMMAM,541,TELANGANA,37,170114,48535,83031,23399,66851,19570,2017,725,335,85048,23734
Below 0.5,ALL SOCIAL GROUPS,SRIKAKULAM,542,ANDHRA PRADESH,36,308866,72753,211268,49325,72352,16499,10893,3617,2182,222161,51507
Below 0.5,ALL SOCIAL GROUPS,VIZIANAGARAM,543,ANDHRA PRADESH,36,244848,55780,114316,24940,86819,18952,38172,9684,5290,152488,30230
Below 0.5,ALL SOCIAL GROUPS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,254854,61546,151077,34138,75776,18371,28001,8089,4562,179078,38699
Below 0.5,ALL SOCIAL GROUPS,EAST GODAVARI,545,ANDHRA PRADESH,36,421667,102491,296572,73303,107028,22838,13417,4320,2648,309989,75951
Below 0.5,ALL SOCIAL GROUPS,WEST GODAVARI,546,ANDHRA PRADESH,36,299108,79758,281194,74767,15440,4001,396,127,63,281590,74830
Below 0.5,ALL SOCIAL GROUPS,KRISHNA,547,ANDHRA PRADESH,36,257268,71639,205898,56872,47413,13677,979,340,179,206877,57051
Below 0.5,ALL SOCIAL GROUPS,GUNTUR,548,ANDHRA PRADESH,36,325972,95713,222115,63106,90176,28350,366,148,92,222481,63198
Below 0.5,ALL SOCIAL GROUPS,PRAKASAM,549,ANDHRA PRADESH,36,214682,61716,64237,16987,120814,35360,2324,779,334,66561,17321
Below 0.5,ALL SOCIAL GROUPS,NELLORE,550,ANDHRA PRADESH,36,198408,51866,162813,40902,18432,5043,2086,334,178,164899,41080
Below 0.5,ALL SOCIAL GROUPS,KADAPA,551,ANDHRA PRADESH,36,123309,35264,57311,15813,27678,8456,1078,376,196,58389,16009
Below 0.5,ALL SOCIAL GROUPS,KURNOOL,552,ANDHRA PRADESH,36,123253,39479,52783,15969,61884,20575,438,171,87,53221,16056
Below 0.5,ALL SOCIAL GROUPS,ANANTHAPUR,553,ANDHRA PRADESH,36,108569,33680,14476,4524,77069,23537,2455,828,456,16931,4980
Below 0.5,ALL SOCIAL GROUPS,CHITTOOR,554,ANDHRA PRADESH,36,278390,71547,76656,17741,98248,24605,4961,1690,924,81617,18665
1.0-2.0,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,6,8,3,3,3,2,0,0,0,3,3
1.0-2.0,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,8,11,2,1,3,3,0,0,0,2,1
1.0-2.0,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,5,9,1,1,3,3,1,2,1,2,2
1.0-2.0,INSTITUTIONAL,MEDAK,535,TELANGANA,37,32,46,12,10,10,6,5,3,2,17,11
1.0-2.0,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,10,16,1,1,2,2,0,0,0,1,1
1.0-2.0,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,0,0,0,0,0,0,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,16,22,11,9,5,3,0,0,0,11,9
1.0-2.0,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,1,1,1,1,0,0,0,0,0,1,1
1.0-2.0,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,24,38,14,16,5,5,0,0,0,14,16
1.0-2.0,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,106,162,87,117,4,5,14,16,11,101,127
1.0-2.0,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,6,10,6,7,0,0,0,0,0,6,7
1.0-2.0,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,43,62,40,37,3,2,0,0,0,40,37
1.0-2.0,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,126,183,119,126,6,9,1,2,1,120,127
1.0-2.0,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,144,208,143,165,1,1,0,0,0,143,165
1.0-2.0,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,1,2,0,0,1,1,0,0,0,0,0
1.0-2.0,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,142,214,70,72,68,83,4,6,4,74,76
1.0-2.0,INSTITUTIONAL,PRAKASAM,549,ANDHRA PRADESH,36,15,22,1,1,14,11,0,0,0,1,1
1.0-2.0,INSTITUTIONAL,NELLORE,550,ANDHRA PRADESH,36,152,214,123,118,26,23,2,4,1,125,119
1.0-2.0,INSTITUTIONAL,KADAPA,551,ANDHRA PRADESH,36,5,6,2,2,3,3,0,0,0,2,2
1.0-2.0,INSTITUTIONAL,KURNOOL,552,ANDHRA PRADESH,36,2,3,2,3,0,0,0,0,0,2,3
1.0-2.0,INSTITUTIONAL,ANANTHAPUR,553,ANDHRA PRADESH,36,80,114,5,4,68,56,7,11,5,12,9
1.0-2.0,INSTITUTIONAL,CHITTOOR,554,ANDHRA PRADESH,36,5,8,0,0,4,3,0,0,0,0,0
1.0-2.0,SCHEDULED CASTE,ADILABAD,532,TELANGANA,37,18917,26616,1803,2266,14633,19936,984,1424,784,2787,3050
1.0-2.0,SCHEDULED CASTE,NIZAMABAD,533,TELANGANA,37,10813,14520,5378,6492,3610,4559,1384,1829,1058,6762,7550
1.0-2.0,SCHEDULED CASTE,KARIMNAGAR,534,TELANGANA,37,13973,18940,7222,9208,2956,3744,3422,4278,2913,10644,12122
1.0-2.0,SCHEDULED CASTE,MEDAK,535,TELANGANA,37,18593,25236,3867,4021,9732,11852,3689,4216,2024,7556,6045
1.0-2.0,SCHEDULED CASTE,RANGAREDDY,537,ANDHRA PRADESH,36,12105,16722,1489,1358,7087,7302,1207,1316,596,2696,1954
1.0-2.0,SCHEDULED CASTE,MAHABUBNAGAR,538,TELANGANA,37,27944,39005,3431,4356,19090,24129,3917,5319,2465,7348,6821
1.0-2.0,SCHEDULED CASTE,NALGONDA,539,TELANGANA,37,14990,20554,4226,4527,5463,6169,2831,3529,1622,7057,6149
1.0-2.0,SCHEDULED CASTE,WARANGAL,540,TELANGANA,37,11507,15694,5332,6553,2870,3465,2512,3173,1830,7844,8383
1.0-2.0,SCHEDULED CASTE,KHAMMAM,541,TELANGANA,37,5748,7799,2374,3018,2350,3097,845,1141,602,3219,3620
1.0-2.0,SCHEDULED CASTE,SRIKAKULAM,542,ANDHRA PRADESH,36,1542,2017,551,668,446,476,365,458,301,916,969
1.0-2.0,SCHEDULED CASTE,VIZIANAGARAM,543,ANDHRA PRADESH,36,2076,2796,357,461,920,1128,740,939,507,1097,968
1.0-2.0,SCHEDULED CASTE,VISAKHAPATNAM,544,ANDHRA PRADESH,36,1129,1543,446,559,399,534,284,368,186,730,745
1.0-2.0,SCHEDULED CASTE,EAST GODAVARI,545,ANDHRA PRADESH,36,2743,3682,1230,1432,702,841,806,1084,683,2036,2114
1.0-2.0,SCHEDULED CASTE,WEST GODAVARI,546,ANDHRA PRADESH,36,4469,6090,4236,5743,184,224,16,20,6,4252,5749
1.0-2.0,SCHEDULED CASTE,KRISHNA,547,ANDHRA PRADESH,36,4422,5951,2787,3704,1251,1677,326,444,197,3113,3901
1.0-2.0,SCHEDULED CASTE,GUNTUR,548,ANDHRA PRADESH,36,5376,7211,3472,4597,1567,1948,79,115,51,3551,4648
1.0-2.0,SCHEDULED CASTE,PRAKASAM,549,ANDHRA PRADESH,36,15758,22123,3524,4423,10195,11675,1101,1540,710,4625,5133
1.0-2.0,SCHEDULED CASTE,NELLORE,550,ANDHRA PRADESH,36,11591,15537,6927,8416,2551,3321,524,504,244,7451,8660
1.0-2.0,SCHEDULED CASTE,KADAPA,551,ANDHRA PRADESH,36,7920,11068,2901,3216,2876,3555,561,733,336,3462,3552
1.0-2.0,SCHEDULED CASTE,KURNOOL,552,ANDHRA PRADESH,36,20608,28737,4178,5502,14329,19657,1211,1707,693,5389,6195
1.0-2.0,SCHEDULED CASTE,ANANTHAPUR,553,ANDHRA PRADESH,36,22432,32555,1362,1919,18177,24928,1745,2715,1021,3107,2940
1.0-2.0,SCHEDULED CASTE,CHITTOOR,554,ANDHRA PRADESH,36,13019,17902,3592,4025,5319,5427,2520,2836,1471,6112,5496
1.0-2.0,OTHERS,ADILABAD,532,TELANGANA,37,90217,129447,10441,13822,69271,97659,5545,8348,4563,15986,18384
1.0-2.0,OTHERS,NIZAMABAD,533,TELANGANA,37,91437,128017,47395,60777,27460,35873,11500,16089,9442,58895,70219
1.0-2.0,OTHERS,KARIMNAGAR,534,TELANGANA,37,126752,178297,75753,101835,17773,22677,29101,36576,27371,104854,129206
1.0-2.0,OTHERS,MEDAK,535,TELANGANA,37,120377,168747,32412,34945,53305,66156,25676,30480,15238,58088,50183
1.0-2.0,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,67816,95571,13580,12611,31034,32051,6903,7270,3378,20483,15989
1.0-2.0,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,197502,282862,32517,41355,119006,150880,33524,46546,21461,66041,62816
1.0-2.0,OTHERS,NALGONDA,539,TELANGANA,37,155305,220963,51546,57877,51730,58497,30462,39478,18916,82008,76794
1.0-2.0,OTHERS,WARANGAL,540,TELANGANA,37,105740,148796,57074,72475,20744,26350,22038,29583,16931,79112,89406
1.0-2.0,OTHERS,KHAMMAM,541,TELANGANA,37,62730,87930,28709,38908,22921,30708,9468,13498,6691,38177,45599
1.0-2.0,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,62857,86492,34751,46770,10990,14674,15810,21565,12644,50561,59413
1.0-2.0,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,57096,79057,16494,21527,13927,17742,25531,33349,18101,42025,39628
1.0-2.0,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,41078,55861,17168,22390,12361,16779,11549,15452,7667,28717,30057
1.0-2.0,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,72592,99582,46974,63261,15458,20645,9824,13413,7531,56798,70792
