size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,holding_whly_irri_no,holding_whly_irri_ar,holding_whly_rain_no,holding_whly_rain_ar,holding_prtly_irri_no,holding_prtly_irri_tot-ar,holding_prtly_irri_irri-ar,holding_recve_irri_no,holding_recve_irri_irri-ar
ALL CLASSES,SCHEDULED CASTE,CHITTOOR,554,ANDHRA PRADESH,36,89262,56346,28342,13746,32691,17221,5642,6259,3106,33984,16852
ALL CLASSES,OTHERS,ADILABAD,532,TELANGANA,37,328303,450198,53464,42647,234218,319583,15629,42973,20151,69093,62798
ALL CLASSES,OTHERS,NIZAMABAD,533,TELANGANA,37,371883,357578,193293,165738,100891,91777,27351,48947,25093,220644,190831
ALL CLASSES,OTHERS,KARIMNAGAR,534,TELANGANA,37,546409,559792,316087,294113,104760,77183,67481,106549,80082,383568,374195
ALL CLASSES,OTHERS,MEDAK,535,TELANGANA,37,541557,548966,128404,103888,255028,223952,66622,87877,43160,195026,147048
ALL CLASSES,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,259983,337733,49709,39967,99783,94511,23446,33127,14766,73155,54732
ALL CLASSES,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,761838,988683,132561,143034,410120,429007,96670,224306,99078,229231,242112
ALL CLASSES,OTHERS,NALGONDA,539,TELANGANA,37,585344,754808,213917,194513,153456,148585,84310,170622,77712,298227,272225
ALL CLASSES,OTHERS,WARANGAL,540,TELANGANA,37,474526,506312,251961,218672,118712,101792,54002,95985,53619,305963,272290
ALL CLASSES,OTHERS,KHAMMAM,541,TELANGANA,37,267298,324091,131950,133781,92785,103134,27964,63737,29699,159914,163480
ALL CLASSES,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,461825,307914,304209,177560,93430,53615,50295,63994,36914,354504,214475
ALL CLASSES,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,385619,292697,159854,84301,110813,70090,106174,108592,58062,266028,142363
ALL CLASSES,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,355558,218042,198984,98105,98718,62911,57856,49811,24586,256840,122692
ALL CLASSES,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,591563,393393,416293,253251,134011,82371,37229,45320,25138,453522,278388
ALL CLASSES,OTHERS,WEST GODAVARI,546,ANDHRA PRADESH,36,496068,416957,468177,380662,22045,19851,2338,5113,2892,470515,383554
ALL CLASSES,OTHERS,KRISHNA,547,ANDHRA PRADESH,36,488069,471806,359877,303821,109483,124253,14014,34532,15111,373891,318933
ALL CLASSES,OTHERS,GUNTUR,548,ANDHRA PRADESH,36,685605,643418,441323,385543,200012,180416,15390,31933,17642,456713,403184
ALL CLASSES,OTHERS,PRAKASAM,549,ANDHRA PRADESH,36,583508,770930,148261,138148,354990,387032,41524,100489,42736,189785,180884
ALL CLASSES,OTHERS,NELLORE,550,ANDHRA PRADESH,36,342982,404532,250779,227668,54673,81842,7529,17070,7743,258308,235411
ALL CLASSES,OTHERS,KADAPA,551,ANDHRA PRADESH,36,393236,502650,144463,120510,147503,203653,24238,49339,20637,168701,141147
ALL CLASSES,OTHERS,KURNOOL,552,ANDHRA PRADESH,36,544022,945171,135800,168171,350451,589402,32384,100211,38342,168184,206512
ALL CLASSES,OTHERS,ANANTHAPUR,553,ANDHRA PRADESH,36,626250,1141597,57879,82956,461346,746178,71706,184441,69630,129585,152586
ALL CLASSES,OTHERS,CHITTOOR,554,ANDHRA PRADESH,36,561836,555463,143136,103600,218839,149431,73512,110656,53561,216648,157161
ALL CLASSES,SCHEDULED TRIBES,ADILABAD,532,TELANGANA,37,111340,187245,5863,4812,90712,146434,1511,3254,1652,7374,6464
ALL CLASSES,SCHEDULED TRIBES,NIZAMABAD,533,TELANGANA,37,38982,33612,22644,17520,10843,9384,2042,2832,1298,24686,18817
ALL CLASSES,SCHEDULED TRIBES,KARIMNAGAR,534,TELANGANA,37,19332,16651,9904,7141,5965,4299,1935,2290,2012,11839,9153
ALL CLASSES,SCHEDULED TRIBES,MEDAK,535,TELANGANA,37,35100,36362,7292,5394,19004,18994,4708,4964,2788,12000,8182
ALL CLASSES,SCHEDULED TRIBES,RANGAREDDY,537,ANDHRA PRADESH,36,29498,32328,6322,5040,13226,11276,2652,3617,1878,8974,6918
ALL CLASSES,SCHEDULED TRIBES,MAHABUBNAGAR,538,TELANGANA,37,90948,97770,12088,9946,54176,48225,10191,18424,7512,22279,17458
ALL CLASSES,SCHEDULED TRIBES,NALGONDA,539,TELANGANA,37,84584,84019,29827,20066,26077,23829,7634,12760,5721,37461,25788
ALL CLASSES,SCHEDULED TRIBES,WARANGAL,540,TELANGANA,37,106316,102576,57401,48637,33835,27325,9627,14629,8023,67028,56659
ALL CLASSES,SCHEDULED TRIBES,KHAMMAM,541,TELANGANA,37,156327,180118,43263,35456,87049,95324,13187,26250,10766,56450,46222
ALL CLASSES,SCHEDULED TRIBES,SRIKAKULAM,542,ANDHRA PRADESH,36,36050,26845,10530,5475,15510,10278,3882,4300,2226,14412,7701
ALL CLASSES,SCHEDULED TRIBES,VIZIANAGARAM,543,ANDHRA PRADESH,36,39185,36850,6287,3862,28609,24364,3812,6501,3431,10099,7293
ALL CLASSES,SCHEDULED TRIBES,VISAKHAPATNAM,544,ANDHRA PRADESH,36,108507,174416,24312,24203,55227,69571,28968,52628,20180,53280,44383
ALL CLASSES,SCHEDULED TRIBES,EAST GODAVARI,545,ANDHRA PRADESH,36,43952,81435,13126,14358,23304,18851,1909,3498,1207,15035,15565
ALL CLASSES,SCHEDULED TRIBES,WEST GODAVARI,546,ANDHRA PRADESH,36,20810,24157,12220,13726,6322,6622,78,160,89,12298,13815
ALL CLASSES,SCHEDULED TRIBES,KRISHNA,547,ANDHRA PRADESH,36,12631,9287,6456,3565,5278,3948,498,570,244,6954,3809
ALL CLASSES,SCHEDULED TRIBES,GUNTUR,548,ANDHRA PRADESH,36,21028,18891,13523,11068,6071,4635,204,257,133,13727,11201
ALL CLASSES,SCHEDULED TRIBES,PRAKASAM,549,ANDHRA PRADESH,36,13818,12384,5233,3918,6996,5142,388,566,263,5621,4180
ALL CLASSES,SCHEDULED TRIBES,NELLORE,550,ANDHRA PRADESH,36,24706,14318,19714,9522,3128,2260,130,147,71,19844,9592
ALL CLASSES,SCHEDULED TRIBES,KADAPA,551,ANDHRA PRADESH,36,8527,7573,3104,1781,2994,2539,202,244,81,3306,1863
ALL CLASSES,SCHEDULED TRIBES,KURNOOL,552,ANDHRA PRADESH,36,12331,16423,3090,2755,7784,10047,367,654,283,3457,3039
ALL CLASSES,SCHEDULED TRIBES,ANANTHAPUR,553,ANDHRA PRADESH,36,29469,42531,1964,2821,24627,31196,1780,3406,1171,3744,3992
ALL CLASSES,SCHEDULED TRIBES,CHITTOOR,554,ANDHRA PRADESH,36,16039,12322,4814,2498,7412,4499,933,1006,432,5747,2930
ALL CLASSES,ALL SOCIAL GROUPS,ADILABAD,532,TELANGANA,37,519995,728579,70769,54859,383862,533813,19233,50261,23880,90002,78739
ALL CLASSES,ALL SOCIAL GROUPS,NIZAMABAD,533,TELANGANA,37,473528,434476,249881,203733,128681,113433,32675,55905,28501,282556,232234
ALL CLASSES,ALL SOCIAL GROUPS,KARIMNAGAR,534,TELANGANA,37,662345,638690,378736,333341,135093,95477,76870,117621,88295,455606,421636
ALL CLASSES,ALL SOCIAL GROUPS,MEDAK,535,TELANGANA,37,684543,662932,156032,122114,332458,280170,81887,102145,50543,237919,172658
ALL CLASSES,ALL SOCIAL GROUPS,RANGAREDDY,537,ANDHRA PRADESH,36,342671,419634,62776,49217,138559,125519,29662,40582,18383,92438,67600
ALL CLASSES,ALL SOCIAL GROUPS,MAHABUBNAGAR,538,TELANGANA,37,982314,1204862,163111,167728,543255,544388,116513,258389,113602,279624,281330
ALL CLASSES,ALL SOCIAL GROUPS,NALGONDA,539,TELANGANA,37,757188,904236,273311,231349,203391,189330,98910,192323,87654,372221,319003
ALL CLASSES,ALL SOCIAL GROUPS,WARANGAL,540,TELANGANA,37,663061,667311,347293,290340,179220,144863,69896,119733,66666,417189,357007
ALL CLASSES,ALL SOCIAL GROUPS,KHAMMAM,541,TELANGANA,37,468337,536105,196885,181511,196798,210141,43548,93283,42118,240433,223629
ALL CLASSES,ALL SOCIAL GROUPS,SRIKAKULAM,542,ANDHRA PRADESH,36,525870,349412,332439,189726,116589,67247,55636,70323,40288,388075,230015
ALL CLASSES,ALL SOCIAL GROUPS,VIZIANAGARAM,543,ANDHRA PRADESH,36,446841,342484,174039,91760,149457,99000,113605,118054,62981,287644,154740
ALL CLASSES,ALL SOCIAL GROUPS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,474738,400083,229057,125398,157062,134808,88619,103649,45350,317676,170748
ALL CLASSES,ALL SOCIAL GROUPS,EAST GODAVARI,545,ANDHRA PRADESH,36,698714,501366,464537,280632,179228,107942,45026,52645,28685,509563,309318
ALL CLASSES,ALL SOCIAL GROUPS,WEST GODAVARI,546,ANDHRA PRADESH,36,565831,470051,525832,419418,31349,27770,2507,5403,3043,528339,422461
ALL CLASSES,ALL SOCIAL GROUPS,KRISHNA,547,ANDHRA PRADESH,36,551567,508413,402906,324371,127005,135549,15750,36551,16066,418656,340438
ALL CLASSES,ALL SOCIAL GROUPS,GUNTUR,548,ANDHRA PRADESH,36,760648,701404,490125,418976,221927,194947,15964,33035,18355,506089,437331
ALL CLASSES,ALL SOCIAL GROUPS,PRAKASAM,549,ANDHRA PRADESH,36,670553,847508,172778,154809,405723,424384,44657,105398,45042,217435,199851
ALL CLASSES,ALL SOCIAL GROUPS,NELLORE,550,ANDHRA PRADESH,36,457015,478919,337939,272739,68767,94199,10400,18828,8609,348339,281348
ALL CLASSES,ALL SOCIAL GROUPS,KADAPA,551,ANDHRA PRADESH,36,441306,542399,163214,132272,161398,215289,25537,51028,21337,188751,153609
ALL CLASSES,ALL SOCIAL GROUPS,KURNOOL,552,ANDHRA PRADESH,36,632902,1050086,160606,188544,406206,655513,35657,106422,40909,196263,229453
ALL CLASSES,ALL SOCIAL GROUPS,ANANTHAPUR,553,ANDHRA PRADESH,36,727951,1278010,65853,91260,544062,846665,76946,194477,73156,142799,164416
ALL CLASSES,ALL SOCIAL GROUPS,CHITTOOR,554,ANDHRA PRADESH,36,667182,626306,176303,120530,258971,171442,80089,117932,57102,256392,177632
20.0 & ABOVE,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,6,392,3,61,3,136,0,0,0,3,61
20.0 & ABOVE,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,10,526,10,263,0,0,0,0,0,10,263
20.0 & ABOVE,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,4,268,2,93,0,0,2,25,13,4,106
20.0 & ABOVE,INSTITUTIONAL,MEDAK,535,TELANGANA,37,16,2011,8,813,8,263,0,0,0,8,813
20.0 & ABOVE,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,10,318,6,86,3,32,0,0,0,6,86
20.0 & ABOVE,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,4,377,0,0,4,189,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,30,1778,8,284,7,253,14,105,73,22,358
20.0 & ABOVE,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,1,65,0,0,1,33,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,12,1510,6,211,3,226,3,108,23,9,234
20.0 & ABOVE,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,41,2149,16,393,6,245,15,594,272,31,664
20.0 & ABOVE,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,17,757,6,118,0,0,8,257,51,14,170
20.0 & ABOVE,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,10,867,3,286,7,295,0,0,0,3,286
20.0 & ABOVE,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,43,1973,27,831,13,419,3,72,37,30,868
20.0 & ABOVE,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,26,911,24,519,0,0,0,0,0,24,519
20.0 & ABOVE,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,3,92,0,0,2,22,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,72,4341,50,2267,18,587,4,240,222,54,2489
20.0 & ABOVE,INSTITUTIONAL,PRAKASAM,549,ANDHRA PRADESH,36,31,1347,4,73,22,372,4,191,24,8,97
20.0 & ABOVE,INSTITUTIONAL,NELLORE,550,ANDHRA PRADESH,36,78,4446,44,1203,28,1168,4,94,46,48,1249
20.0 & ABOVE,INSTITUTIONAL,KADAPA,551,ANDHRA PRADESH,36,5,581,5,291,0,0,0,0,0,5,291
20.0 & ABOVE,INSTITUTIONAL,KURNOOL,552,ANDHRA PRADESH,36,15,1354,3,48,12,685,0,0,0,3,48
20.0 & ABOVE,INSTITUTIONAL,ANANTHAPUR,553,ANDHRA PRADESH,36,42,2714,1,14,39,1406,0,0,0,1,14
20.0 & ABOVE,INSTITUTIONAL,CHITTOOR,554,ANDHRA PRADESH,36,16,1953,5,662,8,211,2,10,3,7,665
20.0 & ABOVE,SCHEDULED CASTE,ADILABAD,532,TELANGANA,37,17,599,1,21,15,471,0,0,0,1,21
20.0 & ABOVE,SCHEDULED CASTE,NIZAMABAD,533,TELANGANA,37,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,KARIMNAGAR,534,TELANGANA,37,8,200,4,54,4,46,0,0,0,4,54
20.0 & ABOVE,SCHEDULED CASTE,MEDAK,535,TELANGANA,37,6,221,0,0,5,168,1,20,2,1,2
20.0 & ABOVE,SCHEDULED CASTE,RANGAREDDY,537,ANDHRA PRADESH,36,8,242,1,12,7,77,0,0,0,1,12
20.0 & ABOVE,SCHEDULED CASTE,MAHABUBNAGAR,538,TELANGANA,37,18,660,2,32,16,386,0,0,0,2,32
20.0 & ABOVE,SCHEDULED CASTE,NALGONDA,539,TELANGANA,37,3,89,2,34,0,0,0,0,0,2,34
20.0 & ABOVE,SCHEDULED CASTE,WARANGAL,540,TELANGANA,37,36,1502,13,302,20,605,3,46,31,16,334
20.0 & ABOVE,SCHEDULED CASTE,KHAMMAM,541,TELANGANA,37,4,173,3,62,1,25,0,0,0,3,62
20.0 & ABOVE,SCHEDULED CASTE,SRIKAKULAM,542,ANDHRA PRADESH,36,1,43,1,21,0,0,0,0,0,1,21
20.0 & ABOVE,SCHEDULED CASTE,VIZIANAGARAM,543,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,VISAKHAPATNAM,544,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,EAST GODAVARI,545,ANDHRA PRADESH,36,2,41,2,21,0,0,0,0,0,2,21
