size_class,social_group,district_name,district_code,state_name,state_code,holding_total_no,holding_total_area,holding_in_village-in-compelete_no,holding_in_village-in-compelete_area,holding_in_village-in-partly-out-partly_no,holding_in_village-in-partly-out-partly_area,holding_in_village-out-completely_no,holding_in_village-out-completely_area,holding_out_tehsil_no,holding_out_tehsil_area
ALL CLASSES,OTHERS,NIZAMABAD,533,TELANGANA,37,371883,357578,331865,321009,3707,7215,36310,29323,1,32
ALL CLASSES,OTHERS,KARIMNAGAR,534,TELANGANA,37,546409,559792,525977,537480,1051,2246,19381,20066,0,0
ALL CLASSES,OTHERS,MEDAK,535,TELANGANA,37,541557,548966,513504,519507,2705,5331,25348,24128,0,0
ALL CLASSES,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,259983,337733,250135,324739,965,2764,8883,10231,0,0
ALL CLASSES,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,761838,988683,711341,918372,3197,9260,47300,61050,0,0
ALL CLASSES,OTHERS,NALGONDA,539,TELANGANA,37,585344,754808,555300,707258,2938,8630,27106,38920,0,0
ALL CLASSES,OTHERS,WARANGAL,540,TELANGANA,37,474526,506312,451834,483232,1655,2607,21037,20473,0,0
ALL CLASSES,OTHERS,KHAMMAM,541,TELANGANA,37,267298,324091,243246,289909,4029,10892,19866,22542,157,747
ALL CLASSES,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,461825,307914,404825,264522,16262,23778,40722,19562,16,51
ALL CLASSES,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,385619,292697,338097,245485,12590,21869,34863,25176,69,167
ALL CLASSES,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,355558,218042,332524,201525,4291,5910,18743,10606,0,0
ALL CLASSES,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,591563,393393,512779,337999,6456,11009,71874,42828,454,1557
ALL CLASSES,OTHERS,WEST GODAVARI,546,ANDHRA PRADESH,36,496068,416957,436141,358972,5326,9351,51575,42576,3026,6057
ALL CLASSES,OTHERS,KRISHNA,547,ANDHRA PRADESH,36,488069,471806,427265,410474,5126,11896,45816,43135,9862,6301
ALL CLASSES,OTHERS,GUNTUR,548,ANDHRA PRADESH,36,685605,643418,619975,583963,4993,9689,60637,49765,0,0
ALL CLASSES,OTHERS,PRAKASAM,549,ANDHRA PRADESH,36,583508,770930,510733,688460,6843,17670,51679,55569,14253,9231
ALL CLASSES,OTHERS,NELLORE,550,ANDHRA PRADESH,36,342982,404532,319048,375010,1802,4999,20425,21926,1707,2596
ALL CLASSES,OTHERS,KADAPA,551,ANDHRA PRADESH,36,393236,502650,349462,447870,3801,10556,37484,42004,2489,2220
ALL CLASSES,OTHERS,KURNOOL,552,ANDHRA PRADESH,36,544022,945171,479675,835512,8389,32890,53383,72621,2575,4147
ALL CLASSES,OTHERS,ANANTHAPUR,553,ANDHRA PRADESH,36,626250,1141597,566489,1029604,4826,15664,51385,88851,3550,7478
ALL CLASSES,OTHERS,CHITTOOR,554,ANDHRA PRADESH,36,561836,555463,522741,514659,4034,9960,33152,28531,1909,2312
ALL CLASSES,SCHEDULED TRIBES,ADILABAD,532,TELANGANA,37,111340,187245,105953,178933,117,291,5270,8021,0,0
ALL CLASSES,SCHEDULED TRIBES,NIZAMABAD,533,TELANGANA,37,38982,33612,35907,31224,76,93,2987,2270,12,26
ALL CLASSES,SCHEDULED TRIBES,KARIMNAGAR,534,TELANGANA,37,19332,16651,18719,16258,27,26,586,367,0,0
ALL CLASSES,SCHEDULED TRIBES,MEDAK,535,TELANGANA,37,35100,36362,33121,34955,187,249,1792,1158,0,0
ALL CLASSES,SCHEDULED TRIBES,RANGAREDDY,537,ANDHRA PRADESH,36,29498,32328,28887,31583,9,17,467,379,135,349
ALL CLASSES,SCHEDULED TRIBES,MAHABUBNAGAR,538,TELANGANA,37,90948,97770,86427,92849,379,731,4134,4172,8,18
ALL CLASSES,SCHEDULED TRIBES,NALGONDA,539,TELANGANA,37,84584,84019,81692,81477,195,386,2697,2156,0,0
ALL CLASSES,SCHEDULED TRIBES,WARANGAL,540,TELANGANA,37,106316,102576,100639,98204,485,488,5192,3883,0,0
ALL CLASSES,SCHEDULED TRIBES,KHAMMAM,541,TELANGANA,37,156327,180118,150140,171707,1578,3497,4331,4458,278,456
ALL CLASSES,SCHEDULED TRIBES,SRIKAKULAM,542,ANDHRA PRADESH,36,36050,26845,35060,26152,292,337,698,357,0,0
ALL CLASSES,SCHEDULED TRIBES,VIZIANAGARAM,543,ANDHRA PRADESH,36,39185,36850,36522,34342,611,968,2047,1537,5,3
ALL CLASSES,SCHEDULED TRIBES,VISAKHAPATNAM,544,ANDHRA PRADESH,36,108507,174416,105234,168426,953,3326,2320,2664,0,0
ALL CLASSES,SCHEDULED TRIBES,EAST GODAVARI,545,ANDHRA PRADESH,36,43952,81435,41083,77098,553,1961,1927,2165,389,210
